# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Mn/H]
SAGA_Scl_000002	M.Shetrone+,AJ, 125, 684, 2003	01 00 12.52	-33 43 01.3	4500	1	-1.66	-1.66+-0.02	-2.04+-0.08
SAGA_Scl_000003	M.Shetrone+,AJ, 125, 684, 2003	01 00 18.31	-33 42 12.2	4500	1.2	-1.56	-1.56+-0.02	-2.09+-0.08
SAGA_Scl_000005	M.Shetrone+,AJ, 125, 684, 2003	00 59 58.27	-33 41 08.7	4400	1.1	-1.24	-1.24+-0.02	-1.68+-0.09
SAGA_Scl_000006	D.Geisler+,AJ, 129, 1428, 2005	00 59 55.69	-33 46 40.8	4250	0.2	-2.1	-2.1+-0.15	-2.18+-0.18
SAGA_Scl_000007	D.Geisler+,AJ, 129, 1428, 2005	01 00 16.32	-33 42 37.6	4025	0.5	-1	-0.97+-0.16	-1.61+-0.08
SAGA_Scl_000008	D.Geisler+,AJ, 129, 1428, 2005	01 00 23.87	-33 42 17.7	4075	0	-1.7	-1.72+-0.13	-2.15+-0.18
SAGA_Scl_000009	D.Geisler+,AJ, 129, 1428, 2005	00 59 46.41	-33 41 23.7	3900	0	-1.2	-1.2+-0.13	-1.55+-0.18
SAGA_Scl_000058	P.Jablonka+,AAP, 583, A67, 2015	01 00 12.94	-33 42 03.8	4540	1.15	-2.45	-2.44+-0.08	-2.67+-0.15
SAGA_Scl_000434	J.D.Simon+,ApJ, 802, 93, 2015	01 00 05.00	-34 01 16.6	4495	0.8	-3.31	-3.31+-0.14	-3.33+-0.11
SAGA_Scl_000435	M.Tafelmeyer+,AAP, 524, A58, 2010	01 00 01.14	-33 59 21.4	4793	1.56	-2.83	-3.96+-0.06	-4.95+-0.23
SAGA_Scl_000435	J.D.Simon+,ApJ, 802, 93, 2015	01 00 01.12	-33 59 21.4	4558	1.05	-4.05	-4.05+-0.1	-5.11+-0.16
SAGA_Scl_000444	P.Jablonka+,AAP, 583, A67, 2015	00 57 34.84	-33 39 45.6	4600	1.19	-3.3	-3.31+-0.09	-3.5+-0.18
SAGA_Scl_000445	P.Jablonka+,AAP, 583, A67, 2015	00 57 10.21	-33 28 35.7	4550	1.05	-3.88	-3.88+-0.08	-4.46+-0.18
SAGA_Scl_000448	P.Jablonka+,AAP, 583, A67, 2015	01 01 26.74	-33 02 59.8	4300	0.63	-3.45	-3.45+-0.07	-3.64+-0.12
SAGA_Scl_000450	P.Jablonka+,AAP, 583, A67, 2015	01 01 22.23	-33 46 21.3	4400	1.01	-3.2	-3.22+-0.08	-4.03+-0.15
SAGA_Scl_000452	J.D.Simon+,ApJ, 802, 93, 2015	00 59 38.75	-33 46 14.6	4770	1.45	-3.77	-3.77+-0.32	-4.05+-0.1
SAGA_Scl_000453	J.D.Simon+,ApJ, 802, 93, 2015	01 00 00.39	-33 29 15.2	4945	2	-3.53	-3.52+-0.24	-4.29+-0.23
