# Star 1011721
# obswvl	obsflux	synthflux	synthfluxup	synthfluxdown	synthflux_nomn
# 
4.729096191406250000e+03 9.787323834599294115e-01 9.760319452776591298e-01 9.760290364849557587e-01 9.760335930052440601e-01 9.760390625075978654e-01
4.729417480468750000e+03 9.794641252298968981e-01 9.736053082250573087e-01 9.736008181061790445e-01 9.736078564575687544e-01 9.736162650471426039e-01
4.729738281250000000e+03 9.621471157416899844e-01 9.708650343620552903e-01 9.708587233603478417e-01 9.708686184456236656e-01 9.708803746603312801e-01
4.730060058593750000e+03 9.540394920362957887e-01 9.670429506017912402e-01 9.670350121648875197e-01 9.670474490619183072e-01 9.670621095839874171e-01
4.730381347656250000e+03 9.453553940062914274e-01 9.609754571627909803e-01 9.609665987783542196e-01 9.609804306719571532e-01 9.609965125939834429e-01
4.730702636718750000e+03 9.201530825649291145e-01 9.521171512844427420e-01 9.521081942082739724e-01 9.521220571357509321e-01 9.521377463930382756e-01
4.731023437500000000e+03 9.027536875039257058e-01 9.420953061796922823e-01 9.420865798545038361e-01 9.420998546169010446e-01 9.421141706738845878e-01
4.731345214843750000e+03 9.142891168078629560e-01 9.346152224389672192e-01 9.346064471392712125e-01 9.346194965118799214e-01 9.346326923016482491e-01
4.731666503906250000e+03 9.151902696527198788e-01 9.329337072400621933e-01 9.329245863428439201e-01 9.329379036290158522e-01 9.329506459454541822e-01
4.731987792968750000e+03 9.171102201604770521e-01 9.365252431300410407e-01 9.365160289961959039e-01 9.365293780804330170e-01 9.365417786471748052e-01
4.732308593750000000e+03 9.118883554722493345e-01 9.408637899383157643e-01 9.408551104450358915e-01 9.408677440959538618e-01 9.408794180052104661e-01
4.732630371093750000e+03 9.124091332381337738e-01 9.408426672898250187e-01 9.408349389919389294e-01 9.408464396716743616e-01 9.408571990687046860e-01
4.732951660156250000e+03 8.927714668758662819e-01 9.351820957831222803e-01 9.351753233690855982e-01 9.351858926882584688e-01 9.351959698002230148e-01
4.733272949218750000e+03 8.774628847672851784e-01 9.281738487535013959e-01 9.281679797578270552e-01 9.281779012305079180e-01 9.281874537923319179e-01
4.733594238281250000e+03 8.991908140340493238e-01 9.266545109437061001e-01 9.266497241784936723e-01 9.266588579939525339e-01 9.266675674330872026e-01
4.733915527343750000e+03 9.339368763560432773e-01 9.344188574986823648e-01 9.344154058234432902e-01 9.344232896352122619e-01 9.344305710736608983e-01
4.734236816406250000e+03 9.468545478579639685e-01 9.491662678816641385e-01 9.491641596345271603e-01 9.491704174130026761e-01 9.491759168588475015e-01
4.734558593750000000e+03 9.608304381767435176e-01 9.647204278124359433e-01 9.647193621772606198e-01 9.647239164667206213e-01 9.647277527222888338e-01
4.734879394531250000e+03 9.700060876085453421e-01 9.754379304816621632e-01 9.754374874872372425e-01 9.754405207473534345e-01 9.754431573993123106e-01
4.735200683593750000e+03 9.703414442127666906e-01 9.787146552508142472e-01 9.787145035473644450e-01 9.787163269312931790e-01 9.787182559295595219e-01
4.735522460937500000e+03 9.795489165993209735e-01 9.740976847480723455e-01 9.740976272061823149e-01 9.740986204667259063e-01 9.741001659744105146e-01
4.735843750000000000e+03 9.367363637792422981e-01 9.624003115504327077e-01 9.624001824538171990e-01 9.624008382513931092e-01 9.624022660170874488e-01
4.736165039062500000e+03 9.298604523047662163e-01 9.460542407793963715e-01 9.460534760547795186e-01 9.460550067544718500e-01 9.460574574599796005e-01
4.736486328125000000e+03 9.079458075112133431e-01 9.298672565998807871e-01 9.298631376899607615e-01 9.298705242953535510e-01 9.298798936959801198e-01
4.736807617187500000e+03 9.220067857716601756e-01 9.197661225444245803e-01 9.197474982694563428e-01 9.197806649258307710e-01 9.198213665184881149e-01
4.737128906250000000e+03 9.547055740777038446e-01 9.195225192995092334e-01 9.194526153510319544e-01 9.195770776032742289e-01 9.197298374501026164e-01
4.737450683593750000e+03 9.483155061498789173e-01 9.284125196909998046e-01 9.281958475544017650e-01 9.285817094842889752e-01 9.290566068457866145e-01
4.737771484375000000e+03 9.395958532362443938e-01 9.419384444320230143e-01 9.413889321862929371e-01 9.423677410737548721e-01 9.435749170173054479e-01
4.738093261718750000e+03 9.559116461376711005e-01 9.549383798424405656e-01 9.537949436008655857e-01 9.558320295830693425e-01 9.583478978557737893e-01
