# [Mn/Fe], redchisq
-6.519335954017300150e-01 3.021583161928393491e+00
-5.439907879616006081e-01 3.012924510106126608e+00
-4.900193842415359047e-01 3.008889152255093347e+00
-4.360479805214712012e-01 3.006369115669094594e+00
-3.820765768014064978e-01 3.004550122865337958e+00
-3.388994538253549127e-01 3.004175271351005261e+00
-3.281051730813417944e-01 3.004200567874206751e+00
-3.173108923373286760e-01 3.004283005768503489e+00
-2.741337693612770909e-01 3.005087640166629104e+00
-2.201623656412123875e-01 3.008047076490013350e+00
-1.661909619211476841e-01 3.012284695512584154e+00
-1.122195582010829806e-01 3.019787701363705779e+00
-4.276750760953573760e-03 3.039134073934726565e+00
