Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)
Stet-M2-S109	323.40533706347	-0.84834614118	5368	3.144065618515014	-1.7277852993661746	0.0	0.23832649233116743	-1.6257749872831948	0.14642119287848782	1.0417712548637141
Stet-M2-S224	323.41502879461	-0.79338491758	4982	2.252619345982869	-1.6236351424638165	0.0	0.16328608716062004	-1.897804350170456	0.07161494525926021	4.234481711057108
Stet-M2-S248	323.42476628621	-0.80458421813	4661	1.668508172035217	-1.5657867198952922	0.0	0.19148970357335315	-2.0485769594246825	0.06667011760705296	21.099443238154013
Stet-M2-S413	323.28211280505	-0.8446997261	5493	2.519404888153076	-1.0380352436500364	0.0	0.13962560923451095	-1.5366118902070973	0.0797110170899536	2.9189966931727
Stet-M2-S662	323.23068029086	-0.81899223751	5278	3.109364032745361	-1.6662983898790704	0.0	0.12928638294720704	-1.6662983898790704	0.12007574417042277	1.1579191459610818
Stet-M2-S674	323.23703869184	-0.81987188896	4909	2.1861948172251378	-0.8332479067567445	0.0	0.20938404289500492	-0.9251461985844932	0.05204505144144281	12.702912751611395
Stet-M2-S733	323.27765965859	-0.83936046653	5327	3.096502860387166	-1.70483310089779	0.0	0.16470396286621708	-1.7867880982699285	0.13470926427109317	1.0135953157897042
Stet-M2-S80	323.39725265503	-0.82597122404	4701	1.697513659795125	-1.606539012281074	0.0	0.19383544988618504	-2.036276985926146	0.0820218595452167	18.28291040760182
An08-A14127	323.330810546875	-0.8008593320846558	5231	2.677436828613281	-1.4408162023887607	0.0	0.30114554156360496	-1.5383699188721272	0.09210733376678437	1.2412944589709107
An08-A13934	323.344970703125	-0.8015540242195129	5296	3.3585630856002044	-1.5995366756967413	0.0	0.2862063762620276	-1.9464125573919613	0.11725468564285806	1.010295241949543
An08-A13450	323.3503723144531	-0.8031575679779053	5214	2.606624603271485	-1.3622063029612743	0.0	0.5702922852736713	-1.8910156926010897	0.1374849125849233	1.1976773207209908
An08-A17732	323.35382080078125	-0.7869765758514404	5231	2.8396305243174234	-1.6277316004595146	0.0	0.26640165876484256	-1.5799329625521898	0.13126689993161308	1.5867665429732338
An08-A10018	323.3699035644531	-0.8143472075462341	4693	1.9485393365224197	-1.5646425514867797	0.0	0.17450004178916848	-1.7419666772815778	0.05682502408075439	9.762902093114644
An08-A12662	323.3722839355469	-0.8057886958122253	5314	3.0555500189463296	-1.6799603712007276	0.0	0.3554557718940222	-1.503396824834463	0.13793457526087508	0.9833501361719438
An08-A10340	323.39105224609375	-0.8132891058921814	5348	2.983645995457967	-1.523822841564166	0.0	0.12532989721170434	-1.3161803573213682	0.11888902826381467	1.1444238778643363
An08-B12454	323.3612976074219	-0.8365220427513123	5251	2.575879176457723	-1.7663853808411307	0.0	0.24609559062134076	-1.5668665672339575	0.11224235558168148	1.763811072119253
