Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)
Stet-M2-S259	323.43137040138	-0.81266493903	5682	3.632229646046956	-1.6596256321973666	0.0	0.04558470991577643	-1.1896710313013028	0.15418334409398757	0.6721322661743047
Stet-M2-S271	323.44080554644	-0.82801670074	5411	3.2492185433705645	-1.5002479568412177	0.0	0.12299780587694596	-1.6016643513667093	0.12732378854422333	0.8436857388261989
Stet-M2-S291	323.45910665194	-0.8289165677	5483	3.412868579228719	-1.5626299386318936	0.0	0.13305283110197041	-1.4340908753820403	0.13507608626927994	0.7883300033793272
Stet-M2-S381	323.46281085014	-0.80405315293	6369	4.147084395090738	-1.8024078133521297	0.0	-0.24858294819342694	-1.6054847404869055	0.40854038092465605	0.6878397963705281
Stet-M2-S401	323.48163509369	-0.80959679074	6275	4.024008512496948	-1.9659046642259903	0.0	0.10617771983983479	-2.499467457208059	1.2570767174932047	0.7350700990622603
Stet-M2-S402	323.48248125712	-0.78069095294	5154	2.6794121265411373	-1.6793708099805222	0.0	0.2562768916450725	-2.725053313122247	0.18293033369196743	1.4376588536790136
Stet-M2-S405	323.49086182912	-0.78312096596	5628	3.637328704198201	-1.6638665174219023	0.0	0.19525238907926123	-1.7975549632088235	0.24275581757763778	0.8624264838673344
Stet-M2-S93	323.39652659098	-0.80911762026	5232	2.7947533130645748	-1.5793137229742096	0.0	0.1630491447952191	-1.8106209516346028	0.09387792801101452	1.1324295322379672
An08-A3050	323.2832946777344	-0.8361454606056213	5789	3.657983700434367	-1.3314159927341511	0.0	-0.3837836952171912	-1.5603174415789278	0.3386516581795342	0.9799377078256596
An08-A6675	323.2996520996094	-0.824720025062561	5600	3.3980047702789298	-1.5252916165058237	0.0	0.20998956621924073	-1.0716591917379403	0.29954148223544813	1.6584169349155518
An08-A10602	323.3002014160156	-0.8124737739562988	5646	3.296060959498087	-1.334459526632271	0.0	-0.01906454408460417	-1.4215355866073671	0.27692856170142455	1.3535726296975006
An08-A14310	323.3073425292969	-0.8002655506134033	6101	3.800625006357828	-1.7578650094835497	0.0	0.18466547204197384	-1.5324205236830577	0.40705884436278206	0.7621222723629429
An08-A12324	323.3106994628906	-0.8068771362304688	5297	2.9205702145894366	-1.587135632116946	0.0	0.17909740012703534	-1.4117661180586616	0.13351313014025465	1.5026526565752985
An08-A9807	323.3163757324219	-0.8149963617324829	5410	3.2037179470062256	-1.485296126709724	0.0	0.20660275257001726	-2.194848384224143	0.345556717933803	1.1641251934508785
An08-A185	323.3233642578125	-0.845753014087677	5357	2.9154309431711827	-1.4701841853983229	0.0	0.06707461976543194	-1.6380868367864365	0.1707618039122895	1.4183140576324682
An08-A14812	323.32421875	-0.7984710931777954	5206	2.687191247940063	-1.5440651760266153	0.0	0.19305790840473944	-1.5532554176725737	0.09568647733933625	1.1561648730079463
An08-A13267	323.32794189453125	-0.8037484884262085	5279	3.098952929178873	-1.580459012656798	0.0	0.19717734413373444	-1.2060257985280884	0.15824192952815924	1.2863010663306556
An08-A7018	323.3408203125	-0.8236721754074097	6127	4.146778038515894	-1.8306966049087605	0.0	-0.373568947340707	-1.7658669543993322	0.4757824631765834	0.734385466847167
An08-A7743	323.3416442871094	-0.8213884234428406	5429	3.1351173718770338	-1.4868911507632625	0.0	0.16021642555750606	-1.6423148479321426	0.22329480472549296	0.864737442665306
An08-A6601	323.343505859375	-0.8249444961547852	6058	3.9301300843556723	-1.5892553500138797	0.0	0.26311474599018503	-0.21009387706392896	0.3465776278164695	0.7867742632787359
An08-A9367	323.3445129394531	-0.8163989186286926	5692	4.109934329986572	-1.238917519010131	0.0	0.005099180568901243	-1.4861617936859002	0.2462105574055024	0.6281175253834664
An08-A8044	323.3464660644531	-0.8205142021179199	5321	2.9464866320292153	-1.5523511238754482	0.0	0.16505087250037656	-1.6601818891220606	0.13550345489927962	0.9515997801855386
An08-A9281	323.3470153808594	-0.8166275024414062	5293	3.04277055287546	-1.5130233907412283	0.0	-0.07127718794252426	-2.361248200425224	0.7280526231131484	1.2560834950513755
An08-A10581	323.3475341796875	-0.8125402331352234	5070	4.13691943944456	-1.3836013820466828	0.0	0.15177673126902988	-1.6462483843208022	0.09867522170346907	1.4764889873486273
An08-A16241	323.3503112792969	-0.7932326793670654	6242	4.082950592041016	-2.0449579261308304	0.0	0.18920743447428065	-2.0449579261308304	0.6416342700115569	0.6703253765826256
An08-A9894	323.35284423828125	-0.8147093057632446	4925	2.2655542691548662	-1.6288868498282123	0.0	0.2012198164018085	-2.1177031290524613	0.09797925108914567	1.6086819938420498
An08-A15373	323.35589599609375	-0.7964425086975098	5085	2.5069170792897544	-1.5721151375443432	0.0	0.11806482927714239	-2.0563592977572602	0.0876503932686148	1.1406928850477722
An08-A16073	323.356689453125	-0.7938705682754517	5349	3.1532495816548662	-1.5519537653678068	0.0	-0.006255702400687461	-2.001063921537557	0.26977826417952605	1.0755149250200495
An08-A1927	323.3597717285156	-0.8397531509399414	5826	3.4605707390279212	-1.445516597457023	0.0	-0.04020885219943046	-1.775862700722613	0.3367447354830431	0.976969939211175
