Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)
542_1088	202.0103978672473	33.53298345332754	5044	1.8597826957702637	-1.516275284484384	0.14298943002751674	-0.46920512424594707	-1.388530344444473	0.2249775835600953	0.7638641170525172
542_112	201.86787385414965	33.53627151921668	4442	0.8589212894439697	-1.990737561512514	0.10416202078815015	-0.06043412879303753	-2.2819555623879344	0.1554794857840414	1.670655899917461
542_141	201.91148301990313	33.548686470093855	4578	1.141141414642334	-2.28998440245873	0.11032059258204092	-0.011395270684907845	-2.926787514313096	0.28067590414563226	0.8102327893195393
542_172	201.95236325423753	33.56423746667155	4702	1.2525758743286133	-2.6680393696328446	0.13188167286689656	-0.0990290147923172	-2.7798268698063757	0.22279166671727912	0.6578503174962465
542_188	201.95831127853359	33.527541596183326	4796	1.4488155841827393	-1.9043383075227294	0.11855310510896826	-0.17618644922618268	-1.8741474713277462	0.1907999975348468	0.9542759938272017
542_207	201.98189289343662	33.55681908072331	4269	0.6376875042915344	-2.6978728542402974	0.1039741942808939	0.0842708735450883	-2.8680285253351263	0.17369062892606105	2.3761268294953934
542_209	201.98234728984153	33.54503637677734	4401	0.9302981495857239	-1.9694666059839943	0.10440859101286441	-0.017290415402353133	-2.319689624972481	0.12732559224814527	1.390421589352405
542_216	201.99203283362772	33.55005056047188	4652	1.3603506088256836	-1.8545490415447414	0.10861207628226531	-0.059555087322947564	-1.7950544838071696	0.14370532215990808	1.011395615806944
542_278	201.90547614146342	33.55246052088251	4623	1.5044747591018677	-2.0251346285899814	0.11964699699774463	-0.22360735951544095	-2.379071974146569	0.2978629180443137	0.7655770598736676
542_308	202.047104712222	33.585012196511265	4670	1.552103877067566	-1.638890665871704	0.10523822047583899	-0.21064216068934494	-1.9769821368696665	0.2047018499709238	0.6547370203934709
542_505	201.87645507168222	33.534533773346396	4957	1.78005850315094	-2.068553385807517	0.1501768144045564	-0.06900007352516457	-1.6602566568648494	0.295512169654759	0.9549443047783224
542_603	201.89715935311636	33.525622590159	5055	2.094820737838745	-2.081538333074551	0.20768585156599856	1.1377055641763658	-0.9253125296747582	0.26777159450890076	0.7785021647093201
542_837	201.9656762892281	33.56209442972568	4929	1.8233180046081543	-2.8381252807876973	0.25917624911903975	0.2375204905364144	-2.059983772235943	0.29304065364899834	0.6586273730925947
542_88	202.0367515434301	33.5781057053204	4651	1.1113998889923096	-2.1217733773114804	0.11241412686506266	0.18355721107657377	-2.2347351049394644	0.15389170281993803	1.112067684954706
542_997	201.99673342589597	33.55185562562937	4678	1.5973422527313232	-1.8978334564782333	0.11996345548731732	-0.045956181080845426	-2.048906319019427	0.23537743166910693	0.8632681995279499
543_112	202.06762502221005	33.56942427043721	4559	1.18464195728302	-1.9694179674877945	0.10690627375074081	-0.0753337040701267	-2.913490584132777	0.24561100285680923	0.8229572521463321
543_248	202.11161030162805	33.57769815772978	5011	1.7963069677352905	-2.026252117905497	0.16882513596052204	-0.1024099602790138	-1.8675508829712637	0.26439643916414235	0.6643643390032927
