Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)
S60286	152.09186637000002	12.339109258	4241	0.4171354273955027	-1.496390008462065	0.011182572377561331	0.10923587474449103	-1.905885462583769	0.15106054170919014	2.285588289052163
S21673	152.15377473	12.336510885	4015	0.23843322694301605	-1.2292471694744964	0.006068821596654299	0.15865691686684555	-1.2292471694744964	0.17658013648988385	2.962915737158651
S60132	152.096828565	12.310590451	3873	0.27488169074058527	-1.2038247135113729	0.006634582296940811	0.07048428061546887	-1.0383936315741853	0.210027869772729	2.7009601984416625
S31893	152.13580674	12.301660575	4190	0.3631409804026286	-1.0929101243681585	0.008560235878975787	0.23834319287056094	-1.2002388627302185	0.17243347428428507	2.40837401421419
S23195	152.11107336	12.327771206	4432	0.5077734688917795	-1.1323805564376952	0.007504055300140322	0.0272822118624416	-1.2559110892991527	0.1300984146683833	2.631505832579798
S30739	152.185743735	12.289666884	4004	0.32078478733698523	-1.6376806627015	0.008810567378166061	0.036879840627542314	-1.8253989455300181	0.16414340680998277	2.456694455185609
S60462	152.085211575	12.351049602	4162	0.3970870574315388	-1.8540223183916082	0.01399891857275829	-0.09394374451254901	-2.064323796285894	0.17419990573792335	1.1141636995886242
S61214	152.04564774000002	12.365731963	4142	0.49001035094261164	-1.6861205868188027	0.012446956210355183	-0.14558989153442697	-1.8252574495499456	0.12849970244126135	1.2450459754287904
S60803	152.071446765	12.312495759	4250	0.5350726544857024	-1.2494545845766802	0.0077190811364608765	0.13338449938537558	-1.1835905726572147	0.1839906813630656	1.4276833502815813
S22531	152.129001435	12.332873996	4200	0.5109465817610422	-1.199858052937603	0.009015957005932145	0.20124340475935137	-1.000345604415238	0.19444478048255934	2.5563339063804693
S20868	152.186233635	12.339123486	4256	0.5703694423039753	-1.577563812942427	0.012602571552039626	-0.07125966968104282	-1.908911869735904	0.17052295845335755	1.2756360489844816
S60223	152.09385727499998	12.322749008	4109	0.4973332285881042	-1.406477866962809	0.010077916554598675	0.07202613777258282	-1.4680949236201917	0.1435028396408605	1.6025842302113769
S30273	152.250696525	12.305874792	4051	0.41019154588381446	-2.267657156300921	0.01946168657200499	-0.20048826860320626	-2.506079101082376	0.2521407429751481	1.1385302274216165
S60970	152.062215345	12.345451821	4132	0.4889861345291137	-1.4588969139294607	0.013030383577735989	0.16903554689105155	-1.5464223314400105	0.14096083166422999	1.9364486877303364
S31007	152.17048677	12.301782689	4089	0.5128464897473652	-1.4796157344869851	0.009302653750340254	-0.011600368298194724	-1.7584945055057783	0.1594460348899267	1.4111598130638776
S23429	152.10472242	12.335392305	4095	0.5347906649112701	-1.2461246930167484	0.009372895059275663	-0.08399148427716986	-1.605404283317993	0.15211126570533198	2.4373808097772987
S21987	152.143504425	12.315710394	4157	0.5543124775091807	-1.437753154001481	0.021173376376770147	0.14109471227960418	-1.7002650645922162	0.16748856407371576	1.3702553847166472
S22390	152.132534655	12.334873273	4077	0.4975845714410146	-1.407099024613686	0.013542996319040495	0.09336832949757705	-1.5128293483612394	0.1760023629627756	1.6825591137336806
S22996	152.11630566	12.322050239	4340	0.6614586114883423	-1.2539794622869282	0.009386641323764286	0.015948137035807032	-1.5869266946623373	0.14770033540411	1.5338461653973992
S31194	152.161172715	12.301442369	4175	0.5847657124201456	-1.3496608408029813	0.01113355057189569	0.044763582445719416	-1.5105860158635058	0.15834868919585227	1.5102656671814787
S21298	152.16689526	12.313056145	4242	0.6118833422660827	-1.3264452712397168	0.009050109198755171	0.10597680494909356	-1.3365040943548718	0.16949990778272886	1.654364818857441
S60396	152.088003795	12.328667855	4078	0.5207513272762297	-1.2172087266861467	0.008970418769529184	0.018652894113766992	-1.1891028330716054	0.18620107611002845	2.143318788954009
S20345	152.24473674	12.310028749	4228	0.6843526562054951	-1.394227863983617	0.010817056858556105	-0.03260642748266878	-1.6709080074412679	0.17786416170257147	1.3970211368903633
S60623	152.079761235	12.346818417	4223	0.696196178595225	-1.375280245597991	0.01735999712870763	0.10186922516506904	-1.4556509120594188	0.17432276884200645	1.9224880282502943
S21236	152.169255885	12.35506414	4307	0.7312072118123373	-0.9275455557416192	0.010574943461448204	-0.30258221135745006	-1.2961441606222235	0.20586228145119692	1.3965043213078598
S61331	152.03358753	12.331562422	4265	0.7375830014546713	-1.3857802922978693	0.010762233694490758	0.04393550328014884	-1.5710815031832335	0.14622391625713607	1.0862322396470818
S71561	152.051472285	12.299305642	4304	0.7374920050303141	-1.3742818290462948	0.010546597347113811	0.13020949141676866	-1.5270933931244375	0.18663942973155925	1.739744961379013
S30978	152.17177454999998	12.296512865	4357	0.7668604254722594	-1.3524097726889215	0.01917396685672325	0.21378993818722852	-1.355655874652274	0.15462772641988776	1.1267238466066802
S61563	151.996870185	12.343317631	4194	0.6761963963508606	-1.5732125594833233	0.011192400679331674	-0.05375931539217793	-2.030839729255972	0.19156618931852748	1.313175817880052
S21712	152.15278038	12.310591003	4383	0.831019937992096	-1.7292800117965936	0.03420802847121571	-0.28344187347065136	-1.8042369852347209	0.23180977433261546	0.8447409736903718
S61347	152.03271973499997	12.350091468	4374	0.8212180534998574	-1.9846706556411888	0.03354740442143544	0.12874583548787447	-1.8275676343635476	0.1580827824252326	1.0133263470679252
S60225	152.09395588499999	12.345937544	4437	0.8747743765513102	-1.1460088636671155	0.018590455189013224	-0.19491557899227596	-1.8974163134082331	0.21885358033951552	1.0375613213833086
S22621	152.12629939500002	12.340320798	4692	0.9913208683331807	-1.2174475264285423	0.02779270632667362	-0.06777228665016877	-1.0998087523559918	0.16753304708008637	1.127523029027896
S31669	152.14321843500002	12.29831537	4428	0.9323885639508563	-1.8188149894322405	0.053441902864834204	0.2314568095462137	-2.187350799840692	0.27349575296107836	0.7340577715631447
S22595	152.127089175	12.328519486	4429	0.9149316151936849	-1.1325289620566383	0.016247840960597892	0.0845639256237546	-1.3292090743594274	0.21967877640846395	1.3110595701985082
S30854	152.17903707	12.303010726	4442	0.9265151023864745	-2.5945136913410876	0.0412281533387198	0.1351023827126433	-6.4097301931087225	564.9990831343144	0.7859166864258057
S60646	152.078827365	12.359981401	4341	0.9249341487884519	-1.1945048149513224	0.019069227524868757	0.15824134523292824	-1.553735743607032	0.1879925390028674	1.1371386400782446
S61288	152.03826035999998	12.33231805	4398	0.9459551175435382	-1.3519395115383341	0.01817308546790506	0.12203810104795056	-1.847049443604978	0.2061028491679	1.2819753231433835
S30374	152.23118709000002	12.289161861	4437	0.992343525091807	-1.2615101035182552	0.017507872467733072	-0.06535774235952783	-1.589498439669523	0.2212666316113606	1.0965494281145023
S30332	152.23651942499998	12.299886587	4595	1.104911724726359	-2.5459474335409618	0.08915615809127984	0.10754410377500333	-3.3467405086323745	1.2086588418293145	0.8964051127043429
S60810	152.07127943999998	12.324572981	4462	1.0519691705703735	-1.7656039791349794	0.05394840836911596	0.33234285282121323	-1.9672962762639166	0.30125987434349105	0.6277857411399758
S61387	152.02875489	12.357320828	4451	1.0411205689112346	-1.6902828903624254	0.034981596437196436	-0.048107396639073124	-7.65459523202269	4094.4500699940727	1.1508751802885697
S60443	152.08585836	12.322461479	4379	1.0033468008041382	-1.5426912920274676	0.03683563103199799	0.07105714221768354	-1.2688562683742333	0.17271303271412716	0.8974850498095457
S30498	152.21130666	12.296090353	4383	1.0359391768773396	-1.5244123460946117	0.030374288512551285	0.061826461176296706	-1.534103664009596	0.2430736785909511	0.8786806601813372
S32186	152.127758655	12.298875392	4529	1.0965548356374104	-1.3509239723299094	0.0577873978207999	0.19276182086200594	-1.207362231891396	0.2126912877342016	0.8794716775016066
S31789	152.13898384499998	12.302641724	4519	1.1364271243413289	-1.2491448387208965	0.046401544317894505	-0.08996967542028483	-1.4469951246181787	0.305693355908316	0.9126001299713773
S31386	152.15352923999998	12.300348829	4445	1.1059236923853555	-1.879289674506076	0.07434183423478356	0.004044956075349696	-2.116631883046785	0.35590463586591237	0.752435604694813
S20689	152.20143399	12.341582205	4437	1.0981072982152302	-1.3556949184939278	0.025787715452760755	-0.3311190897521718	-2.203025509490406	0.3683271873844862	0.8731709448905296
S61441	152.02180021499998	12.316488899	4664	1.1720477342605589	-1.453346490524451	0.039078530296773675	0.2782350608557204	-1.3129634213882369	0.21051146872935422	0.8721578650403686
S23382	152.10607515	12.333561408	4459	1.1005047957102456	-1.2636205678479238	0.027287389239022082	-0.11055109372601185	-1.6292876096731745	0.27814854417118096	1.5434197235125233
S61411	152.02505424	12.330878721	4526	1.1249645551045735	-1.57705124713901	0.02015538989018232	-0.20598343853918852	-1.3940566221468145	0.19741183767872839	0.8484720264289243
S21989	152.14350507	12.335147612	4368	1.0856626431147256	-1.3037605116468534	0.03642528635974849	0.06680143340739288	-1.3494704478811363	0.22349843530840974	0.799791143062938
S61206	152.04606550500003	12.329546086	4504	1.1388697624206543	-1.8071162835454795	0.030765284526633897	-0.07185207252297088	-2.2430022879585554	0.3656252911280768	0.9104544994920157
S20372	152.24024557500002	12.323048618	4555	1.1846933364868162	-1.5747599107772345	0.04951123833089699	0.05039802044226771	-1.577610480550447	0.3419336187132145	0.955493813946009
S20507	152.219945325	12.334111191	4351	1.1084576447804768	-1.3714616898191363	0.025162134471811235	-0.09384914865494204	-1.3950314659526823	0.23776085042684184	0.8200927024933242
S20640	152.20619463	12.354348066	4454	1.1373013655344644	-1.5790525762840157	0.025427672671979765	-0.07534926906775295	-1.459072195232519	0.2340801825498197	0.8031949960033103
S60119	152.097264495	12.346006872	4448	1.1380239327748614	-1.4210679733983187	0.038190190387867924	0.032348951301359265	-1.8022542889905306	0.3471742441278872	0.8547625742451215
S22756	152.12238686999999	12.310783501	4437	1.1314355134963987	-1.3019534781246092	0.025012899319513452	0.032462793235252925	-1.474273681662601	0.2639446781702269	0.7464386238213944
S61378	152.029845765	12.337000996	4742	1.2793535788853962	-1.0960304732282018	0.019572088590786255	-0.0969830347740957	-1.739341701691381	0.32431754678416547	0.9667620619355024
S61043	152.05730259	12.318831371	4651	1.2359867095947263	-1.2426870168981432	0.02045935613512073	-0.10099470950682621	-1.119508975095795	0.2451389582963249	0.8677847198964144
S32848	152.110069485	12.300202498	4317	1.1105014483133948	-1.625004791254352	0.027528790515855887	-0.1433447242426112	-1.824782870320618	0.3320646638453292	0.7267255489382239
S61454	152.020586445	12.343323362	4575	1.2162327369054158	-1.1988237114156557	0.036220412861902286	0.038675256027904795	-1.4695733955263341	0.21560698622204633	0.8836487959181571
