Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)
ET009	15.225749999999998	-33.67072222222222	0.0	0.0	-1.6600000000000001	0.0	0.0	-1.9819678714859439	0.1407124727947029	0.0
ET013	15.20933333333333	-33.61061111111111	0.0	0.0	-1.6600000000000001	0.0	0.0	-1.7922222222222222	0.220454076850486	0.0
ET024	15.14183333333333	-33.65128055555555	0.0	0.0	-1.23	0.0	0.0	-1.5066666666666666	0.12124355652982141	0.0
ET027	15.064041666666665	-33.65172222222222	0.0	0.0	-1.48	0.0	0.0	-1.8866666666666667	0.08660254037844388	0.0
ET028	15.074041666666664	-33.599919444444446	0.0	0.0	-1.19	0.0	0.0	-1.44	0.06928203230275509	0.0
ET039	15.109124999999997	-33.52744166666667	0.0	0.0	-1.22	0.0	0.0	-1.5636363636363637	0.12369316876852982	0.0
ET048	14.981791666666664	-33.55683611111111	0.0	0.0	-0.9000000000000001	0.0	0.0	-1.4332468060867443	0.1392838827718412	0.0
ET054	14.98583333333333	-33.611583333333336	0.0	0.0	-1.31	0.0	0.0	-1.5833901918976545	0.08774964387392122	0.0
ET057	14.975874999999997	-33.67422222222222	0.0	0.0	-1.51	0.0	0.0	-1.7175257731958764	0.09273618495495704	0.0
ET060	14.907249999999998	-33.59999722222222	0.0	0.0	-1.16	0.0	0.0	-1.5071604938271606	0.13304134695650072	0.0
ET063	14.90508333333333	-33.61958333333333	0.0	0.0	-1.28	0.0	0.0	-1.6545360824742268	0.09273618495495704	0.0
ET064	14.922499999999998	-33.646388888888886	0.0	0.0	-1.6300000000000001	0.0	0.0	-1.928431213168055	0.15652475842498528	0.0
ET067	14.904166666666665	-33.507888888888886	0.0	0.0	-1.33	0.0	0.0	-1.5848780487804879	0.11661903789690602	0.0
ET069	14.91858333333333	-33.59827777777778	0.0	0.0	-1.51	0.0	0.0	-1.751896551724138	0.1857417562100671	0.0
ET083	14.799291666666663	-33.69036111111111	0.0	0.0	-2.1399999999999997	0.0	0.0	-2.0435185185185185	0.13304134695650072	0.0
ET097	14.800374999999997	-33.772444444444446	0.0	0.0	-1.8299999999999998	0.0	0.0	-1.9789690721649487	0.09273618495495704	0.0
ET109	14.867874999999996	-33.702000000000005	0.0	0.0	-1.48	0.0	0.0	-1.7417910447761191	0.11	0.0
ET121	15.002041666666665	-33.82661111111111	0.0	0.0	-0.8700000000000001	0.0	0.0	-1.4369014084507041	0.15165750888103102	0.0
ET126	14.927374999999998	-33.70502777777778	0.0	0.0	-1.68	0.0	0.0	-1.9649164677804294	0.18193405398660253	0.0
ET133	14.948624999999998	-33.79152777777777	0.0	0.0	-1.66	0.0	0.0	-1.847086368366285	0.12884098726725127	0.0
ET137	15.105416666666667	-33.84744166666667	0.0	0.0	-1.13	0.0	0.0	-1.6085358255451714	0.1849324200890693	0.0
ET138	15.158833333333332	-33.80469444444444	0.0	0.0	-0.91	0.0	0.0	-1.457904284909765	0.4509988913511872	0.0
ET139	15.177083333333332	-33.73986111111111	0.0	0.0	-1.75	0.0	0.0	-1.7358955223880599	0.11	0.0
ET151	15.076208333333332	-33.703388888888895	0.0	0.0	-1.47	0.0	0.0	-1.565223880597015	0.11	0.0
ET160	15.093041666666664	-33.84	0.0	0.0	-1.45	0.0	0.0	-1.5130782029950085	0.18055470085267789	0.0
ET164	15.141083333333329	-33.748444444444445	0.0	0.0	-1.47	0.0	0.0	-1.7199857752489331	0.15652475842498528	0.0
ET166	15.043708333333331	-33.82691666666667	0.0	0.0	-1.3099999999999998	0.0	0.0	-1.5492682926829269	0.11661903789690602	0.0
ET168	15.142999999999999	-33.831361111111114	0.0	0.0	-0.98	0.0	0.0	-1.4757627118644068	0.13114877048604	0.0
ET173	15.211958333333332	-33.751444444444445	0.0	0.0	-1.5899999999999999	0.0	0.0	-1.4704317737325108	0.21748563170931545	0.0
ET200	15.061708333333332	-33.61386111111111	0.0	0.0	-1.1300000000000001	0.0	0.0	-1.5566101694915253	0.12727922061357858	0.0
ET202	15.08783333333333	-33.562888888888885	0.0	0.0	-1.39	0.0	0.0	-1.659310344827586	0.15620499351813308	0.0
ET232	14.97695833333333	-33.6315	0.0	0.0	-1.2200000000000002	0.0	0.0	-1.5813559322033897	0.13114877048604	0.0
ET237	14.961583333333332	-33.52975	0.0	0.0	-1.2	0.0	0.0	-1.5851452956716114	0.15652475842498528	0.0
ET238	14.989999999999998	-33.64236111111111	0.0	0.0	-1.37	0.0	0.0	-1.5222064056939502	0.16186414056238646	0.0
ET240	14.99295833333333	-33.57788888888889	0.0	0.0	-1.6900000000000002	0.0	0.0	-1.6813898792769126	0.2092844953645635	0.0
ET244	14.998541666666664	-33.658858333333335	0.0	0.0	-1.07	0.0	0.0	-1.396043165467626	0.13892443989449804	0.0
ET270	14.79720833333333	-33.62444166666667	0.0	0.0	-1.33	0.0	0.0	-1.4886023294509152	0.18055470085267789	0.0
