Title: Lithium-Rich Giants in Globular Clusters
Authors: Kirby E.N., Guhathakurta P., Zhang A.J., Hong J., Guo M., Guo R.,
         Cohen J.G.
Table: Stellar Properties and Lithium Abundances
================================================================================
Byte-by-byte Description of file: table_catalog.dat
--------------------------------------------------------------------------------
   Bytes Format Units     Label   Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---       GC      Globular cluster
  10- 24 A15    ---       Name    Star name
  26- 27 I2     h         RAh     Hour of Right Ascension (J2000)
  29- 30 I2     min       RAm     Minute of Right Ascension (J2000)
  32- 36 F5.2   s         RAs     Second of Right Ascension (J2000)
      38 A1     ---       DE-     Sign of the Declination (J2000)
  39- 40 I2     deg       DEd     Degree of Declination (J2000)
  42- 43 I2     arcmin    DEm     Arcminute of Declination (J2000)
  45- 48 F4.1   arcsec    DEs     Arcsecond of Declination (J2000)
  50- 52 A3     ---       Branch  RGB or AGB star
  54- 58 F5.2   mag       V       Extinction-corrected apparent V magnitude
  60- 63 F4.2   mag       B-V     ? Reddening-corrected B-V color
  65- 68 F4.2   mag       V-I     ? Reddening-corrected V-I color
  70- 74 F5.2   mag       M_V     Extinction-corrected absolute V magnitude
  76- 79 I4     K         Teff    Effective temperature
  81- 84 F4.2   cm/s^2    logg    Surface gravity
  86- 90 F5.2   [Sun]     [Fe/H]  Iron abundance relative to the Sun
  92- 95 F4.2   [Sun]   e_[Fe/H]  Uncertainty in [Fe/H]
      97 A1     ---       LiUL    ? Upper limit flag for A(Li)
  98-102 F5.2   ---       A(Li)   Lithium abundance
 104-107 F4.2   ---     e_A(Li)   ? Uncertainty in A(Li)
--------------------------------------------------------------------------------
M68      Stet-M68-S232   12 39 33.44 -26 43 13.3 AGB 13.07 1.06 1.20 -2.01 4462 0.98 -2.38 0.11   3.17 0.10
M68      Stet-M68-S534   12 39 36.77 -26 37 57.9 RGB 17.34 0.63 0.78  2.27 5488 3.15 -2.44 0.13   2.41 0.15
NGC 5053 N5053-S79       13 16 38.75 +17 41 48.2 RGB 17.51 0.56 0.85  1.31 5367 2.73 -2.30 0.11   2.72 0.14
NGC 5897 Tes01-WF4-703   15 17 23.15 -20 59 42.3 AGB 14.90      1.04 -0.62 4774 1.70 -1.99 0.11   1.50 0.11
M30      132             21 40 09.50 -23 09 46.4 RGB 17.60      0.72  3.04 5640 3.54 -2.43 0.12   2.66 0.14
M30      7229            21 40 18.77 -23 13 40.4 RGB 17.05      0.75  2.49 5510 3.28 -2.32 0.11   2.87 0.13
NGC 288  206             00 52 15.51 -26 41 04.7 RGB 15.13      0.98  0.37 4744 2.16 -1.39 0.11 < 0.42     
NGC 288  1635            00 52 20.64 -26 37 34.7 RGB 17.38      0.82  2.62 5290 3.26 -1.38 0.11 < 1.45     
NGC 288  2133            00 52 27.93 -26 37 08.6 RGB 17.16      0.85  2.40 5228 3.14 -1.28 0.11 < 1.55     
NGC 288  2228            00 52 28.85 -26 37 04.2 RGB 17.84      0.82  3.08 5359 3.45 -1.33 0.11 < 1.71     
NGC 288  N288-S612       00 52 30.92 -26 32 02.6 RGB 17.43 0.62 0.80  2.67 5406 3.30 -1.16 0.11 < 2.26     
NGC 288  556             00 52 31.27 -26 39 01.0 AGB 14.63      0.85 -0.13 5309 2.11 -1.35 0.11 < 0.91     
