Star	EW5407	EWerror5407	HFS5407	[Mn/H]5407	[Mn/Fe]5407	[Mn/Fe]error5407	EW5420	EWerror5420	HFS5420	[Mn/H]5420	[Mn/Fe]5420	[Mn/Fe]error5420
BL038	210.9	5.6	 −1.40	 −0.99	 −0.08	0.09	217.4	3.4	 −1.45	 −1.24	 −0.33	0.08
BL045	152.2	5.6	 −0.94	 −1.32	 −0.27	0.06	160.5	3.9	 −1.04	 −1.57	 −0.52	0.06
BL065	49.3	4.4	 −0.14	 −1.81	 −0.37	0.08	67.8	4.3	 −0.23	 −1.92	 −0.48	0.07
BL076	190.6	4.9	 −1.26	 −1.09	 −0.23	0.06	188.6	6.8	 −1.26	 −1.42	 −0.56	0.07
BL077	188.5	3.4	 −1.24	 −1.13	 −0.34	0.06	198.1	6.4	 −1.34	 −1.36	 −0.57	0.07
BL081	218.0	6.3	 −1.51	 −0.81	 −0.18	0.09	203.5	9.7	 −1.47	 −1.26	 −0.63	0.11
BL084	185.9	6.4	 −1.31	 −1.22	 −0.35	0.07	202.4	5.8	 −1.46	 −1.38	 −0.51	0.07
BL091	155.0	4.5	 −0.96	 −1.25	 −0.27	0.07	176.3	5.7	 −1.21	 −1.41	 −0.43	0.07
BL092	153.5	6.3	 −1.06	 −1.47	 −0.55	0.08	162.5	5.6	 −1.18	 −1.71	 −0.79	0.08
BL096	172.0	6.6	 −1.18	 −1.29	 −0.58	0.09	192.5	27.9	 −1.38	 −1.42	 −0.71	0.25
BL097	189.5	3.0	 −1.16	 −1.11	 −0.19	0.06	209.3	5.0	 −1.33	 −1.24	 −0.32	0.07
BL100	149.0	7.9	 −0.91	 −1.40	 −0.46	0.08	174.0	2.6	 −1.20	 −1.54	 −0.60	0.06
BL104	201.4	4.3	 −1.34	 −1.05	 −0.07	0.07	187.5	6.7	 −1.25	 −1.48	 −0.50	0.08
BL113	203.3	5.3	 −1.35	 −0.86	 −0.10	0.08	200.1	7.8	 −1.33	 −1.18	 −0.42	0.09
BL115	87.1	4.1	 −0.33	 −1.77	 −0.30	0.07	95.8	4.6	 −0.41	 −2.00	 −0.53	0.07
BL123	191.6	4.3	 −1.19	 −1.18	 −0.20	0.06	203.6	7.0	 −1.30	 −1.38	 −0.40	0.08
BL125	199.9	4.3	 −1.42	 −0.99	 −0.24	0.07	197.0	6.2	 −1.42	 −1.32	 −0.57	0.08
BL132	220.9	8.6	 −1.49	 −0.94	 −0.02	0.10	220.8	5.7	 −1.53	 −1.27	 −0.35	0.09
BL138	219.8	5.6	 −1.39	 −1.00	0.01	0.08	222.4	7.8	 −1.39	 −1.26	 −0.25	0.10
BL140	185.4	5.9	 −1.30	 −1.20	 −0.37	0.09	195.4	5.7	 −1.40	 −1.41	 −0.58	0.09
BL141	185.1	5.2	 −1.29	 −1.11	 −0.27	0.08	174.3	6.6	 −1.20	 −1.50	 −0.66	0.08
BL146	198.3	6.4	 −1.23	 −1.02	 −0.09	0.08	207.8	5.5	 −1.32	 −1.24	 −0.31	0.08
BL149	170.3	4.7	 −1.06	 −1.21	 −0.29	0.08	181.0	8.1	 −1.17	 −1.43	 −0.51	0.09
BL150	211.7	5.1	 −1.41	 −0.93	 −0.11	0.08	213.1	5.8	 −1.43	 −1.22	 −0.40	0.08
BL151	200.8	3.5	 −1.41	 −1.02	 −0.14	0.08	211.6	6.4	 −1.49	 −1.22	 −0.34	0.09
BL155	226.7	7.0	 −1.40	 −0.75	 −0.04	0.09	210.3	7.9	 −1.34	 −1.21	 −0.50	0.10
BL156	128.7	4.1	 −0.62	 −1.49	 −0.34	0.08	150.2	6.4	 −0.86	 −1.66	 −0.51	0.08
BL158	189.5	6.9	 −1.42	 −1.07	 −0.22	0.10	206.1	8.5	 −1.53	 −1.22	 −0.37	0.11
BL160	196.6	4.8	 −1.31	 −1.07	 −0.20	0.08	203.1	6.7	 −1.37	 −1.31	 −0.44	0.09
BL163	222.8	7.1	 −1.38	 −0.73	0.01	0.09	221.2	8.4	 −1.40	 −1.06	 −0.32	0.11
BL166	210.3	6.9	 −1.31	 −0.89	0.00	0.09	215.5	3.5	 −1.36	 −1.15	 −0.26	0.08
BL168	187.1	5.4	 −1.30	 −1.06	 −0.16	0.08	189.3	5.1	 −1.35	 −1.36	 −0.46	0.08
BL171	204.5	6.9	 −1.21	 −1.00	 −0.08	0.08	222.0	8.3	 −1.32	 −1.14	 −0.22	0.10
BL173	220.5	8.4	 −1.37	 −0.87	0.00	0.11	210.7	8.1	 −1.35	 −1.27	 −0.40	0.10
BL185	222.9	8.1	 −1.52	 −0.75	0.02	0.10	211.2	6.0	 −1.50	 −1.18	 −0.41	0.09
BL190	204.9	7.5	 −1.28	 −1.02	 −0.23	0.08	208.7	7.8	 −1.33	 −1.30	 −0.51	0.09
BL195	141.1	3.9	 −0.80	 −1.22	 −0.24	0.07	169.8	5.8	 −1.13	 −1.34	 −0.36	0.07
BL196	187.5	2.9	 −1.07	 −1.20	 −0.16	0.06	168.1	4.3	 −0.88	 −1.62	 −0.58	0.07
BL197	201.1	8.5	 −1.34	 −1.11	 −0.22	0.10	198.9	5.5	 −1.35	 −1.45	 −0.56	0.08
BL203	183.5	5.2	 −1.29	 −1.18	 −0.34	0.08	217.9	7.0	 −1.51	 −1.15	 −0.31	0.10
BL205	207.0	5.7	 −1.36	 −0.74	 −0.03	0.08	222.1	6.0	 −1.46	 −0.90	 −0.19	0.09
BL208	202.1	4.7	 −1.42	 −0.87	 −0.19	0.08	201.1	5.0	 −1.43	 −1.18	 −0.50	0.08
