apstar_id,apogee_id,ra,dec,teff,logg,fparam_logvmicro,fparam_m_h,fparam_alpha_m,mn_fe,mn_fe_err
apogee.apo25m.s.stars.4230.2M21291569+1132328,2M21291569+1132328,322.315411,11.542449,4669.674,2.378948,0.14929,0.050388,0.12115,-0.02590197,0.02079343
apogee.apo25m.s.stars.4230.2M21291891+1124091,2M21291891+1124091,322.328819,11.402544,4821.138,3.187786,0.13455,-0.058109,0.15272,-0.03209461,0.02417398
apogee.apo25m.s.stars.4230.2M21291904+1116585,2M21291904+1116585,322.329364,11.28293,4856.726,2.510613,0.16263,-0.27277,0.093201,-0.01432806,0.02674568
apogee.apo25m.s.stars.4230.2M21291926+1135069,2M21291926+1135069,322.330269,11.58526,4895.664,2.979272,0.093328,-0.27343,0.22168,-0.03847116,0.03826868
apogee.apo25m.s.stars.4230.2M21292311+1229076,2M21292311+1229076,322.346297,12.485458,4157.399,1.778169,0.13248,0.14855,0.0474,0.09619308,0.01661794
apogee.apo25m.s.stars.4230.2M21292330+1125501,2M21292330+1125501,322.34711,11.430591,4460.824,1.724502,0.24275,-0.8533,0.22423,-0.2483264,0.03228574
apogee.apo25m.s.stars.4230.2M21292665+1130207,2M21292665+1130207,322.36106,11.505765,4745.6,3.079116,0.083576,0.20322,0.076827,0.01991595,0.02672718
apogee.apo25m.s.stars.4230.2M21292918+1125584,2M21292918+1125584,322.3716,11.432892,4935.096,3.432955,0.1152,-0.12891,0.11238,-0.04855481,0.02755717
apogee.apo25m.s.stars.4230.2M21293081+1227232,2M21293081+1227232,322.378394,12.456456,4877.967,2.78398,0.0038537,-0.63752,0.2736,-0.2267728,0.04068606
apogee.apo25m.s.stars.4230.2M21293516+1214396,2M21293516+1214396,322.396534,12.244339,4884.831,2.340904,0.16398,-0.49809,0.24417,-0.09449351,0.03529925
apogee.apo25m.s.stars.4230.2M21291537+1256319,2M21291537+1256319,322.314042,12.942221,4890.917,2.349005,0.1699,-0.37289,0.23896,-0.1683533,0.04851465
