Star	RA	Dec	spec_Teff	spec_logg	spec_vt	spec_log_ep(FeI)	spec_log_ep(FeII)	spec_feh_mean	evol	evol_Teff	evol_logg	evol_vt	evol_log_ep(FeI)	evol_log_ep(FeII)	evol_feh
I-55	15 18 36.3835392435	+02 08 50.835617872	4700	0.85	1.80	6.04	6.05	 1.48	a	4750	1.51	1.90	6.05	6.29	 1.23
III-53	15 18 23.8201037500	+02 01 06.954270217	4700	1.05	1.75	6.05	6.07	 1.46	a	4675	1.42	1.75	6.00	6.25	 1.27
IV-26	15 18 39.7778179356	+02 01 10.229838359	4650	1.05	1.40	6.13	6.11	 1.40	a	4675	1.43	1.50	6.11	6.24	 1.28
IV-30	15 18 36.8855394481	+02 02 05.736159922	4625	1.00	1.75	6.07	6.09	 1.44	a	4620	1.37	1.75	6.05	6.27	 1.25
III-18	15 18 20.1491757659	+02 03 32.238828692	4475	0.55	1.70	6.06	6.07	 1.46	a	4520	1.24	1.80	6.09	6.34	 1.18
I-20	15 18 41.3967279215	+02 06 00.549266898	4050	0.00	2.00	6.05	6.05	 1.47	a	4200	0.69	2.40	6.08	6.14	 1.38
IV-4	15 18 34.8134781400	+02 02 22.701487856	4625	1.55	1.20	6.27	6.28	 1.25	r	4600	1.65	1.10	6.28	6.38	 1.14
IV-36	15 18 41.0380376676	+02 02 24.339403827	4575	1.50	1.35	6.22	6.20	 1.30	r	4600	1.61	1.35	6.25	6.33	 1.19
III-59	15 18 26.3624261525	+02 02 38.558242669	4575	1.20	1.35	6.21	6.21	 1.31	r	4600	1.60	1.40	6.22	6.37	 1.15
I-50	15 18 37.8171177463	+02 07 02.488600648	4525	1.15	1.40	6.18	6.16	 1.35	r	4590	1.55	1.60	6.19	6.27	 1.25
II-50	15 18 20.7269451905	+02 06 41.472191502	4525	1.15	1.35	6.24	6.24	 1.28	r	4590	1.57	1.45	6.28	6.32	 1.20
III-52	15 18 24.2873035887	+02 01 09.101765646	4625	1.50	1.45	6.19	6.17	 1.34	r	4575	1.63	1.40	6.14	6.28	 1.24
II-74	15 18 29.3623784539	+02 07 50.040584327	4525	1.30	1.30	6.27	6.25	 1.25	r	4575	1.52	1.25	6.35	6.33	 1.19
I-2	15 18 34.0127492228	+02 07 15.869826690	4500	1.10	1.45	6.17	6.14	 1.36	r	4540	1.52	1.50	6.21	6.30	 1.22
II-59	15 18 30.4933572017	+02 07 00.548067480	4463	1.15	1.65	6.29	6.25	 1.25	r	4450	1.27	1.30	6.19	6.37	 1.15
I-61	15 18 40.5233987683	+02 07 33.781486273	4400	1.00	1.50	6.22	6.21	 1.30	r	4425	1.27	1.70	6.20	6.28	 1.24
I-58	15 18 39.5470013620	+02 07 23.831775857	4350	0.80	1.50	6.21	6.22	 1.31	r	4400	1.20	1.60	6.25	6.35	 1.17
IV-34	15 18 41.2055478189	+02 01 51.227651867	4275	0.65	1.55	6.20	6.20	 1.32	r	4325	1.08	1.65	6.24	6.34	 1.18
I-14	15 18 40.6183621157	+02 06 24.227504409	4250	0.75	1.60	6.19	6.20	 1.33	r	4280	1.02	1.75	6.18	6.28	 1.24
III-149	15 18 10.4247931619	+02 03 32.160283177	4225	0.60	1.70	6.20	6.18	 1.33	t	4200	0.91	1.75	6.19	6.37	 1.15
IV-19	15 18 35.0467922005	+02 01 06.902952473	4125	0.50	1.70	6.11	6.15	 1.39	t	4150	0.76	1.75	6.13	6.24	 1.28
IV-47	15 18 41.6460881150	+02 03 53.409141925	4110	0.50	1.85	6.21	6.17	 1.33	t	4070	0.61	1.90	6.18	6.30	 1.22
II-85	15 18 29.3838746347	+02 08 27.640617804	4050	0.45	1.85	6.18	6.20	 1.33	t	4009	0.54	1.85	6.18	6.32	 1.20
IV-81	15 18 44.9525993073	+02 02 03.569758382	3945	0.00	1.90	6.11	6.14	 1.39	t	3950	0.42	1.90	6.17	6.36	 1.16
G2	15 18 36.0	+02 04 00	3900	 0.10	1.75	6.16	6.18	 1.35	t	3900	0.25	1.80	6.19	6.36	 1.16
