Star	Evol	Fe(II)	Fe(I)	O(II)	Na(I)	Mg(I)	Al(I)	Si(I)	Ca(I)	Sc(II)	Ti(I)	V(I)	Mn(I)	Ni(I)	Ba(II)	La(II)	Eu(II)	Ba/Eu(II)
I 55	a	 1.23	 1.47	 0.45	+0.26		+0.82	+0.35	+0.24	+0.01	+0.18	 0.36	 0.44	0.00	+0.24	 0.03	+0.26	 0.02
III 53	a	 1.27	 1.52	 0.55	+0.38		+0.80	+0.44	+0.23	 0.04	+0.11	 0.46	 0.36	 0.05	+0.37	 0.07	+0.41	 0.04
IV 26	a	 1.28	 1.41	+0.17	 0.10		+0.21	+0.31	+0.33	 0.01	+0.12	 0.09	 0.31	 0.06	+0.32	 0.05	+0.49	 0.17
IV 30	a	 1.25	 1.47	0.00	+0.19		+0.54	+0.36	+0.25	+0.04	+0.18	 0.17	 0.34	0.00	+0.25	 0.08	+0.33	 0.08
III 18	a	 1.18	 1.43	+0.13	+0.04		+0.38	+0.32	+0.23	 0.03	+0.14	 0.05	 0.30	0.00	+0.16	 0.21	+0.27	 0.11
I 20	a	 1.38	 1.44	+0.35	+0.33		+0.38	+0.47	+0.19	+0.04	+0.30	+0.03	 0.29	 0.01	+0.21	0.00	+0.49	 0.28
IV 4	r	 1.14	 1.24	+0.13	 0.23		+0.19	+0.20	+0.35	+0.11	+0.12	 0.22	 0.36	+0.02	+0.43	+0.22	+0.20	+0.23
IV 36	r	 1.19	 1.27	 0.03	+0.18		+0.50	+0.26	+0.31	+0.14	+0.21	0.00	 0.25	 0.06	+0.28	 0.03	+0.51	 0.23
III 59	r	 1.15	 1.30	 0.12	+0.24		+0.64	+0.32	+0.34	 0.11	+0.28	 0.10	 0.18	 0.04	+0.14	+0.12	+0.45	 0.31
I 50	r	 1.25	 1.33	 0.45	+0.44		+0.78	+0.26	+0.32	+0.08	+0.24	0.00	 0.20	 0.01	+0.12	+0.15	+0.54	 0.42
II 50	r	 1.20	 1.24	+0.08	 0.11		+0.32	+0.24	+0.26	+0.04	+0.21	 0.11	 0.21	 0.12	+0.23	+0.19	+0.49	 0.26
III 52	r	 1.24	 1.38	+0.26	 0.19		+0.03	+0.34	+0.35	+0.05	+0.20	 0.03	 0.22	0.00	+0.21	+0.03	+0.52	 0.31
II 74	r	 1.19	 1.17	 0.35	+0.26		+0.61	+0.26	+0.28	+0.24	+0.13	 0.12	 0.15	 0.08	+0.37	+0.11	+0.53	 0.16
I 2	r	 1.22	 1.31	+0.01	+0.22		+0.46	+0.34	+0.33	+0.11	+0.26	 0.11	 0.28	 0.06	+0.16	+0.08	+0.49	 0.33
II 59	r	 1.15	 1.33	 0.50	+0.38		+0.57	+0.37	+0.41	+0.05	+0.04	 0.47	 0.36	 0.10	+0.03	 0.15	+0.16	 0.13
I 61	r	 1.24	 1.32	+0.29	 0.25		+0.13	+0.31	+0.30	+0.06	+0.24	+0.03	 0.22	 0.06	+0.14	+0.20	+0.59	 0.45
I 58	r	 1.17	 1.27	 0.28	+0.23		+0.53	+0.30	+0.32	+0.09	+0.23	 0.01	 0.20	 0.03	+0.16	+0.06	+0.41	 0.25
IV 34	r	 1.18	 1.28	+0.01	+0.13		+0.35	+0.28	+0.27	+0.05	+0.28	 0.02	 0.24	 0.03	+0.17	 0.12	+0.45	 0.28
I 14	r	 1.24	 1.34	+0.01	+0.19		+0.54	+0.36	+0.25	+0.12	+0.21	 0.03	 0.23	 0.04	+0.05	+0.15	+0.46	 0.41
III 149	t	 1.15	 1.33	+0.16	 0.16		+0.07	+0.33	+0.25	 0.03	+0.16	 0.07	 0.24	 0.05	+0.09	 0.07	+0.45	 0.36
IV 19	t	 1.28	 1.39	+0.22	+0.02		+0.36	+0.37	+0.30	+0.05	+0.31	+0.03	 0.20	+0.02	+0.12	+0.09	+0.52	 0.40
IV 47	t	 1.22	 1.34	+0.02	+0.17	+0.36		+0.27	+0.21	 0.01	+0.23	+0.02		 0.05	+0.07	+0.03	+0.37	 0.30
II 85	t	 1.20	 1.34	+0.08	+0.38	+0.42		+0.38	+0.25	 0.07	+0.18	 0.02		 0.02	0.00	 0.01	+0.36	 0.36
IV 81	t	 1.16	 1.35	 0.08	+0.10		+0.36	+0.37	+0.23	0.00	+0.29	+0.01	 0.15	 0.03	+0.07	+0.03	+0.39	 0.32
G2	t	 1.16	 1.33	+0.01	+0.12		+0.35	+0.30	+0.23	 0.07	+0.41	 0.08	 0.04	 0.01	+0.07	 0.06	+0.38	 0.31
