Cluster	OName	ID	Teff	log(g)	VTurb	[Fe/H]L	[Fe/H]	[Mn/Fe]	SimbadName	_RA	_DE
NGC 5272	M3 	B21     	4725	 1.65	 1.20	-1.61	-1.48	-0.61	                          	         	
NGC 5272	M3 	B23     	4800	 2.10	 1.40	-1.70	-1.63	-0.61	                          	         	
NGC 5272	M3 	B24     	4450	 1.00	 1.90	-1.59	-1.52	-0.48	Cl* NGC 5272 SKG B2 4     	205.55818	+28.37781
NGC 5272	M3 	B33     	4550	 1.30	 1.65	-1.55	-1.48	-0.55	Cl* NGC 5272 SKG B3 3     	205.54604	+28.38274
NGC 5272	M3 	B34     	3850	 0.00	 2.00	-1.62	-1.55	-0.55	Cl* NGC 5272 SKG B3 4     	205.54527	+28.38286
NGC 5272	M3 	B11     	4400	 1.10	 1.50	-1.56	-1.59	-0.41	Cl* NGC 5272 SKG B1 1     	205.55510	+28.37897
NGC 5272	M3 	B12     	4400	 1.10	 1.80	-1.62	-1.74	-0.34	Cl* NGC 5272 SKG B1 2     	205.55407	+28.37936
NGC 5272	M3 	B13     	3900	 0.00	 2.05	-1.54	-1.58	-0.41	Cl* NGC 5272 SKG B1 3     	205.55394	+28.38046
NGC 5272	M3 	B14     	4175	 0.70	 1.70	-1.58	-1.60	-0.39	Cl* NGC 5272 SKG B1 4     	205.55344	+28.37940
NGC 5272	M3 	B15     	4350	 1.10	 1.50	-1.67	-1.67	-0.43	Cl* NGC 5272 SKG B1 5     	205.55267	+28.37870
NGC 5272	M3 	B41     	4075	 0.40	 1.70	-1.54	-1.57	-0.41	Cl* NGC 5272 SKG B4 1     	205.55212	+28.38621
NGC 5272	M3 	B42     	4100	 0.40	 1.70	-1.56	-1.56	-0.43	Cl* NGC 5272 SKG B4 2     	205.55198	+28.38415
NGC 5272	M3 	B43     	4750	 1.40	 1.60	-1.75	-1.71	-0.39	                          	         	
NGC 5272	M3 	B44     	5050	 2.00	 1.50	-1.71	-1.71	-0.41	                          	         	
NGC 5272	M3 	B45     	5100	 2.40	 1.00	-1.58	-1.73	-0.28	                          	         	
NGC 5272	M3 	F24     	4600	 1.70	 1.20	-1.54	-1.51	-0.41	                          	         	
NGC 5272	M3 	I21     	4175	 0.70	 1.70	-1.52	-1.57	-0.39	NGC 5272 1352             	205.62835	+28.38471
NGC 5272	M3 	IV-101  	4200	 0.75	 1.70	-1.50	-1.46	-0.48	NGC 5272 265              	205.47965	+28.32080
NGC 5272	M3 	IV-77   	4300	 0.85	 1.80	-1.52	-1.60	-0.33	NGC 5272 334              	205.50273	+28.36029
NGC 5272	M3 	VZ1397  	3925	 0.10	 2.00	-1.53	-1.57	-0.37	NGC 5272 1397             	205.67323	+28.31891
NGC 5904	M5 	G2      	3900	-0.10	 1.75	-1.33	-1.38	-0.48	Cl* NGC 5904 G2           	229.65000	+02.06667
NGC 5904	M5 	I-14    	4250	 0.75	 1.60	-1.34	-1.36	-0.38	Cl* NGC 5904 Arp I-14     	229.66925	+02.10672
NGC 5904	M5 	I-2     	4500	 1.10	 1.45	-1.31	-1.29	-0.38	Cl* NGC 5904 Arp I-2      	229.64171	+02.12106
NGC 5904	M5 	I-20    	4050	 0.00	 2.00	-1.44	-1.60	-0.18	Cl* NGC 5904 Arp I-20     	229.67250	+02.10014
NGC 5904	M5 	I-50    	4525	 1.15	 1.40	-1.33	-1.28	-0.48	Cl* NGC 5904 Arp I-50     	229.65758	+02.11733
NGC 5904	M5 	I-55    	4700	 0.85	 1.80	-1.47	-1.56	-0.38	Cl* NGC 5904 Arp I-55     	229.65158	+02.14744
NGC 5904	M5 	I-58    	4350	 0.80	 1.50	-1.27	-1.34	-0.35	Cl* NGC 5904 Arp I-58     	229.66479	+02.12328
NGC 5904	M5 	I-61    	4400	 1.00	 1.50	-1.32	-1.36	-0.35	Cl* NGC 5904 Arp I-61     	229.66883	+02.12603
NGC 5904	M5 	I-68    	4066	 0.63	 2.20	-1.44	-1.45	-0.58	Cl* NGC 5904 Arp I-68     	229.67912	+02.12539
NGC 5904	M5 	I-71    	4360	 1.12	 1.65	-1.32	-1.38	-0.37	Cl* NGC 5904 Arp I-71     	229.68967	+02.12228
NGC 5904	M5 	II-50   	4525	 1.15	 1.35	-1.24	-1.31	-0.38	Cl* NGC 5904 Arp II-50    	229.58637	+02.11150
NGC 5904	M5 	II-59   	4463	 1.15	 1.65	-1.33	-1.32	-0.56	Cl* NGC 5904 Arp II-59    	229.62708	+02.11681
NGC 5904	M5 	II-74   	4525	 1.30	 1.30	-1.17	-1.08	-0.58	Cl* NGC 5904 Arp II-74    	229.62233	+02.13056
NGC 5904	M5 	II-85   	4009	 0.54	 1.80	-1.30	-1.37	-0.31	Cl* NGC 5904 Arp II-85    	229.62246	+02.14100
