apstar_id,apogee_id,ra,dec,teff,logg,fparam_logvmicro,fparam_m_h,fparam_alpha_m,mn_fe,mn_fe_err
apogee.apo25m.s.stars.4201.2M15160320+0119099,2M15160320+0119099,229.013374,1.319438,4778.992,2.431597,0.12299,-0.35999,0.21968,-0.1620566,0.03705164
apogee.apo25m.s.stars.4201.2M15160532+0139396,2M15160532+0139396,229.022187,1.661022,4237.109,1.506398,0.21556,-0.70391,0.27226,-0.2968393,0.02756031
apogee.apo25m.s.stars.4201.2M15165466+0158242,2M15165466+0158242,229.227761,1.973406,4933.185,3.22432,0.076494,-0.24609,0.1866,-0.0980567,0.04021107
apogee.apo25m.s.stars.4201.2M15165535+0201075,2M15165535+0201075,229.230652,2.01877,4733.667,2.858264,0.13229,-0.17224,0.21866,-0.1089976,0.0240655
apogee.apo25m.s.stars.4201.2M15170014+0134168,2M15170014+0134168,229.250612,1.571337,4591.542,2.647076,0.098772,0.087712,0.13615,0.02094658,0.02703157
apogee.apo25m.s.stars.4201.2M15171727+0143268,2M15171727+0143268,229.321992,1.724138,4585.905,2.626106,0.082448,0.0046422,0.1451,-0.08477966,0.02075223
apogee.apo25m.s.stars.4201.2M15173717+0218112,2M15173717+0218112,229.404914,2.30313,4957.348,3.088574,0.091158,-0.52796,0.27268,-0.20464,0.05457658
apogee.apo25m.s.stars.4201.2M15173828+0114443,2M15173828+0114443,229.40953,1.245643,4924.398,3.098386,0.087819,-0.56245,0.23392,-0.1967423,0.05372304
apogee.apo25m.s.stars.4201.2M15175270+0109384,2M15175270+0109384,229.469618,1.160677,4989.954,3.15358,-0.23809,-0.55975,0.23188,-0.2351246,0.04996437
apogee.apo25m.s.stars.4201.2M15175403+0203404,2M15175403+0203404,229.475163,2.06123,4645.874,2.365367,0.16311,0.11582,0.10513,-0.05404687,0.01988729
apogee.apo25m.s.stars.4201.2M15175946+0224454,2M15175946+0224454,229.497752,2.412619,4817.856,2.702878,0.13876,-0.66802,0.29302,-0.3171395,0.05783005
apogee.apo25m.s.stars.4201.2M15175948+0123092,2M15175948+0123092,229.497836,1.385893,4456.222,2.357352,0.16254,-0.16641,0.1842,-0.1791271,0.02385285
apogee.apo25m.s.stars.4201.2M15181041+0147260,2M15181041+0147260,229.543386,1.790583,4686.099,2.570109,0.18751,-0.55124,0.25642,-0.1746659,0.04941656
apogee.apo25m.s.stars.4201.2M15181629+0202099,2M15181629+0202099,229.567898,2.036092,4638.804,1.833204,0.3709,-0.98332,0.14011,-0.1846415,0.03685235
apogee.apo25m.s.stars.4201.2M15181870+0114351,2M15181870+0114351,229.577937,1.243109,4840.064,2.458138,0.19033,-0.3595,0.22265,-0.1283326,0.0276947
apogee.apo25m.s.stars.4201.2M15184209+0204094,2M15184209+0204094,229.675406,2.069292,4771.462,1.994328,0.3864,-0.99088,0.13603,-0.1173226,0.03866708
apogee.apo25m.s.stars.4201.2M15190730+0155039,2M15190730+0155039,229.780456,1.917751,4421.352,1.903021,0.15658,-0.67951,0.28832,-0.2786541,0.02888785
apogee.apo25m.s.stars.4201.2M15195726+0136525,2M15195726+0136525,229.988617,1.614587,4277.613,1.575567,0.19763,-0.67104,0.27191,-0.2618879,0.02741777
apogee.apo25m.s.stars.4201.2M15195845+0121471,2M15195845+0121471,229.993543,1.363091,4941.326,2.370942,0.17283,-0.522,0.25558,-0.0563519,0.04391079
apogee.apo25m.s.stars.4201.2M15195883+0124245,2M15195883+0124245,229.99514,1.406824,4596.334,2.532337,0.053139,-0.24349,0.17864,-0.1750035,0.02898078
apogee.apo25m.s.stars.4201.2M15201415+0112117,2M15201415+0112117,230.058988,1.203265,4901.972,3.405429,0.052667,0.19278,0.024177,0.04824738,0.02836
apogee.apo25m.s.stars.4201.2M15202970+0151188,2M15202970+0151188,230.123784,1.85524,4714.819,2.701591,0.12509,-0.25359,0.20671,-0.1754076,0.03436864
apogee.apo25m.s.stars.4201.2M15203888+0200360,2M15203888+0200360,230.162013,2.010021,4864.024,3.08284,-0.012978,-0.11264,0.21049,0.02205171,0.02875591
apogee.apo25m.s.stars.4201.2M15204952+0149392,2M15204952+0149392,230.20635,1.82758,4785.97,2.821956,0.082155,-0.2805,0.25991,-0.138653,0.03011934
apogee.apo25m.s.stars.4201.2M15211822+0203317,2M15211822+0203317,230.325957,2.058821,4745.16,2.507191,0.16903,-0.58993,0.26996,-0.1616264,0.03493438
apogee.apo25m.s.stars.4201.2M15215799+0148582,2M15215799+0148582,230.491641,1.816176,4907.839,2.391044,0.18957,-0.34134,0.1153,-0.05874813,0.02803324
apogee.apo25m.s.stars.4201.2M15220842+0146163,2M15220842+0146163,230.535099,1.771203,4749.711,2.751758,0.17888,-0.011744,0.059781,-0.01086131,0.02210767
apogee.apo25m.s.stars.5092.2M15162233+0148097,2M15162233+0148097,229.093057,1.802721,5040.606,2.358621,0.1732,-0.66706,0.29001,-0.1399378,0.03519179
apogee.apo25m.s.stars.5092.2M15163241+0154555,2M15163241+0154555,229.135054,1.915432,4870.263,3.196378,0.10752,-0.30482,0.2418,-0.1385068,0.0271244
apogee.apo25m.s.stars.5092.2M15171727+0143268,2M15171727+0143268,229.321992,1.724138,4585.675,2.587026,0.13562,-0.012795,0.16578,-0.08445451,0.02095475
apogee.apo25m.s.stars.5092.2M15172023+0142125,2M15172023+0142125,229.334304,1.703489,4868.809,2.980156,0.090354,-0.46288,0.27659,-0.2285953,0.04895573
apogee.apo25m.s.stars.5092.2M15174171+0131398,2M15174171+0131398,229.423813,1.527744,4569.812,2.601718,0.11037,-0.065924,0.19632,-0.1611699,0.02459008
apogee.apo25m.s.stars.5092.2M15175007+0212567,2M15175007+0212567,229.458626,2.215774,4543.431,2.765469,0.13316,0.40327,0.066682,0.1059088,0.01636722
apogee.apo25m.s.stars.5092.2M15175403+0203404,2M15175403+0203404,229.475163,2.06123,4628.198,2.337527,0.18194,0.10592,0.11038,-0.09356092,0.01988166
apogee.apo25m.s.stars.5092.2M15175946+0224454,2M15175946+0224454,229.497752,2.412619,4823.988,2.708874,0.12835,-0.63983,0.28942,-0.2198529,0.04926642
apogee.apo25m.s.stars.5092.2M15181041+0147260,2M15181041+0147260,229.543386,1.790583,4709.567,2.451853,0.17176,-0.54692,0.25667,-0.1765721,0.03816492
apogee.apo25m.s.stars.5092.2M15181629+0202099,2M15181629+0202099,229.567898,2.036092,4641.24,1.841092,0.3775,-0.97776,0.10796,-0.2045696,0.03676613
apogee.apo25m.s.stars.5092.2M15182236+0150365,2M15182236+0150365,229.593174,1.843483,4938.824,3.080804,0.18884,-0.28492,0.18816,-0.1561085,0.0383218
apogee.apo25m.s.stars.5092.2M15182534+0222147,2M15182534+0222147,229.605594,2.370767,4861.398,2.268853,0.19264,-0.83252,0.35969,-0.2227023,0.06433671
apogee.apo25m.s.stars.5092.2M15185763+0200362,2M15185763+0200362,229.740162,2.010062,4949.991,2.836243,0.15278,-0.55297,0.28712,-0.190368,0.04102827
apogee.apo25m.s.stars.5092.2M15192858+0224222,2M15192858+0224222,229.869116,2.406194,5035.516,2.942344,0.13924,-0.86941,0.26555,-0.2802748,0.05492734
apogee.apo25m.s.stars.5092.2M15193175+0222472,2M15193175+0222472,229.882333,2.379786,4755.844,2.993926,0.12643,0.058899,0.11509,-0.05279247,0.02129148
