
Name	Vmag	B-V	Stage	Teff	logg	vt	[A/H]	Vel	[Fe/H]	e_[Fe/H]	[Mn/Fe]	e_[Mn/Fe]	o_[Mn/Fe]	_RA	_DE
A9   	12.45	 1.26	AGB	4236	 0.61	 2.28	-1.50	50.5	-1.49	 0.11	-0.33	 0.08	8	229.65571	+02.10219
A11  	12.66	 1.28	AGB	4209	 0.69	 2.23	-1.50	60.0	-1.56	 0.11	-0.36	 0.07	8	229.68917	+02.07506
A21  	13.10	 1.13	AGB	4381	 1.05	 1.82	-1.50	47.4	-1.53	 0.11	-0.38	 0.07	8	229.44600	+02.08106
A25  	13.34	 0.99	AGB	4584	 1.30	 1.88	-1.50	52.5	-1.50	 0.11	-0.34	 0.06	7	229.72967	+02.24261
A43  	13.64	 0.96	AGB	4630	 1.44	 1.85	-1.50	53.3	-1.56	 0.11	-0.41	 0.05	9	229.54096	+02.16925
A65  	13.96	 0.82	AGB	4893	 1.71	 1.95	-1.50	54.9	-1.66	 0.11	-0.43	 0.06	5	229.67625	+02.12792
A93  	14.23	 0.79	AGB	4961	 1.84	 1.87	-1.50	48.7	-1.59	 0.11	-0.41	 0.06	7	229.53483	+01.98117
HB13 	14.51	 0.90	AGB	4740	 1.82	 1.35	-1.50	48.9	-1.37	 0.11	-0.34	 0.05	8	229.52204	+02.02192
HB434	14.99	 0.60	HB 	5400	 2.36	 2.06	-1.50	58.8	-1.82	 0.10	-0.30	 0.06	8	229.71537	+02.02158
HB8  	15.08	 0.47	HB 	6100	 2.63	 3.38	-1.60	51.5	-1.77	 0.10	-0.45	 0.11	2	229.71537	+02.02158
R9   	12.26	 1.60	RGB	4000	 0.50	 1.86	-1.35	54.7	-1.38	 0.11	-0.51	 0.11	2	229.50054	+02.15806
R21  	12.53	 1.41	RGB	4100	 0.66	 1.81	-1.35	52.2	-1.30	 0.11	-0.35	 0.09	4	229.59429	+02.00850
R90  	13.49	 1.10	RGB	4475	 1.30	 1.55	-1.40	57.2	-1.38	 0.11	-0.37	 0.09	4	229.68108	+02.05206
R100 	13.58	 1.07	RGB	4525	 1.46	 1.55	-1.40	58.1	-1.40	 0.11	-0.38	 0.04	5	229.67212	+02.08372
R394 	14.99	 0.86	RGB	4818	 2.15	 1.27	-1.40	51.7	-1.51	 0.11	-0.43	 0.08	4	229.56512	+02.09119
R431 	15.09	 0.85	RGB	4845	 2.20	 1.24	-1.35	47.9	-1.46	 0.11	-0.41	 0.08	4	229.65683	+02.02258
I-65 	15.19	 0.82	RGB	4860	 2.25	 1.20	-1.30	58.5	-1.40	 0.11	-0.49	 0.04	5	229.68225	+02.13811

