ID	Teff	logg	xi
IV-81	4035	0.60	2.06
IV-59	4265	1.00	1.94
IV-82	4375	1.20	1.89
1-109	4635	1.80	1.76
1-36	4755	2.10	1.70
1-31	4880	2.25	1.64
1-40	4810	2.20	1.67
G18484_0316	4995	2.50	1.58
1-110	4875	2.50	1.64
G18484_0309	5325	2.80	1.41
G18450_0453	5170	2.90	1.49
1-32	5066	3.00	1.54
G18458_0547	5090	3.00	1.53
G18447_0453	5275	3.15	1.44
G18155_0228	5270	3.25	1.44
G18564_0457	5400	3.40	1.37
G18445_0448	5300	3.30	1.42
G18483_0608	5300	3.30	1.42
G18279_0101	5335	3.35	1.41
G18569_0455	5825	3.85	1.16
G18152_0232	6000	3.95	1.07
G18487_0606	5930	3.90	1.11
G18172_0750	6100	4.00	1.02
G18279_0107	5785	3.90	1.18
G18175_0749	6000	3.95	1.07
