Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/Fe]	error([Mn/Fe])	chisq(reduced)
K341	21 29 54.9257047366	+12 13 22.480949170	4375.0	0.3	-2.25	0.0	0.0	-0.34	0.02	0.0
					4225.0	0.0	0.0			0.0
K462	21 29 56.6629649306	+12 09 46.338335177	4400.0	0.3	-2.25	0.0	0.0	-0.45	0.04	0.0
					4275.0	0.0	0.0			0.0
K583	21 29 58.5642104025	+12 09 21.381623585	4375.0	0.3	-2.25	0.0	0.0	-0.42		0.0
					4275.0	0.0	0.0			0.0
B009	21 30 00.2781391991	+12 14 25.031210034	5300.0	1.65	-2.5	0.0	0.0	-0.7		0.0
B028	21 29 56.379	+12 10 29.06	5750.0	2.4	-2.5	0.0	0.0	-0.74		0.0
B224	21 29 49.4219280954	+12 11 21.893450153	5600.0	2.1	-2.5	0.0	0.0	-0.8		0.0
B262	21 30 07.3003608032	+12 10 50.635756939	4950.0	1.3	-2.5	0.0	0.0	-0.78		0.0
B412	21 30 01.466	+12 10 04.25	6200.0	2.7	-2.5	0.0	0.0			0.0
B584	21 30 01.1127006021	+12 07 14.999413493	6000.0	2.7	-2.5	0.0	0.0			0.0
