Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/Fe]	error([Mn/Fe])	chisq(reduced)
2M21312041-0014410	322.835062	-0.24473699999999998	4810.494000000001	2.489834	0.10917	0.0	0.0036201999999999996	0.003037095	0.02107635	0.0
2M21313541-0107565	322.897575	-1.1323860000000001	4645.104	2.608336	0.037029	0.0	0.034383	-0.008491855	0.02078063	0.0
2M21324950-0104499	323.206273	-1.080531	4861.115	2.319725	-0.34269	0.0	0.24141999999999997	-0.195303	0.03521381	0.0
2M21325260-0124471	323.219192	-1.41311	4813.512	2.3375049999999997	-0.12415	0.0	0.09836	-0.05500904	0.02625182	0.0
2M21351097-0036279	323.795743	-0.6077520000000001	4915.778	2.820506	-0.5846	0.0	0.26276	-0.16599170000000002	0.03223586	0.0
2M21351889-0050133	323.828748	-0.837047	4583.116	2.610284	-0.11084000000000001	0.0	0.20839000000000002	-0.05191825	0.03439034	0.0
2M21352579-0058526	323.857461	-0.9813049999999999	4388.525	2.182492	0.11184000000000001	0.0	0.082799	-0.01216894	0.01830841	0.0
2M21355932-0026558	323.99719300000004	-0.44884799999999997	4595.103	2.407146	-0.16439	0.0	0.066513	-0.05818537	0.02288832	0.0
2M21360156-0040008	324.006507	-0.666902	4477.317	1.824066	-0.9002	0.0	0.29581	-0.2906308	0.03333435	0.0
2M21361816-0053567	324.075685	-0.899093	4780.455	2.3676470000000003	-0.29768	0.0	0.25866999999999996	-0.1751681	0.02622649	0.0
2M21365059-0040239	324.210807	-0.673319	4540.6990000000005	2.091152	-0.6209600000000001	0.0	0.29523	-0.2096584	0.03123873	0.0
2M21362657-0017579	324.110727	-0.299437	4583.891	2.676704	0.085358	0.0	0.12997	-0.005502529	0.02016021	0.0
2M21362050-0129273	324.085442	-1.490941	4854.766	2.8574330000000003	-0.53572	0.0	0.2951	-0.19360410000000003	0.03960273	0.0
2M21355165-0120369	323.965246	-1.343602	4865.399	2.410676	-0.39581	0.0	0.19185	-0.08516395	0.03354675	0.0
2M21355103-0013099	323.962665	-0.219441	4635.603	2.5023020000000002	-0.37799999999999995	0.0	0.11954000000000001	-0.14852200000000002	0.02615822	0.0
2M21354025-0116354	323.91774399999997	-1.276525	4686.602	2.5265720000000003	-0.49203	0.0	0.27204	-0.1622463	0.02836723	0.0
2M21343639-0137324	323.651625	-1.625679	4874.2609999999995	3.171325	0.17424	0.0	0.023372999999999998	0.0299176	0.02075367	0.0
2M21343287-0135205	323.636965	-1.589045	4463.840999999999	2.14073	-0.2922	0.0	0.27859	-0.2247857	0.030877099999999994	0.0
2M21342435-0145301	323.601495	-1.7583630000000001	5083.054	2.384984	-0.62773	0.0	0.30862	-0.12881969999999998	0.05370147	0.0
2M21342353-0015222	323.59806499999996	-0.256187	4391.508	1.841219	-0.43196999999999997	0.0	0.24398000000000003	-0.1705	0.02487794	0.0
2M21341979-0017282	323.582467	-0.291173	4993.808	2.384646	-0.60028	0.0	0.29204	-0.2049006	0.04367477	0.0
2M21341690-0127428	323.57043799999997	-1.4618950000000002	4084.3520000000003	1.227544	-0.43458	0.0	0.21275	-0.1467483	0.02251221	0.0
2M21341351-0135353	323.5563	-1.593159	4831.343	2.3723330000000002	-0.3273	0.0	0.22411	-0.08445281	0.02711907	0.0
2M21340886-0053254	323.53695600000003	-0.8904030000000001	4175.8820000000005	1.8309380000000002	0.18172	0.0	0.053702	0.04834992	0.01641167	0.0
2M21340881-0105216	323.536739	-1.0893549999999999	4975.314	3.105696	-0.026503	0.0	0.0096595	-0.0038240920000000003	0.024015099999999998	0.0
2M21340515-0128120	323.521478	-1.470026	4869.3240000000005	2.788611	-0.57418	0.0	0.22748000000000002	-0.21967270000000003	0.04355321	0.0
2M21335684-0057123	323.48687	-0.9534370000000001	4796.792	2.44009	-0.065587	0.0	0.049297	-0.02331679	0.02314309	0.0
2M21335557-0134063	323.481582	-1.568423	4359.592000000001	1.6740979999999999	-0.33874	0.0	0.28418000000000004	-0.19006689999999998	0.02657632	0.0
2M21335178-0051529	323.465775	-0.8647219999999999	5010.646	2.502516	-0.44716000000000006	0.0	0.22728	-0.1408241	0.05126144	0.0
2M21333712-0134262	323.404671	-1.573965	4299.472	1.687754	-0.49699	0.0	0.25077	-0.1712251	0.02503404	0.0
2M21332696-0105331	323.36236	-1.092536	4829.745	2.971341	-0.43445	0.0	0.23576999999999998	-0.2473394	0.04968991	0.0
2M21332599-0002345	323.358297	-0.042944	4816.505	3.344586	0.26944	0.0	0.060898	0.03026175	0.03125624	0.0
