Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/Fe]	error([Mn/Fe])	chisq(reduced)
NR 37	323.356	-0.814925	0.0	0.0	0.0	0.0	0.0	-0.46	0.12	0.0
NR 38	323.3704583333333	-0.8335944444444445	0.0	0.0	0.0	0.0	0.0	-0.32	0.1	0.0
NR 47	323.3688333333333	-0.8122	0.0	0.0	0.0	0.0	0.0	-0.44	0.16	0.0
NR 58	323.38404166666663	-0.8336583333333334	0.0	0.0	0.0	0.0	0.0	-0.48	0.12	0.0
NR 60	323.3857083333333	-0.8293666666666667	0.0	0.0	0.0	0.0	0.0	-0.42	0.11	0.0
NR 76	323.324625	-0.8055055555555556	0.0	0.0	0.0	0.0	0.0	-0.37	0.13	0.0
NR 77	323.351875	-0.8100805555555556	0.0	0.0	0.0	0.0	0.0	-0.46	0.11	0.0
NR 81	323.3628333333333	-0.8053916666666667	0.0	0.0	0.0	0.0	0.0	-0.4	0.11	0.0
NR 99	323.3482916666666	-0.8447416666666667	0.0	0.0	0.0	0.0	0.0	-0.41	0.13	0.0
NR 124	323.36587499999996	-0.7917861111111111	0.0	0.0	0.0	0.0	0.0	-0.34	0.17	0.0
NR 132	323.34625	-0.8032027777777778	0.0	0.0	0.0	0.0	0.0	-0.32	0.16	0.0
NR 207	323.36449999999996	-0.8309305555555555	0.0	0.0	0.0	0.0	0.0	-0.46	0.15	0.0
NR 254	323.372375	-0.8285666666666667	0.0	0.0	0.0	0.0	0.0	-0.35	0.16	0.0
NR 378	323.3763333333333	-0.79015	0.0	0.0	0.0	0.0	0.0	-0.3	0.16	0.0
