Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/Fe]	error([Mn/Fe])	chisq(reduced)
I-55	229.65159808018123	2.1474543382977775	4700	0.85	1.48	0.0	0.0	0.44	0.0	0.0
III-53	229.59925043229165	2.0185984083936113	4700	1.05	1.46	0.0	0.0	0.36	0.0	0.0
IV-26	229.66574090806498	2.0195082884330553	4650	1.05	1.4	0.0	0.0	0.31	0.0	0.0
IV-30	229.65368974770038	2.0349267110894442	4625	1.0	1.44	0.0	0.0	0.34	0.0	0.0
III-18	229.58395489902458	2.0589552301922223	4475	0.55	1.46	0.0	0.0	0.3	0.0	0.0
I-20	229.67248636633957	2.1001525741383333	4050	0.0	1.47	0.0	0.0	0.29	0.0	0.0
IV-4	229.64505615891665	2.039639302182222	4625	1.55	1.25	0.0	0.0	0.36	0.0	0.0
IV-36	229.67099182361497	2.0400942788408334	4575	1.5	1.3	0.0	0.0	0.25	0.0	0.0
III-59	229.60984344230206	2.044043956296944	4575	1.2	1.31	0.0	0.0	0.18	0.0	0.0
I-50	229.6575713239429	2.1173579446244446	4525	1.15	1.35	0.0	0.0	0.2	0.0	0.0
II-50	229.58636227162705	2.111520053195	4525	1.15	1.28	0.0	0.0	0.21	0.0	0.0
III-52	229.60119709828624	2.0191949349016665	4625	1.5	1.34	0.0	0.0	0.22	0.0	0.0
II-74	229.6223432435579	2.130566828979722	4525	1.3	1.25	0.0	0.0	0.15	0.0	0.0
I-2	229.64171978842833	2.121074951858333	4500	1.1	1.36	0.0	0.0	0.28	0.0	0.0
II-59	229.62705565500707	2.1168189076333332	4463	1.15	1.25	0.0	0.0	0.36	0.0	0.0
I-61	229.6688474948679	2.126050412853611	4400	1.0	1.3	0.0	0.0	0.22	0.0	0.0
I-58	229.66477917234164	2.123286604404722	4350	0.8	1.31	0.0	0.0	0.2	0.0	0.0
IV-34	229.67168978257874	2.0308965699630557	4275	0.65	1.32	0.0	0.0	0.24	0.0	0.0
I-14	229.66924317548208	2.1067298623358335	4250	0.75	1.33	0.0	0.0	0.23	0.0	0.0
III-149	229.54343663817457	2.058933411993611	4225	0.6	1.33	0.0	0.0	0.24	0.0	0.0
IV-19	229.64602830083538	2.018584153464722	4125	0.5	1.39	0.0	0.0	0.2	0.0	0.0
IV-47	229.6735253671458	2.0648358727569445	4110	0.5	1.33	0.0	0.0		0.0	0.0
II-85	229.6224328109779	2.1410112827233334	4050	0.45	1.33	0.0	0.0		0.0	0.0
IV-81	229.68730249711373	2.0343249328838886	3945	0.0	1.39	0.0	0.0	0.15	0.0	0.0
G2	229.64999999999998	2.066666666666667	3900	0.1	1.35	0.0	0.0	0.04	0.0	0.0
