Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/Fe]	error([Mn/Fe])	chisq(reduced)
A9   	229.65571	2.1021900000000002	4236	0.61	-1.49	0.11	0.0	-0.33	0.08	0.0
A11  	229.68917000000002	2.0750599999999997	4209	0.69	-1.56	0.11	0.0	-0.36	0.07	0.0
A21  	229.446	2.08106	4381	1.05	-1.53	0.11	0.0	-0.38	0.07	0.0
A25  	229.72967000000003	2.24261	4584	1.3	-1.5	0.11	0.0	-0.34	0.06	0.0
A43  	229.54096	2.16925	4630	1.44	-1.56	0.11	0.0	-0.41	0.05	0.0
A65  	229.67625	2.12792	4893	1.71	-1.66	0.11	0.0	-0.43	0.06	0.0
A93  	229.53482999999997	1.98117	4961	1.84	-1.59	0.11	0.0	-0.41	0.06	0.0
HB13 	229.52204	2.02192	4740	1.82	-1.37	0.11	0.0	-0.34	0.05	0.0
HB434	229.71537	2.0215799999999997	5400	2.36	-1.82	0.1	0.0	-0.3	0.06	0.0
HB8  	229.71537	2.0215799999999997	6100	2.63	-1.77	0.1	0.0	-0.45	0.11	0.0
R9   	229.50054	2.15806	4000	0.5	-1.38	0.11	0.0	-0.51	0.11	0.0
R21  	229.59429	2.0085	4100	0.66	-1.3	0.11	0.0	-0.35	0.09	0.0
R90  	229.68107999999998	2.05206	4475	1.3	-1.38	0.11	0.0	-0.37	0.09	0.0
R100 	229.67212	2.08372	4525	1.46	-1.4	0.11	0.0	-0.38	0.04	0.0
R394 	229.56512	2.09119	4818	2.15	-1.51	0.11	0.0	-0.43	0.08	0.0
R431 	229.65682999999999	2.02258	4845	2.2	-1.46	0.11	0.0	-0.41	0.08	0.0
I-65 	229.68225	2.1381099999999997	4860	2.25	-1.4	0.11	0.0	-0.49	0.04	0.0
