Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)
ET009	15.225749999999998	-33.67072222222222	0.0	0.0	-1.6600000000000001	0.0	0.0	-1.9819678714859439	0.1407124727947029	0.0
ET013	15.20933333333333	-33.61061111111111	0.0	0.0	-1.6600000000000001	0.0	0.0	-1.7922222222222222	0.220454076850486	0.0
ET024	15.14183333333333	-33.65128055555555	0.0	0.0	-1.23	0.0	0.0	-1.5066666666666666	0.12124355652982141	0.0
ET027	15.064041666666665	-33.65172222222222	0.0	0.0	-1.48	0.0	0.0	-1.8866666666666667	0.08660254037844388	0.0
ET028	15.074041666666664	-33.599919444444446	0.0	0.0	-1.19	0.0	0.0	-1.44	0.06928203230275509	0.0
ET043	15.058124999999999	-33.61088888888889	0.0	0.0	-1.22	0.0	0.0	-1.5636363636363637	0.12369316876852982	0.0
ET051	14.943374999999998	-33.68986111111111	0.0	0.0	-0.9000000000000001	0.0	0.0	-1.4332468060867443	0.1392838827718412	0.0
ET059	14.908791666666664	-33.58555555555556	0.0	0.0	-1.51	0.0	0.0	-1.7175257731958764	0.09273618495495704	0.0
ET063	14.90508333333333	-33.61958333333333	0.0	0.0	-1.16	0.0	0.0	-1.5071604938271606	0.13304134695650072	0.0
ET064	14.922499999999998	-33.646388888888886	0.0	0.0	-1.36	0.0	0.0	-1.6093233082706766	0.11532562594670795	0.0
ET066	15.014999999999997	-33.65752777777777	0.0	0.0	-1.28	0.0	0.0	-1.6545360824742268	0.09273618495495704	0.0
ET067	14.904166666666665	-33.507888888888886	0.0	0.0	-1.6300000000000001	0.0	0.0	-1.928431213168055	0.15652475842498528	0.0
ET071	14.992791666666664	-33.68575	0.0	0.0	-1.33	0.0	0.0	-1.5848780487804879	0.11661903789690602	0.0
ET073	14.974958333333332	-33.62836111111111	0.0	0.0	-1.51	0.0	0.0	-1.751896551724138	0.1857417562100671	0.0
ET103	14.828541666666665	-33.70480833333334	0.0	0.0	-1.1900000000000002	0.0	0.0	-1.4494693028095735	0.12884098726725127	0.0
ET104	14.813083333333331	-33.71516666666667	0.0	0.0	-1.5999999999999999	0.0	0.0	-1.8941754580788448	0.12206555615733702	0.0
ET109	14.867874999999996	-33.702000000000005	0.0	0.0	-1.8299999999999998	0.0	0.0	-2.0233333333333334	0.08660254037844388	0.0
ET126	14.927374999999998	-33.70502777777778	0.0	0.0	-1.0899999999999999	0.0	0.0	-1.4821641791044775	0.11	0.0
ET132	14.992666666666663	-33.76411111111111	0.0	0.0	-1.48	0.0	0.0	-1.8181395348837208	0.09848857801796104	0.0
ET133	14.948624999999998	-33.79152777777777	0.0	0.0	-1.05	0.0	0.0	-1.4409701492537315	0.11	0.0
ET137	15.105416666666667	-33.84744166666667	0.0	0.0	-0.8700000000000001	0.0	0.0	-1.377631368089121	0.18708286933869708	0.0
ET139	15.177083333333332	-33.73986111111111	0.0	0.0	-1.3900000000000001	0.0	0.0	-1.5864024737570184	0.1392838827718412	0.0
ET141	15.099333333333332	-33.70483333333333	0.0	0.0	-1.66	0.0	0.0	-1.9454170470578473	0.14352700094407325	0.0
ET147	15.18445833333333	-33.82188888888889	0.0	0.0	-1.13	0.0	0.0	-1.3966978193146418	0.1849324200890693	0.0
ET150	15.095749999999999	-33.71727777777778	0.0	0.0	-0.91	0.0	0.0	-1.4041378204674806	0.44294469180700197	0.0
ET160	15.093041666666664	-33.84	0.0	0.0	-1.15	0.0	0.0	-1.505979381443299	0.09273618495495704	0.0
ET165	15.049124999999997	-33.70469166666667	0.0	0.0	-1.08	0.0	0.0	-1.3600564971751412	0.12727922061357858	0.0
ET166	15.043708333333331	-33.82691666666667	0.0	0.0	-1.47	0.0	0.0	-1.6718181818181819	0.12369316876852982	0.0
ET168	15.142999999999999	-33.831361111111114	0.0	0.0	-1.08	0.0	0.0	-1.3442389758179232	0.15652475842498528	0.0
ET173	15.211958333333332	-33.751444444444445	0.0	0.0	-1.45	0.0	0.0	-1.6368217054263565	0.17578395831246946	0.0
ET198	15.03825	-33.60261111111111	0.0	0.0	-1.1400000000000001	0.0	0.0	-1.5703751322320774	0.1392838827718412	0.0
ET202	15.08783333333333	-33.562888888888885	0.0	0.0	-1.3	0.0	0.0	-1.5781507823613086	0.15652475842498528	0.0
ET206	15.043249999999999	-33.68472222222222	0.0	0.0	-1.3099999999999998	0.0	0.0	-1.5647457627118642	0.13114877048604	0.0
ET232	14.97695833333333	-33.6315	0.0	0.0	-0.98	0.0	0.0	-1.403134328358209	0.11	0.0
ET237	14.961583333333332	-33.52975	0.0	0.0	-1.5899999999999999	0.0	0.0	-1.665362095531587	0.23832750575625972	0.0
ET240	14.99295833333333	-33.57788888888889	0.0	0.0	-1.1300000000000001	0.0	0.0	-1.5237037037037036	0.13304134695650072	0.0
ET242	15.009291666666666	-33.67252777777777	0.0	0.0	-1.3	0.0	0.0	-1.5644067796610168	0.13114877048604	0.0
ET244	14.998541666666664	-33.658858333333335	0.0	0.0	-1.2200000000000002	0.0	0.0	-1.5621951219512193	0.11661903789690602	0.0
ET270	14.79720833333333	-33.62444166666667	0.0	0.0	-1.54	0.0	0.0	-1.8170934256055364	0.1345362404707371	0.0
