Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)	vt
N5024-S35	198.26522763173	18.16082419713	4229	0.7398815949757894	-1.9247763224283352	0.1010866488478863	0.1994350389866432	-2.1687609573617546	0.08622503800412863	43.98546629457217	1.9676479468993466
N5024-S16	198.20792131424	18.16733634743	4465	1.1176236470540364	-2.0168930661196254	0.10114030689635548	0.2276681163556594	-2.3900982725082764	0.08854716114854085	10.816606418065126	1.8781230792509216
N5024-S29	198.24459923108003	18.17894321654	4542	1.1664302349090574	-2.0045057512527262	0.10115156542129508	0.18337140203171007	-2.3512337591459493	0.09733524494954007	11.069996562760632	1.8665559177605537
N5024-S32	198.2579803466797	18.173328399658203	4694	1.3708726167678833	-2.2178865839654534	0.10132763612129796	0.23014964700722065	-2.576201963854549	0.10006651241034188	5.736365739030581	1.8181030725532406
B7704	198.23959350585938	18.167362213134766	4753	1.5835727453231812	-2.015191254230286	0.10142993271159978	0.1820144934921656	-2.2346738211815844	0.1079679309688921	2.304843026036128	1.7676931413503159
B1384	198.15316772460938	18.12628173828125	4639	1.6031181017557776	-2.040940399273942	0.10145025746592284	0.2415254998363404	-2.5395056030438146	0.0760838190288519	1.9414390669393045	1.763060891808221
N5024-S230	198.2838592529297	18.162263870239254	4849	1.6879225969314575	-1.9910418985188605	0.10145475510322677	0.23366356933861665	-2.5486371894420965	0.10307197051626447	3.208690684528828	1.7429622261584097
B9354	198.248779296875	18.17784118652344	4733	1.6694455544153846	-1.8671022414349088	0.10129599446811524	0.20600266497155809	-2.235639566140452	0.08486337563976225	3.6576507403450975	1.7473412852985954
B6841	198.16700744628903	18.166290283203125	4857	1.8993574778238929	-1.8450226461100272	0.1018246872120432	0.1206287703105486	-2.589284818188556	0.12366960872094687	2.395633955144873	1.6928521586559575
B8372	198.2407684326172	18.17158508300781	4874	1.9350365002950032	-2.1752148539472604	0.10211416478459254	0.2053912006154888	-2.5800105140607843	0.12042236863896195	1.5983388823895277	1.6843962302069595
B5957	198.23350524902344	18.155858993530273	4872	1.9294948180516558	-2.1543076383698683	0.10219251842454964	0.31542118170597994	-2.4857100047585967	0.10936429239723316	2.050190223698261	1.6857096089177908
B8810	198.2559356689453	18.17376708984375	4970	1.977233489354452	-2.0291478922551147	0.10201787322989833	0.2312126638654445	-2.4562929686114816	0.1219013637636215	1.814231773123758	1.6743955436539923
B5129	198.26153564453125	18.14793968200684	4850	2.0350801944732666	-2.0804718526481945	0.1022443927428091	0.29796287881596484	-2.5416277189224763	0.13213468917230575	1.6018584246079604	1.660685874340853
B3073	198.21792602539062	18.13587951660156	4995	2.046386321385701	-2.033273191597557	0.10295355394128812	0.311480710100008	-2.395599006492247	0.11196644022498667	1.2080649080196046	1.65800632222352
B3897	198.27789306640625	18.13811492919922	5038	2.1322824160257974	-2.178602082976558	0.10374396716598117	0.3647959883034225	-2.8184384162502765	0.13830906478797764	0.9862605378863106	1.6376489474968685
B6723	198.2691192626953	18.15892219543457	5019	2.287997961044311	-1.926209611176655	0.10285762756761067	0.18906419382289125	-2.2670365320362325	0.12472189845405085	1.4585257723077591	1.600744362789161
B1452	198.19186401367188	18.12444496154785	5008	2.2990279992421465	-2.062283046742729	0.10402701491046497	0.13805548673636805	-2.427932018687672	0.14120827974711098	1.2922970448433695	1.5981302436981426
B8404	198.2216339111328	18.173105239868164	5224	2.644733508427937	-1.8938315732903848	0.10592646559807334	0.3297918017351087	-2.431433102535435	0.25594143209753395	0.9081312000425318	1.5161980368259822
B4973	198.20335388183602	18.150754928588867	5181	2.646062533060709	-2.1074287658023168	0.10839967068919952	0.2358686554868399	-2.287040490344696	0.17491482345559384	0.8857537818311565	1.5158830579834208
B4681	198.1055908203125	18.15498161315918	5159	2.645760138829549	-2.0924165162338264	0.11085257929091752	0.3066161651527006	-2.269161595680341	0.18017611895274696	1.1710336006127249	1.5159547254172512
N5024-S104	198.09654235839844	18.163789749145508	5208	2.7451571623484297	-1.9721035494359724	0.11387316263650198	0.21516821595539434	-2.3755206524599646	0.2038998117446789	1.0585901986405934	1.492397630499654
B1602	198.1734619140625	18.126951217651367	5057	2.1092280546824136	-2.1084651530857488	0.10328044178237647	0.31546036513367803	-2.6154774327099624	0.1390163850390562	1.351416502759237	1.643112831214951
B4826	198.26019287109366	18.1458797454834	5120	2.534146467844645	-2.0386305485122658	0.10639640089351486	0.3271108597008527	-2.4779186620085407	0.20922761025609907	0.9630078833638436	1.5424071658265297
