Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])
N2419-D6	114.584451771	38.9539535382	4650	1.33196695646	-2.16472032984	0.0343310959962	0.365000362448	-1.36729474458	0.141325199391
N2419-S1004	114.543868999	38.870426379	4448	0.98341836532	-2.15336766912	0.0162865091033	0.334865408034	-2.09391012443	0.115439339396
N2419-S1029	114.546467626	38.864831774	4497	1.07292803129	-2.14940015091	0.0207354106787	0.259314963117	-2.47040620168	0.14422266693
N2419-S1048	114.548247055	38.8849604942	4281	0.659283101559	-2.13385515398	0.0103141859934	0.282089404508	-2.55335528738	0.101889019563
N2419-S1065	114.54992522	38.869735922	4390	0.834741135438	-2.10581546957	0.0128441295661	0.334303008358	-2.26610768795	0.106677700802
N2419-S1109	114.554406814	38.8864266753	4619	1.40265043577	-2.22485950979	0.0379257477448	0.420847821218	-2.01996568567	0.17869024126
N2419-S1166	114.559200521	38.8766886616	4300	0.69185936451	-2.0417064587	0.00944099137889	0.0927812831279	-2.41462744768	0.0981454921137
N2419-S1171	114.559342698	38.8993904951	4852	1.82720470428	-2.29187679488	0.0872992774912	0.600863103017	-1.95778734248	0.288298841723
N2419-S1185	114.560782158	38.8949751324	4734	1.5358136495	-2.08708207696	0.0374497314322	0.276534608126	-2.02709260346	0.187899053951
N2419-S1239	114.564452668	38.9007839531	4906	0.693419774373	-0.38866473514	0.00378919831241	-0.0505013685661	-0.483218610579	0.100453695078
N2419-S1245	114.564792399	38.8537591992	4565	1.25708933671	-2.07037464954	0.020951676137	0.180665516924	-2.29815447658	0.223773226918
N2419-S1306	114.570556394	38.9070029476	4560	1.13212049007	-2.02681907541	0.0192474389933	0.365189122032	-2.04121984755	0.107658224082
N2419-S1340	114.573399154	38.8883775155	4811	1.70488941669	-2.26125463029	0.0653842070073	0.397695552009	-2.16653504523	0.311348384011
N2419-S143	114.422000345	38.7687548159	5112	1.88451008002	-0.783172397379	0.0241940934924	0.0233485048211	-1.32876384161	0.195799880789
N2419-S145	114.422434743	38.7981535784	4055	1.2420933644	-1.2665151517	0.02027731943	0.405255283599	-1.22022802479	0.261814991832
N2419-S1563	114.605408319	38.8849762727	4616	1.30751625697	-2.13565095979	0.025208100614	0.337883433193	-2.26526808304	0.227857122581
N2419-S1604	114.61483953	38.8809327486	4948	2.09913611412	-1.98010679505	0.0868938998439	-0.0937845864663	-1.49647679971	0.360477425305
N2419-S1664	114.634462484	38.9120584562	4577	1.20276848475	-2.09114734286	0.0208975523636	0.34978142294	-1.91347901402	0.154611969836
N2419-S1673	114.637535985	38.8958861234	4479	0.913742482662	-2.01113287614	0.0119486085439	0.318858365983	-2.16673628807	0.103293333549
N2419-S1693	114.643062274	38.9412469647	4282	2.15125648181	-1.1487690979	0.0616049731625	0.361774995896	0.702243835631	0.214603245676
N2419-S170	114.431602891	38.800598879	4482	2.13074556986	-0.996632260232	0.0510396449651	0.635358772908	-0.645800116781	0.372433988207
N2419-S1758	114.675858784	38.9394125117	4939	1.52603276571	-0.566707632424	0.0110768624738	0.0443356884208	-0.590441479738	0.151808702102
N2419-S1814	114.540775994	38.8459720845	4225	0.543937196334	-2.20313594642	0.00814466835823	0.111864040723	-2.34529024569	0.123600363456
N2419-S1819	114.504074415	38.8723265955	4660	1.50738433997	-2.30540707711	0.0455784770342	0.347955257187	-2.2134632556	0.251101096847
N2419-S223	114.446210353	38.8379265801	4052	0.400767584642	-2.22526766759	0.010828737832	0.104853134664	-2.23673420469	0.0952991209108
N2419-S226	114.447544781	38.7698631499	4497	1.16737898191	-1.27280057126	0.0127127574439	0.390325699606	-1.18430631192	0.124759204606
N2419-S230	114.447889376	38.8035379169	5056	1.5335205396	-1.17505378891	0.0183730806224	0.14046567424	-1.68593841453	0.194788011619
N2419-S243	114.453058004	38.8413656828	4933	1.76318868001	-2.16277236843	0.0803026910669	0.320233484824	-1.55121253149	0.224643445201
N2419-S327	114.473665889	38.8583447499	4915	1.83004721006	-2.12878186295	0.0729519898869	0.38135370701	-1.62580986533	0.213573354398
N2419-S338	114.475214783	38.837947651	4957	1.99437411626	-2.22026754009	0.101390626987	-0.0925284318564	-2.06573145003	0.416770936802
