Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)
N1904-S80	81.076942571	-24.52869951248	4066	0.559118886788686	-1.5544234078950732	0.0	0.044789368263261735	-1.9259889223417508	0.06677395389624051	80.3415082129876
N1904-S89	81.00900979936	-24.52146499899	4628	1.5252835750579834	-1.6665953726707146	0.0	0.20559616725497715	-1.6389673693809543	0.06769049393095666	8.622775819665106
N1904-S69	81.03563412031	-24.53720681482	4821	1.5826629002888994	-1.7609892436405623	0.0	0.20587174256972426	-2.595061463098511	0.08757162998139853	5.1276036220968395
N1904-S71	81.02576301893	-24.53673346546	5150	2.0071836312611895	-1.793441456491631	0.0	0.24808018959801098	-1.9444504445646706	0.08370506983265569	3.865364617926065
Ros41	81.02020564567816	-24.536515857614088	5146	2.606418053309123	-1.7064706568108463	0.0	0.1818723624530351	-2.2633216910605625	0.14736082832517594	1.767005003230731
Ros37	81.026781418998	-24.54794445340381	5134	2.597782135009765	-1.6843901676886541	0.0	0.1805943266903279	-2.113968818951673	0.10406909688897988	1.0584189993816064
Ros59	81.01941946993354	-24.52342330922308	5148	2.7519669532775874	-1.7039809426279384	0.0	0.17997252864829116	-2.4467143108416813	0.17572191128788267	1.3115574641512888
Ros63	81.01575935128628	-24.534016534582044	5154	3.0076141357421875	-1.8258513741802636	0.0	0.3316516589481592	-1.596167259108765	0.11208719243825543	0.9367174539562205
Kra206	81.04378380847173	-24.49939257513619	5332	3.2411341667175284	-1.6979616487582412	0.0	0.19083156723764166	-1.836250328886126	0.2144381086047995	0.7276684876582575
Kra1916	81.080468708235	-24.464944761247924	5375	3.312061468760172	-1.673464242559078	0.0	0.12811798444522673	-2.096885555554544	0.25365305899069357	0.8589872115573769
Kra1552	81.07013911950581	-24.51331121795423	5434	3.501787741978963	-1.651478686118533	0.0	0.24893724542318096	-2.5669055628740343	0.6959282304324113	0.7572673593544447
Kra2435	81.13692573802562	-24.479292095959863	5476	3.560778458913167	-1.7111830048097711	0.0	0.2299870167649739	-2.1986325662456823	0.3242119393303395	0.7121046291801163
Kra2402	81.12293052383737	-24.460092442407927	5498	3.5860162576039625	-1.7531610216152949	0.0	0.01679937422389743	-1.6362580787551995	0.2267319006461087	0.7735890949994153
Kra2315	81.1080841670002	-24.492657599882538	5677	3.707679112752278	-1.7758016579416696	0.0	0.33269438276602264	-1.554660457289125	0.3204576977630795	0.9004099579516955
Kra2389	81.11950561556765	-24.468361212045515	5786	3.759905099868774	-1.6922596860964174	0.0	0.4376489598407289	-1.490102264659056	0.2849893948279424	0.8038962280141853
Kra2337	81.11021199356362	-24.47551260358383	6049	3.927954832712809	-1.9585295035049126	0.0	0.17729363714232613	-7.318967319372941	15395.935846375913	0.7874386047914381
Kra2433	81.13596218484581	-24.454025602845242	6172	4.029926856358846	-1.9629771635172037	0.0	-0.23501641827863112	-6.628416417970137	12807.042113073	0.7643954151699175
Kra2288	81.10517395119506	-24.501719641656283	6110	4.072181383768717	-1.790586294764588	0.0	-0.22273716217303885	-2.247765233737142	2.0843314658840058	0.9460761861615489
Kra2165	81.09297603231545	-24.48658614643598	6359	4.241276264190674	-2.1812157200155964	0.0	0.5999999428649778	-1.2791514019996673	0.7959530969523835	0.8844513159626018
Kra2398	81.12195269000571	-24.46846823463836	6351	4.29486099878947	-1.6880518800325313	0.0	0.5419499596597944	-1.6226494471579322	0.7719509664708438	0.7102508260611642
Kra2361	81.11314632793034	-24.490665734643244	6312	4.295383771260579	-1.5657295122374533	0.0	-0.10896095095698437	-2.4707271074569843	2.798949582628124	0.6830301608054499
Kra2097	81.08857827111012	-24.499334128023914	6471	4.414902687072753	-1.5231350634433525	0.0	0.770073565922418	-5.750811254593726	6977.733335769677	0.7269199967920082
Kra2438	81.13872878870093	-24.475153496271826	6233	4.43798557917277	-1.9219073878108786	0.0	0.763915373762687	-0.46901511613874386	0.4969300038730627	0.6650131198275925
Kra1946	81.08147957510924	-24.489712426633663	6011	4.427931944529215	-1.8741587057457474	0.0	0.842148140032918	-5.538430949552123	2974.6360391151193	0.7173723885235743
Kra1684	81.07308221196601	-24.484617532254727	6114	4.443682034810384	-2.1505397362198524	0.0	0.9821435537730674	-6.962360247734535	68926.778314209	0.7392534036801528
Kra2318	81.10809442320672	-24.475661444728495	6073	4.442327658335367	-1.8058968479802722	0.0	0.6575893369591163	-6.083164436273292	6898.563409349062	0.6784273215262672
