Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)
N2419-D6	114.584451771	38.9539535382	4650	1.33196695646	-2.16472032984	0.0343310959962	0.365000362448	-1.41408374488	0.149726685788	1.6098264785
N2419-S1004	114.543868999	38.870426379	4448	0.98341836532	-2.15336766912	0.0162865091033	0.334865408034	-2.15738133622	0.10986288421	1.70838722169
N2419-S1029	114.546467626	38.864831774	4497	1.07292803129	-2.14940015091	0.0207354106787	0.259314963117	-2.45283522409	0.1418965025	1.25468154837
N2419-S1048	114.548247055	38.8849604942	4281	0.659283101559	-2.13385515398	0.0103141859934	0.282089404508	-2.60751888718	0.0928656479389	1.41012136171
N2419-S1065	114.54992522	38.869735922	4390	0.834741135438	-2.10581546957	0.0128441295661	0.334303008358	-2.24795591862	0.100933729477	1.37544810338
N2419-S1109	114.554406814	38.8864266753	4619	1.40265043577	-2.22485950979	0.0379257477448	0.420847821218	-1.98871538997	0.175124598889	1.07306234711
N2419-S1166	114.559200521	38.8766886616	4300	0.69185936451	-2.0417064587	0.00944099137889	0.0927812831279	-2.39760064765	0.0900710566181	1.74518166752
N2419-S1171	114.559342698	38.8993904951	4852	1.82720470428	-2.29187679488	0.0872992774912	0.600863103017	-2.03226364425	0.318832874243	1.02509286119
N2419-S1185	114.560782158	38.8949751324	4734	1.5358136495	-2.08708207696	0.0374497314322	0.276534608126	-2.03180818652	0.196844613445	1.18859469241
N2419-S1239	114.564452668	38.9007839531	4906	0.693419774373	-0.38866473514	0.00378919831241	-0.0505013685661	-0.587115434616	0.147613066528	43.2110001149
N2419-S1245	114.564792399	38.8537591992	4565	1.25708933671	-2.07037464954	0.020951676137	0.180665516924	-2.29999118212	0.223744262188	2.02471194775
N2419-S1306	114.570556394	38.9070029476	4560	1.13212049007	-2.02681907541	0.0192474389933	0.365189122032	-2.04425858475	0.104990313545	1.16399687175
N2419-S1340	114.573399154	38.8883775155	4811	1.70488941669	-2.26125463029	0.0653842070073	0.397695552009	-2.22987454604	0.334311288693	0.894028242134
N2419-S143	114.422000345	38.7687548159	5112	1.88451008002	-0.783172397379	0.0241940934924	0.0233485048211	-1.21508521849	0.17348752409	1.24861444222
N2419-S145	114.422434743	38.7981535784	4055	1.2420933644	-1.2665151517	0.02027731943	0.405255283599	-1.22955320791	0.258853156024	3.17477214169
N2419-S1497	114.595015383	38.8744784519	4650	1.4169211785	-2.11869369065	0.0306109250196	0.193126359569	-2.59390643662	0.318777978452	1.08377355801
N2419-S1543	114.601891311	38.8992668957	5064	0.722869217396	-1.09080562853	0.00643767904755	0.222536126448	-1.57064987035	0.113937798191	16.8790670813
N2419-S1563	114.605408319	38.8849762727	4616	1.30751625697	-2.13565095979	0.025208100614	0.337883433193	-2.32717978071	0.236008620072	1.17652544454
N2419-S1604	114.61483953	38.8809327486	4948	2.09913611412	-1.98010679505	0.0868938998439	-0.0937845864663	-1.77292650827	0.454900248805	1.00981028396
N2419-S1664	114.634462484	38.9120584562	4577	1.20276848475	-2.09114734286	0.0208975523636	0.34978142294	-1.91710360289	0.155369765817	1.28456551797
N2419-S1673	114.637535985	38.8958861234	4479	0.913742482662	-2.01113287614	0.0119486085439	0.318858365983	-2.25135128948	0.108015139981	1.37753593745
N2419-S170	114.431602891	38.800598879	4482	2.13074556986	-0.996632260232	0.0510396449651	0.635358772908	-0.888939814323	0.376063382467	1.48521986444
N2419-S1718	114.651077271	38.9486896547	4933	0.830177863439	-1.22217937981	0.00875222005807	0.300281328264	-1.63078493416	0.0918818691493	6.94406830745
N2419-S1758	114.675858784	38.9394125117	4939	1.52603276571	-0.566707632424	0.0110768624738	0.0443356884208	-0.679157523591	0.164180749091	2.25166891006
N2419-S1814	114.540775994	38.8459720845	4225	0.543937196334	-2.20313594642	0.00814466835823	0.111864040723	-2.26412450104	0.120137385338	1.98281281871
N2419-S1819	114.504074415	38.8723265955	4660	1.50738433997	-2.30540707711	0.0455784770342	0.347955257187	-2.26253809893	0.268568672343	1.33972792072
N2419-S223	114.446210353	38.8379265801	4052	0.400767584642	-2.22526766759	0.010828737832	0.104853134664	-2.22589712642	0.0901509899002	2.82465977405
N2419-S226	114.447544781	38.7698631499	4497	1.16737898191	-1.27280057126	0.0127127574439	0.390325699606	-1.20152371584	0.127475735436	3.74793329155
N2419-S230	114.447889376	38.8035379169	5056	1.5335205396	-1.17505378891	0.0183730806224	0.14046567424	-1.70525188396	0.191350719191	4.72169774268
N2419-S243	114.453058004	38.8413656828	4933	1.76318868001	-2.16277236843	0.0803026910669	0.320233484824	-1.50030580076	0.209835372852	1.19968016015
N2419-S289	114.465592782	38.781174665	5089	1.34192538261	-0.926539880936	0.0112275538436	0.337581657325	-1.30780613527	0.106583940833	3.25831797709
N2419-S327	114.473665889	38.8583447499	4915	1.83004721006	-2.12878186295	0.0729519898869	0.38135370701	-1.61753305206	0.225094471887	1.1468821245
N2419-S357	114.47842358	38.8474806001	4869	1.66106196245	-1.96206284973	0.0466462926811	0.395019217069	-1.98267887425	0.214948165811	1.1685574965
N2419-S406	114.485201248	38.8563642232	4400	0.914503673712	-2.09784513792	0.0130612410779	0.205812145897	-2.32768296763	0.0991311628635	1.6846263016
N2419-S414	114.486094475	38.812888493	5217	1.90315111478	-0.928335932901	0.022776558456	0.143390282025	-0.889710887996	0.174277688278	1.31697969282
N2419-S457	114.491157961	38.8304545985	4570	1.2404803435	-2.06321279553	0.0217513444914	0.0427078807267	-2.50550749536	0.162493942424	1.31852212796
N2419-S458	114.491160282	38.8657979319	4480	0.990876495838	-2.09560719258	0.0173003841373	0.38141562755	-2.2220800636	0.111772734425	1.56464355677
N2419-S481	114.493740559	38.8096972783	4092	1.47229274114	-1.27538314832	0.0212928658861	0.628339007504	-2.01302922459	0.385782941208	4.29212981235
N2419-S487	114.494464207	38.8345634741	4999	1.65638693174	-0.630511546086	0.0117939102183	0.0807503414446	-0.785818068917	0.122824563703	2.31846527502
N2419-S586	114.505103844	38.8071292808	4357	1.4425098896	-0.735779866437	0.010921603269	0.449051254718	-0.352921075584	0.235345774144	2.8774869981
N2419-S668	114.511419597	38.8706751672	4573	1.22718218962	-2.16261156584	0.0253903379543	0.331677260362	-2.11972773366	0.139839350563	1.36554624707
N2419-S704	114.514765573	38.8644331752	4628	1.24175024033	-2.10914817615	0.026186901407	0.436161187302	-2.30779170655	0.151156257723	1.10084836469
N2419-S731	114.517343879	38.8696350596	4669	1.48852539062	-2.13511105441	0.0382745595664	0.222237029755	-2.12722297611	0.167458340595	1.023516546
N2419-S809	114.524845465	38.8757613288	4453	0.991914987564	-2.26223213623	0.0205007410609	0.252631617609	-2.08893956667	0.103982140019	1.25122078646
N2419-S85	114.396410497	38.7977547773	4936	1.72812724113	-0.883551847378	0.0221729535644	0.224600264905	-0.539266981395	0.156579268281	2.31603719597
N2419-S890	114.532850311	38.8937195979	4692	1.56415994962	-2.36762255651	0.0584421811111	0.496254145084	-1.89203272914	0.189023839529	0.947631253677
N2419-S934	114.537253209	38.8922121615	4656	1.28162018458	-2.25653872874	0.0329118234372	0.499409085677	-2.31684651013	0.178959755419	1.10081452919
N2419-S951	114.539027516	38.8694582391	4258	0.676816383998	-2.05069920514	0.0100402963571	0.225715280343	-2.16537710878	0.0899064297943	2.07154016235
N2419-S973	114.541400429	38.826864997	4289	0.68101020654	-2.0971676563	0.00862930246839	0.203737522703	-2.28961007863	0.12670875632	3.95344979728
