Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])
N2419-D28	114.558211986	38.9241094828	4669	1.49432047208	-2.3101980061	0.0466980108952	0.203506418649	-3.17764008944	0.615117181615
N2419-D6	114.584451771	38.9539535382	4650	1.33196695646	-2.16472032984	0.0343310959962	0.365000362448	-1.88491237511	0.221823110462
N2419-S1004	114.543868999	38.870426379	4448	0.98341836532	-2.15336766912	0.0162865091033	0.334865408034	-1.90162549721	0.130732293452
N2419-S1007	114.544087648	38.8547787248	5237	2.09703246752	-2.44771358117	0.166901486575	0.467586765785	-1.66741344841	0.453159138576
N2419-S1029	114.546467626	38.864831774	4497	1.07292803129	-2.14940015091	0.0207354106787	0.259314963117	-2.56773116702	0.172074418352
N2419-S1048	114.548247055	38.8849604942	4281	0.659283101559	-2.13385515398	0.0103141859934	0.282089404508	-2.60043537943	0.119030459751
N2419-S1065	114.54992522	38.869735922	4390	0.834741135438	-2.10581546957	0.0128441295661	0.334303008358	-2.41780701446	0.129166862139
N2419-S1109	114.554406814	38.8864266753	4619	1.40265043577	-2.22485950979	0.0379257477448	0.420847821218	-2.21349984754	0.217227871925
N2419-S1131	114.556222924	38.8826588525	4353	0.778529644012	-2.12359044047	0.0113235648196	0.295541621396	-7.55971139171	3544.46467572
N2419-S1160	114.558498573	38.8893309069	5190	2.15518633525	-2.18403471471	0.156958463671	0.512604054479	-2.08754307281	0.748939269813
N2419-S1166	114.559200521	38.8766886616	4300	0.69185936451	-2.0417064587	0.00944099137889	0.0927812831279	-2.42586933795	0.106570632323
N2419-S1171	114.559342698	38.8993904951	4852	1.82720470428	-2.29187679488	0.0872992774912	0.600863103017	-1.95378330623	0.343924532567
N2419-S118	114.410385656	38.7627879715	4750	1.5	-1.5	0.0	0.20000000298	1.25568101538	0.158655844978
N2419-S1185	114.560782158	38.8949751324	4734	1.5358136495	-2.08708207696	0.0374497314322	0.276534608126	-2.29434265714	0.245326647689
N2419-S1215	114.562769536	38.8874662301	4715	1.53005504608	-2.0814167529	0.0392860246897	0.0318691541932	-2.95537565729	0.565916980419
