Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)
Stet-M2-S109	323.40533706347	-0.84834614118	5368	3.144065618515014	-1.7277852993661746	0.0	0.23832649233116743	-1.7002802544189823	0.17896037680240023	1.1596285418099548
Stet-M2-S127	323.40428090096	-0.82805671056	5205	2.8212899367014566	-1.7031774872522678	0.0	0.24019854261844018	-2.1804765417203202	0.12411812489340297	1.0111964535246674
Stet-M2-S224	323.41502879461	-0.79338491758	4982	2.252619345982869	-1.6236351424638165	0.0	0.16328608716062004	-2.0735236507809613	0.113050632320953	6.177732675523706
Stet-M2-S248	323.42476628621	-0.80458421813	4661	1.668508172035217	-1.5657867198952922	0.0	0.19148970357335315	-2.229235167615031	0.12636914215165435	35.79222023447884
Stet-M2-S662	323.23068029086	-0.81899223751	5278	3.109364032745361	-1.6662983898790704	0.0	0.12928638294720704	-1.7318190732273486	0.12921206289584575	1.0408394545370863
Stet-M2-S733	323.27765965859	-0.83936046653	5327	3.096502860387166	-1.70483310089779	0.0	0.16470396286621708	-2.0872430021401134	0.17506855327680435	0.9994785715508315
Stet-M2-S80	323.39725265503	-0.82597122404	4701	1.697513659795125	-1.606539012281074	0.0	0.19383544988618504	-2.095229293726926	0.06811622514789678	10.999335342876405
An08-A15236	323.2972412109375	-0.7969326376914978	4890	2.1363068421681723	-1.448210337725551	0.0	0.2172097159588938	-1.8164644240963914	0.11067251097582025	5.496594266317416
An08-A3309	323.3230895996094	-0.8353331089019775	5331	3.3070042133331294	-1.5792745347632828	0.0	0.15927029678555557	-2.2824412689745155	0.22278196861577948	1.4928012182570929
An08-A14127	323.330810546875	-0.8008593320846558	5231	2.677436828613281	-1.4408162023887607	0.0	0.30114554156360496	-2.007656608950446	0.15729851694887065	1.4519297284379102
An08-A6080	323.3379211425781	-0.8265566229820251	5256	2.8116738001505532	-1.6445248431026656	0.0	0.14659866203172944	-2.229824449408285	0.24008636843574996	0.9857930359928015
An08-A9455	323.34002685546875	-0.8161545395851135	5041	2.420508782068888	-1.629483355065799	0.0	0.2024753292265184	-1.8590975095463633	0.1468334051929978	4.735472619618108
An08-A13934	323.344970703125	-0.8015540242195129	5296	3.3585630856002044	-1.5995366756967413	0.0	0.2862063762620276	-2.182611527348269	0.15422390839254765	1.1519674292832867
An08-A8069	323.34576416015625	-0.8203920125961304	5180	2.1627732117970786	-1.7070041068153283	0.0	0.03683605407633801	-2.171670765299112	0.16576658074284067	4.309757084046542
An08-A1045	323.3471984863281	-0.8426828384399414	5147	2.723452885945638	-1.5257755488247065	0.0	0.2678215222806419	-2.022255415026746	0.1604424826817398	1.5166813756002806
An08-A17732	323.35382080078125	-0.7869765758514404	5231	2.8396305243174234	-1.6277316004595146	0.0	0.26640165876484256	-1.541197154833873	0.14619935790403657	1.6149805730078026
An08-A3051	323.3587646484375	-0.8361327052116394	4814	1.9165982405344646	-1.5790896992193604	0.0	0.21982142654687684	-2.128528178174819	0.09094002211812512	3.728122613858999
An08-A3047	323.36749267578125	-0.83614182472229	5223	2.6274969577789307	-1.768601743539149	0.0	0.495244150397736	-2.0394040054057987	0.2505058252090525	0.8282327162411434
An08-A1435	323.3721618652344	-0.8413658738136292	5118	3.15601913134257	-1.7812157813164011	0.0	0.24587008624213427	-2.016423159218289	0.3138374282386234	0.9763516612845472
An08-A12662	323.3722839355469	-0.8057886958122253	5314	3.0555500189463296	-1.6799603712007276	0.0	0.3554557718940222	-1.611509635282813	0.16761904387240767	1.0781857912383217
An08-A12019	323.3739013671875	-0.807982861995697	4817	1.9658277829488118	-1.5819430108748387	0.0	0.15701639391756542	-2.218611513006989	0.133317515806668	7.1507934539003175
An08-A12301	323.37744140625	-0.8069555759429932	5035	2.3347766399383545	-1.5922889276605598	0.0	0.1829060960202348	-2.3261008111295447	0.14053526356341486	3.259372519644887
An08-A9587	323.37774658203125	-0.8157073855400085	4913	2.172981341679891	-1.7576676638193662	0.0	0.23135235418098696	-1.7435085174428364	0.10672276414377169	5.754577648847843
An08-A6898	323.3890075683594	-0.824012041091919	5165	2.6708171367645264	-1.6927118375190904	0.0	0.23809188541450005	-1.7872714616817624	0.10083072585406612	1.5818946548663442
An08-A10340	323.39105224609375	-0.8132891058921814	5348	2.983645995457967	-1.523822841564166	0.0	0.12532989721170434	-1.6424766967382238	0.18633638095638055	1.2183859058533608
An08-B8693	323.3712158203125	-0.8502859473228455	5147	2.6419878800710044	-1.620372095859524	0.0	0.13977250967309576	-2.2611369813067315	0.24322100934697788	1.2471966837002941
