Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)
N1904-S80	81.076942571	-24.52869951248	4066	0.559118886788686	-1.5544234078950732	0.0	0.044789368263261735	-1.9259889223417508	0.06677395389624051	80.3415082129876
N1904-S89	81.00900979936	-24.52146499899	4628	1.5252835750579834	-1.6665953726707146	0.0	0.20559616725497715	-1.6389673693809543	0.06769049393095666	8.622775819665106
N1904-S69	81.03563412031	-24.53720681482	4821	1.5826629002888994	-1.7609892436405623	0.0	0.20587174256972426	-2.595061463098511	0.08757162998139853	5.1276036220968395
N1904-S71	81.02576301893	-24.53673346546	5150	2.0071836312611895	-1.793441456491631	0.0	0.24808018959801098	-1.9444504445646706	0.08370506983265569	3.865364617926065
Ros37	81.026781418998	-24.54794445340381	5134	2.597782135009765	-1.6843901676886541	0.0	0.1805943266903279	-2.113968818951673	0.10406909688897988	1.0584189993816064
Ros59	81.01941946993354	-24.52342330922308	5148	2.7519669532775874	-1.7039809426279384	0.0	0.17997252864829116	-2.4467143108416813	0.17572191128788267	1.3115574641512888
Ros63	81.01575935128628	-24.534016534582044	5154	3.0076141357421875	-1.8258513741802636	0.0	0.3316516589481592	-1.596167259108765	0.11208719243825543	0.9367174539562205
Kra510	81.05099346360753	-24.523691894381894	4368	0.7632641593615214	-1.5907270576877626	0.0	0.0018134190774313213	-2.111289390403641	0.06228678102467701	29.928852834605316
Kra380	81.04791458077959	-24.531187409549407	4286	0.8514144420623778	-1.5086079509197317	0.0	0.08520873551056818	-1.9192267342366138	0.05907645063380186	36.35494524833563
Kra1735	81.07466375106655	-24.516113006222433	4510	1.2490508556365967	-1.6090991664297516	0.0	0.14124932404892931	-1.9170631840933785	0.04459640030048848	8.803684408793751
N1904-S184	81.05709798336	-24.5222683896	4685	1.6095827817916868	-1.5868535347913408	0.0	0.17127433525740263	-2.373543520489789	0.087468839532398	6.753429520788268
Kra635	81.05351519226635	-24.522464715850223	4865	1.6653085549672442	-1.6989626257830657	0.0	0.21202215719141224	-2.4089311328594345	0.10112439557087607	6.83249332181775
Kra252	81.04507809844446	-24.53203255445494	4831	1.854981184005737	-1.5825735925086832	0.0	0.1624323476156237	-2.0045458458923338	0.05608686160378577	2.892599697480603
N1904-S49	81.05251728296	-24.55255511204	5189	2.045261780420939	-1.6716743463729562	0.0	0.2054273233051778	-2.0839252229789262	0.07609933201473479	2.0140428066340847
N1904-S83	81.0720159928	-24.52588828829	5108	2.535734891891479	-1.6499985027719364	0.0	0.2661640358169677	-1.9073901578871568	0.09132606744247443	1.0492624982883083
Kra1681	81.07314554308127	-24.504468846529523	6315	4.31421677271525	-1.4656834960023173	0.0	0.49401357410567215	-8.029588498811336	62160.50100969348	0.7313153544470912
