Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)
Stet-M2-S109	323.40533706347	-0.84834614118	5368	3.144065618515014	-1.7277852993661746	0.0	0.23832649233116743	-1.7848068801384234	0.19968657852829222	1.3012293920585767
Stet-M2-S120	323.40425624847	-0.83490448766	4996	2.3715434074401855	-1.6773116613769055	0.0	0.24242634029343846	-2.1795113184469197	0.1386554131944354	6.559020837536074
Stet-M2-S127	323.40428090096	-0.82805671056	5205	2.8212899367014566	-1.7031774872522678	0.0	0.24019854261844018	-2.1717766618193077	0.12214159102084901	1.082363069779074
Stet-M2-S143	323.4032825311	-0.80801977846	5272	2.9585333665211992	-1.6349056955248382	0.0	0.18915244685844948	-1.99674761940926	0.18297364956970388	1.834862152673708
Stet-M2-S181	323.41423447927	-0.83141770045	5406	3.2024002075195312	-1.6443501322964893	0.0	0.28058866842661645	-1.8749586415866384	0.24962352550668995	1.949533332152198
Stet-M2-S224	323.41502879461	-0.79338491758	4982	2.252619345982869	-1.6236351424638165	0.0	0.16328608716062004	-2.0527168542248337	0.11020011585541009	6.170345626637149
Stet-M2-S237	323.42594149907	-0.82837252723	5265	2.8879946867624913	-1.6184213002375862	0.0	0.20980964571490712	-1.5214796366426322	0.1323059871070209	2.56886753915898
Stet-M2-S244	323.42765445709	-0.82846361054	5203	2.769260883331299	-1.6273400325195648	0.0	0.1360692708896098	-8.43272204286857	18008.70209369569	7.145047061799344
Stet-M2-S248	323.42476628621	-0.80458421813	4661	1.668508172035217	-1.5657867198952922	0.0	0.19148970357335315	-2.2281294825357523	0.12480344775711519	34.675296171021074
Stet-M2-S265	323.43359950384	-0.81223823229	5137	2.6785664558410645	-1.6538298217436667	0.0	0.26514943100461685	-1.8787527624051676	0.21249942497583124	7.127624797066165
Stet-M2-S629	323.19412776629	-0.84944191085	5503	3.496808211008707	-1.4898669095213177	0.0	0.10235399672914362	-0.8083548162444444	0.23291510499902698	1.7174583727484616
Stet-M2-S662	323.23068029086	-0.81899223751	5278	3.109364032745361	-1.6662983898790704	0.0	0.12928638294720704	-1.6662983898790704	0.11474299835062296	0.9987474198199173
Stet-M2-S687	323.25158839387	-0.85383508258	5424	3.3436894416809078	-1.520901135924486	0.0	0.14792647137630321	-1.884894931020121	0.22549890495484648	0.8929537697065745
Stet-M2-S702	323.25912580192	-0.83649779982	5388	3.300148804982503	-1.512678777488003	0.0	0.17369548460546086	-2.4201648785505063	0.40947263368561176	1.428229040113927
Stet-M2-S733	323.27765965859	-0.83936046653	5327	3.096502860387166	-1.70483310089779	0.0	0.16470396286621708	-2.0662212116737915	0.1650959343973472	1.011857413636538
Stet-M2-S80	323.39725265503	-0.82597122404	4701	1.697513659795125	-1.606539012281074	0.0	0.19383544988618504	-2.0652122573725413	0.06738443770176285	11.050166615001885
An08-A5998	323.28204345703125	-0.8268360495567322	5418	3.431892236073812	-1.710211379850527	0.0	0.11843420240971661	-1.710211379850527	0.36819646106350534	0.8214744424186933
An08-A10389	323.28912353515625	-0.8131308555603027	5405	3.227731625239054	-1.5088177151375661	0.0	0.2625606476557989	-1.6182229389206142	0.2756673912357292	0.9635149102217351
An08-A15236	323.2972412109375	-0.7969326376914978	4890	2.1363068421681723	-1.448210337725551	0.0	0.2172097159588938	-1.8506597509168534	0.12228047064009742	5.5387651860009175
An08-A2980	323.32196044921875	-0.8363598585128784	5064	2.473829507827759	-1.7168420479985111	0.0	0.18025739113333336	-1.3355077461754343	0.09258468357682156	1.6793956513399058
An08-A3309	323.3230895996094	-0.8353331089019775	5331	3.3070042133331294	-1.5792745347632828	0.0	0.15927029678555557	-2.2596363366169694	0.20916207842206622	1.4805506879089168
An08-A14127	323.330810546875	-0.8008593320846558	5231	2.677436828613281	-1.4408162023887607	0.0	0.30114554156360496	-2.027908165184718	0.1589423899788405	1.5278578472915778
An08-A6080	323.3379211425781	-0.8265566229820251	5256	2.8116738001505532	-1.6445248431026656	0.0	0.14659866203172944	-2.1619369965107342	0.2224943599739714	1.0304203114802801
An08-A9455	323.34002685546875	-0.8161545395851135	5041	2.420508782068888	-1.629483355065799	0.0	0.2024753292265184	-1.8421488088078606	0.1346346227502952	3.9717844656700714
An08-A4426	323.34027099609375	-0.8317343592643738	5245	2.559711217880249	-1.4644569178797442	0.0	0.21280872506284834	-1.9692973452241431	0.12673168030886642	1.6010227584871075
An08-A8555	323.3442687988281	-0.818978488445282	5411	3.271882136662801	-1.7413261635340158	0.0	0.2540350841242932	-2.1019220156589724	0.40639863433336	1.101271354131897
An08-A13934	323.344970703125	-0.8015540242195129	5296	3.3585630856002044	-1.5995366756967413	0.0	0.2862063762620276	-2.198948118921416	0.15787098740989775	1.229205103739994
An08-A8069	323.34576416015625	-0.8203920125961304	5180	2.1627732117970786	-1.7070041068153283	0.0	0.03683605407633801	-2.422579821283242	0.20984672846856142	4.373274516421905
An08-A8171	323.3470153808594	-0.8201100826263428	5509	3.1856210231781	-1.5870686866334356	0.0	-0.061679829913947555	-7.197977465380006	6657.2236980625	1.1258134574717538
An08-A1045	323.3471984863281	-0.8426828384399414	5147	2.723452885945638	-1.5257755488247065	0.0	0.2678215222806419	-2.0156205615841145	0.15001097327831295	1.5605691418884033
An08-A9064	323.3489990234375	-0.8173307180404663	4982	2.341735442479451	-1.6998559377825506	0.0	0.22494883844492586	-6.974675146196782	1750.1377543444537	3.5111283004101543
An08-A13450	323.3503723144531	-0.8031575679779053	5214	2.606624603271485	-1.3622063029612743	0.0	0.5702922852736713	-2.0730239205450354	0.17087023188126962	1.262080611686386
An08-A8862	323.3503723144531	-0.8179742693901062	4983	2.650734504063924	-1.7676282237580334	0.0	0.24559324716379766	-3.0092068962280534	0.5705189699987859	2.2395799871795115
An08-A17732	323.35382080078125	-0.7869765758514404	5231	2.8396305243174234	-1.6277316004595146	0.0	0.26640165876484256	-1.563401767741113	0.1468239911448403	1.6419824407560304
An08-A3993	323.35699462890625	-0.8331129550933838	5204	2.8090879122416177	-1.751704231223551	0.0	0.16048039296498334	-1.7909247367224557	0.1570691511753195	1.0709488171733874
An08-A3051	323.3587646484375	-0.8361327052116394	4814	1.9165982405344646	-1.5790896992193604	0.0	0.21982142654687684	-2.1073116905466556	0.0842551999739938	3.5302402291605106
An08-A11900	323.3600769042969	-0.808332085609436	5218	3.1450837674923546	-1.544820204082419	0.0	0.18439839635709804	-6.518761049073951	575.1966680844777	11.263702774957121
An08-A3047	323.36749267578125	-0.83614182472229	5223	2.6274969577789307	-1.768601743539149	0.0	0.495244150397736	-2.296873026339528	0.3018711250970184	0.8442324699549649
An08-A10138	323.36859130859375	-0.8139051795005798	5313	3.208956797917684	-1.8087670319028766	0.0	0.5694998959929947	-1.7341270954111232	0.2918854251966045	0.9313867649409014
An08-A1435	323.3721618652344	-0.8413658738136292	5118	3.15601913134257	-1.7812157813164011	0.0	0.24587008624213427	-2.2003444187166	0.35309003809465556	1.0168569988888623
An08-A12662	323.3722839355469	-0.8057886958122253	5314	3.0555500189463296	-1.6799603712007276	0.0	0.3554557718940222	-1.649916704677892	0.16350395137526635	1.1293287788572757
An08-A12019	323.3739013671875	-0.807982861995697	4817	1.9658277829488118	-1.5819430108748387	0.0	0.15701639391756542	-2.195841557165124	0.12535016748898448	7.166178488033719
An08-A12301	323.37744140625	-0.8069555759429932	5035	2.3347766399383545	-1.5922889276605598	0.0	0.1829060960202348	-2.293482310937052	0.1390025565363069	3.3597776055088096
An08-A9587	323.37774658203125	-0.8157073855400085	4913	2.172981341679891	-1.7576676638193662	0.0	0.23135235418098696	-1.7576676638193662	0.10303573227351434	6.053514994435372
An08-A2459	323.38421630859375	-0.8380076885223389	5334	3.1686121622721353	-1.6282480302546074	0.0	0.23109305473302336	-2.1622621196863943	0.3025517215056768	1.195618169674226
An08-A6898	323.3890075683594	-0.824012041091919	5165	2.6708171367645264	-1.6927118375190904	0.0	0.23809188541450005	-1.7905156983104449	0.1033811696189975	1.6452273084244478
