Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)
S60286	152.09186637000002	12.339109258	4241	0.4171354273955027	-1.496390008462065	0.0	0.10923587474449103	-2.070479488815491	0.16663330855518987	2.358652312657173
S60914	152.06602134	12.342330116	3972	0.1994529714186986	-1.3419376060329415	0.0	0.02209019248203157	-1.5063568317123102	0.1569399559026774	3.702246314145955
S21673	152.15377473	12.336510885	4015	0.23843322694301605	-1.2292471694744964	0.0	0.15865691686684555	-1.2159298835169279	0.16278786448667654	3.00669676859675
S60132	152.096828565	12.310590451	3873	0.27488169074058527	-1.2038247135113729	0.0	0.07048428061546887	-1.091285498679371	0.21992288245717326	2.6907464800759984
S31893	152.13580674	12.301660575	4190	0.3631409804026286	-1.0929101243681585	0.0	0.23834319287056094	-1.178736793345451	0.16953739223863604	2.3938503202995385
S23195	152.11107336	12.327771206	4432	0.5077734688917795	-1.1323805564376952	0.0	0.0272822118624416	-1.3065670625096084	0.1373279460708104	2.643336322970236
S30739	152.185743735	12.289666884	4004	0.32078478733698523	-1.6376806627015	0.0	0.036879840627542314	-1.7952066686846762	0.17166055344577397	2.512223600955664
S60462	152.085211575	12.351049602	4162	0.3970870574315388	-1.8540223183916082	0.0	-0.09394374451254901	-2.098508083508742	0.17272965533361684	1.125365501470949
S61214	152.04564774000002	12.365731963	4142	0.49001035094261164	-1.6861205868188027	0.0	-0.14558989153442697	-1.827955452678612	0.13675578061019508	1.2606842957393514
S60803	152.071446765	12.312495759	4250	0.5350726544857024	-1.2494545845766802	0.0	0.13338449938537558	-1.1524336447539671	0.18049466196332473	1.4302437559812924
S22531	152.129001435	12.332873996	4200	0.5109465817610422	-1.199858052937603	0.0	0.20124340475935137	-1.04799943668438	0.19028144467762445	2.7442362191945233
S20868	152.186233635	12.339123486	4256	0.5703694423039753	-1.577563812942427	0.0	-0.07125966968104282	-1.8943216202930142	0.16822058186054004	1.29215983123947
S60223	152.09385727499998	12.322749008	4109	0.4973332285881042	-1.406477866962809	0.0	0.07202613777258282	-1.4704359102194602	0.14394910272260691	1.60127925555924
S30273	152.250696525	12.305874792	4051	0.41019154588381446	-2.267657156300921	0.0	-0.20048826860320626	-2.410939517884512	0.2300728167407077	1.1089248264441383
S60970	152.062215345	12.345451821	4132	0.4889861345291137	-1.4588969139294607	0.0	0.16903554689105155	-1.5269256216145348	0.13853810556289162	1.9133143735540725
S31007	152.17048677	12.301782689	4089	0.5128464897473652	-1.4796157344869851	0.0	-0.011600368298194724	-1.7247875201907732	0.1638951894057879	1.3958721953174258
S23429	152.10472242	12.335392305	4095	0.5347906649112701	-1.2461246930167484	0.0	-0.08399148427716986	-1.5209689715717307	0.16493775266678234	2.4712822180993106
S21987	152.143504425	12.315710394	4157	0.5543124775091807	-1.437753154001481	0.0	0.14109471227960418	-1.7005479812975206	0.17022138626868025	1.415448237759284
S22390	152.132534655	12.334873273	4077	0.4975845714410146	-1.407099024613686	0.0	0.09336832949757705	-1.498888443476397	0.17527530249819043	1.6935304165702543
S22996	152.11630566	12.322050239	4340	0.6614586114883423	-1.2539794622869282	0.0	0.015948137035807032	-1.5538434463793085	0.15355318148507374	1.5940390722133042
S31194	152.161172715	12.301442369	4175	0.5847657124201456	-1.3496608408029813	0.0	0.044763582445719416	-1.4780387106186117	0.15650366368863056	1.5405602587947833
S21298	152.16689526	12.313056145	4242	0.6118833422660827	-1.3264452712397168	0.0	0.10597680494909356	-1.286117193970098	0.1829836303942989	1.7865432808660173
S60396	152.088003795	12.328667855	4078	0.5207513272762297	-1.2172087266861467	0.0	0.018652894113766992	-1.1802990108531244	0.18504224059283172	2.143805222118213
S20345	152.24473674	12.310028749	4228	0.6843526562054951	-1.394227863983617	0.0	-0.03260642748266878	-1.687363225504274	0.18308777714712116	1.4312035313174707
S60623	152.079761235	12.346818417	4223	0.696196178595225	-1.375280245597991	0.0	0.10186922516506904	-1.45594237850359	0.17628356537745005	1.9582444186204897
S21236	152.169255885	12.35506414	4307	0.7312072118123373	-0.9275455557416192	0.0	-0.30258221135745006	-1.2988598768539446	0.2035611972365783	1.3598972038962853
S23045	152.11528417500003	12.333577313	4333	0.7282753189404805	-2.0767743903321603	0.0	0.1198906219958131	-3.2505535062892634	0.5257215429967089	1.0337145433202704
S21598	152.15608129499998	12.31389204	4637	0.9010065992673237	-1.141739606445405	0.0	-0.015144733745293766	-1.5065765385140588	0.22392360063643976	1.0312527949843993
S61331	152.03358753	12.331562422	4265	0.7375830014546713	-1.3857802922978693	0.0	0.04393550328014884	-1.6112259541256393	0.14997311746552	1.0721181819811512
S71561	152.051472285	12.299305642	4304	0.7374920050303141	-1.3742818290462948	0.0	0.13020949141676866	-1.5461912034776244	0.18862971163885034	1.7111105534356363
S30978	152.17177454999998	12.296512865	4357	0.7668604254722594	-1.3524097726889215	0.0	0.21378993818722852	-1.3264145904998912	0.15238462144586984	1.1488452652067704
S61563	151.996870185	12.343317631	4194	0.6761963963508606	-1.5732125594833233	0.0	-0.05375931539217793	-2.043951250865331	0.19397018409354325	1.313151884922179
S21712	152.15278038	12.310591003	4383	0.831019937992096	-1.7292800117965936	0.0	-0.28344187347065136	-1.8253886024191293	0.2292664370538332	0.8665935514856098
