apstar_id,apogee_id,ra,dec,teff,logg,fparam_logvmicro,fparam_m_h,fparam_alpha_m,mn_fe,mn_fe_err
apogee.apo25m.s.stars.2011.2M21312041-0014410,2M21312041-0014410,322.835062,-0.244737,4810.494,2.489834,0.17187,0.10917,0.0036202,0.003037095,0.02107635
apogee.apo25m.s.stars.2011.2M21313541-0107565,2M21313541-0107565,322.897575,-1.132386,4645.104,2.608336,0.12588,0.037029,0.034383,-0.008491855,0.02078063
apogee.apo25m.s.stars.2011.2M21324950-0104499,2M21324950-0104499,323.206273,-1.080531,4861.115,2.319725,0.20887,-0.34269,0.24142,-0.195303,0.03521381
apogee.apo25m.s.stars.2011.2M21325260-0124471,2M21325260-0124471,323.219192,-1.41311,4813.512,2.337505,0.18733,-0.12415,0.09836,-0.05500904,0.02625182
apogee.apo25m.s.stars.4260.2M21351097-0036279,2M21351097-0036279,323.795743,-0.607752,4915.778,2.820506,0.094139,-0.5846,0.26276,-0.1659917,0.03223586
apogee.apo25m.s.stars.4260.2M21351889-0050133,2M21351889-0050133,323.828748,-0.837047,4583.116,2.610284,0.14577,-0.11084,0.20839,-0.05191825,0.03439034
apogee.apo25m.s.stars.4260.2M21352579-0058526,2M21352579-0058526,323.857461,-0.981305,4388.525,2.182492,0.14298,0.11184,0.082799,-0.01216894,0.01830841
apogee.apo25m.s.stars.4260.2M21355932-0026558,2M21355932-0026558,323.997193,-0.448848,4595.103,2.407146,0.13471,-0.16439,0.066513,-0.05818537,0.02288832
apogee.apo25m.s.stars.4260.2M21360156-0040008,2M21360156-0040008,324.006507,-0.666902,4477.317,1.824066,0.15994,-0.9002,0.29581,-0.2906308,0.03333435
apogee.apo25m.s.stars.4260.2M21361816-0053567,2M21361816-0053567,324.075685,-0.899093,4780.455,2.367647,0.14689,-0.29768,0.25867,-0.1751681,0.02622649
apogee.apo25m.s.stars.4260.2M21365059-0040239,2M21365059-0040239,324.210807,-0.673319,4540.699,2.091152,0.16514,-0.62096,0.29523,-0.2096584,0.03123873
apogee.apo25m.s.stars.4260.2M21362657-0017579,2M21362657-0017579,324.110727,-0.299437,4583.891,2.676704,0.11512,0.085358,0.12997,-0.005502529,0.02016021
apogee.apo25m.s.stars.4260.2M21362050-0129273,2M21362050-0129273,324.085442,-1.490941,4854.766,2.857433,0.10491,-0.53572,0.2951,-0.1936041,0.03960273
apogee.apo25m.s.stars.4260.2M21355165-0120369,2M21355165-0120369,323.965246,-1.343602,4865.399,2.410676,0.21674,-0.39581,0.19185,-0.08516395,0.03354675
apogee.apo25m.s.stars.4260.2M21355103-0013099,2M21355103-0013099,323.962665,-0.219441,4635.603,2.502302,0.094287,-0.378,0.11954,-0.148522,0.02615822
apogee.apo25m.s.stars.4260.2M21354025-0116354,2M21354025-0116354,323.917744,-1.276525,4686.602,2.526572,0.11562,-0.49203,0.27204,-0.1622463,0.02836723
apogee.apo25m.s.stars.4260.2M21343639-0137324,2M21343639-0137324,323.651625,-1.625679,4874.261,3.171325,0.12686,0.17424,0.023373,0.0299176,0.02075367
apogee.apo25m.s.stars.4260.2M21343287-0135205,2M21343287-0135205,323.636965,-1.589045,4463.841,2.14073,0.17896,-0.2922,0.27859,-0.2247857,0.0308771
apogee.apo25m.s.stars.4260.2M21342435-0145301,2M21342435-0145301,323.601495,-1.758363,5083.054,2.384984,0.20397,-0.62773,0.30862,-0.1288197,0.05370147
apogee.apo25m.s.stars.4260.2M21342353-0015222,2M21342353-0015222,323.598065,-0.256187,4391.508,1.841219,0.21151,-0.43197,0.24398,-0.1705,0.02487794
apogee.apo25m.s.stars.4260.2M21341979-0017282,2M21341979-0017282,323.582467,-0.291173,4993.808,2.384646,0.19673,-0.60028,0.29204,-0.2049006,0.04367477
apogee.apo25m.s.stars.4260.2M21341690-0127428,2M21341690-0127428,323.570438,-1.461895,4084.352,1.227544,0.23018,-0.43458,0.21275,-0.1467483,0.02251221
apogee.apo25m.s.stars.4260.2M21341351-0135353,2M21341351-0135353,323.5563,-1.593159,4831.343,2.372333,0.20781,-0.3273,0.22411,-0.08445281,0.02711907
apogee.apo25m.s.stars.4260.2M21340886-0053254,2M21340886-0053254,323.536956,-0.890403,4175.882,1.830938,0.20201,0.18172,0.053702,0.04834992,0.01641167
apogee.apo25m.s.stars.4260.2M21340881-0105216,2M21340881-0105216,323.536739,-1.089355,4975.314,3.105696,0.11302,-0.026503,0.0096595,-0.003824092,0.0240151
apogee.apo25m.s.stars.4260.2M21340515-0128120,2M21340515-0128120,323.521478,-1.470026,4869.324,2.788611,0.10141,-0.57418,0.22748,-0.2196727,0.04355321
apogee.apo25m.s.stars.4260.2M21335684-0057123,2M21335684-0057123,323.48687,-0.953437,4796.792,2.44009,0.20068,-0.065587,0.049297,-0.02331679,0.02314309
apogee.apo25m.s.stars.4260.2M21335557-0134063,2M21335557-0134063,323.481582,-1.568423,4359.592,1.674098,0.20815,-0.33874,0.28418,-0.1900669,0.02657632
apogee.apo25m.s.stars.4260.2M21335178-0051529,2M21335178-0051529,323.465775,-0.864722,5010.646,2.502516,0.25771,-0.44716,0.22728,-0.1408241,0.05126144
apogee.apo25m.s.stars.4260.2M21333712-0134262,2M21333712-0134262,323.404671,-1.573965,4299.472,1.687754,0.21248,-0.49699,0.25077,-0.1712251,0.02503404
apogee.apo25m.s.stars.4260.2M21332696-0105331,2M21332696-0105331,323.36236,-1.092536,4829.745,2.971341,0.082189,-0.43445,0.23577,-0.2473394,0.04968991
apogee.apo25m.s.stars.4260.2M21332599-0002345,2M21332599-0002345,323.358297,-0.042944,4816.505,3.344586,0.066939,0.26944,0.060898,0.03026175,0.03125624
apogee.apo25m.s.stars.4260.2M21331673-0121297,2M21331673-0121297,323.319729,-1.358276,4326.857,1.784596,0.23785,-0.5598,0.27314,-0.2405301,0.02617192
apogee.apo25m.s.stars.4260.2M21330718-0015025,2M21330718-0015025,323.279936,-0.250698,4498.723,2.547469,0.12647,0.29054,0.057202,0.08931035,0.01717764
apogee.apo25m.s.stars.4260.2M21330366-0102218,2M21330366-0102218,323.265267,-1.039408,4590.647,2.622806,0.13965,-0.1872,0.19281,-0.1583541,0.03795683
apogee.apo25m.s.stars.4260.2M21330192-0106576,2M21330192-0106576,323.258038,-1.116005,4851.574,2.883996,0.13095,-0.68381,0.28581,-0.2208689,0.05876672
apogee.apo25m.s.stars.4260.2M21330020-0119396,2M21330020-0119396,323.250844,-1.32768,4756.427,3.002175,0.1016,-0.24338,0.20511,-0.1375263,0.04794421
apogee.apo25m.s.stars.4260.2M21325624-0054456,2M21325624-0054456,323.23437,-0.912669,4835.962,3.231687,0.10697,0.21157,0.023227,0.02042383,0.02006873
apogee.apo25m.s.stars.4260.2M21323827-0037578,2M21323827-0037578,323.159459,-0.632736,4136.726,1.523809,0.19802,-0.30417,0.23608,-0.143317,0.02128332
apogee.apo25m.s.stars.4260.2M21323276-0108366,2M21323276-0108366,323.1365,-1.143519,4517.243,2.558659,0.099295,0.046063,0.15895,-0.1091853,0.01982106
apogee.apo25m.s.stars.4260.2M21322959+0004392,2M21322959+0004392,323.123329,0.077573,4732.059,2.412242,0.18652,-0.030503,0.064296,-0.03985544,0.0222119
apogee.apo25m.s.stars.4260.2M21322642-0103175,2M21322642-0103175,323.110115,-1.054865,4471.891,2.287989,0.16744,0.11871,0.050418,0.03766118,0.01874689
apogee.apo25m.s.stars.4260.2M21322243-0014291,2M21322243-0014291,323.093475,-0.241443,4075.027,1.353935,0.20246,-0.18176,0.10598,-0.09082596,0.0194668
apogee.apo25m.s.stars.4260.2M21322037-0055496,2M21322037-0055496,323.084913,-0.930465,4529.181,2.18296,0.19648,-0.36335,0.1141,-0.1681741,0.03345574
apogee.apo25m.s.stars.4260.2M21321150-0022533,2M21321150-0022533,323.047946,-0.381497,4530.579,2.452268,0.13573,0.36075,0.09444,0.03820679,0.01669027
apogee.apo25m.s.stars.2247.2M21362657-0017579,2M21362657-0017579,324.110727,-0.299437,4592.059,2.625665,0.11419,0.093821,0.12302,-0.0884765,0.02646067
apogee.apo25m.s.stars.2247.2M21362650-0030020,2M21362650-0030020,324.110457,-0.500573,4806.015,2.628731,0.13029,-0.35863,0.25372,-0.2048147,0.03720193
apogee.apo25m.s.stars.2247.2M21361816-0053567,2M21361816-0053567,324.075685,-0.899093,4816.912,2.416743,0.17172,-0.29693,0.253,-0.1441717,0.02653283
apogee.apo25m.s.stars.2247.2M21361590-0011281,2M21361590-0011281,324.066255,-0.191152,4413.636,2.093269,0.18149,-0.15988,0.18264,-0.1460284,0.02150292
apogee.apo25m.s.stars.2247.2M21361583-0055120,2M21361583-0055120,324.065992,-0.920017,4947.225,3.388536,0.072878,0.17636,0.017805,0.1032442,0.02123437
apogee.apo25m.s.stars.2247.2M21355785-0015482,2M21355785-0015482,323.991068,-0.263392,4901.157,2.972159,0.10752,-0.26291,0.21102,-0.06074114,0.03520824
apogee.apo25m.s.stars.2247.2M21352579-0058526,2M21352579-0058526,323.857461,-0.981305,4377.075,2.173805,0.14729,0.098341,0.082925,-0.006842747,0.01837793
apogee.apo25m.s.stars.2247.2M21351097-0036279,2M21351097-0036279,323.795743,-0.607752,4898.848,2.74475,0.1327,-0.62952,0.28295,-0.2055996,0.03861992
apogee.apo25m.s.stars.2247.2M21345581-0052594,2M21345581-0052594,323.732579,-0.883181,4902.712,3.261428,-0.20314,-0.32147,0.21944,-0.157659,0.0276746
apogee.apo25m.s.stars.2247.2M21343654-0036409,2M21343654-0036409,323.652262,-0.611382,4855.25,2.393196,0.17831,-0.26973,0.17737,-0.1248571,0.02900128
apogee.apo25m.s.stars.2247.2M21342363-0041490,2M21342363-0041490,323.598482,-0.696959,4947.985,2.666094,0.12303,-0.08037,0.079943,-0.01183602,0.03282771
apogee.apo25m.s.stars.2247.2M21341979-0017282,2M21341979-0017282,323.582467,-0.291173,5021.859,2.379011,0.23274,-0.58613,0.27587,-0.2643245,0.04757594
apogee.apo25m.s.stars.2247.2M21340886-0053254,2M21340886-0053254,323.536956,-0.890403,4174.363,1.766897,0.16037,0.16639,0.071112,-0.05166437,0.01654499
apogee.apo25m.s.stars.2247.2M21340881-0105216,2M21340881-0105216,323.536739,-1.089355,4982.97,3.046221,0.12612,-0.03889,0.024715,-0.0824879,0.02424388
apogee.apo25m.s.stars.2247.2M21335130+0007381,2M21335130+0007381,323.463754,0.127251,4268.755,1.712391,0.19808,-0.14839,0.22564,-0.1090162,0.02036679
apogee.apo25m.s.stars.2247.2M21333489-0100056,2M21333489-0100056,323.395385,-1.001578,4884.599,3.510594,0.10326,0.4097,0.010997,0.07381049,0.02461719
