Name	RA	Dec	V	RV	sig_RV	A(X)	Nlines	se_epsilon	[Mn/Fe]	Error	notes
NR 37	21 33 25.44	-00 48 53.73	13.56	-15.3	1.0	3.31	11	0.03	-0.46	0.12	
NR 38	21 33 28.91	-00 50 00.94	13.60	1.1	2.2	3.50	9	0.05	-0.32	0.10	
NR 47	21 33 28.52	-00 48 43.92	13.70	3.3	0.5	3.56	4	0.06	-0.44	0.16	
NR 58	21 33 32.17	-00 50 01.17	13.55	11.8	1.0	3.31	9	0.03	-0.48	0.12	
NR 60	21 33 32.57	-00 49 45.72	13.55	-7.1	1.0	3.26	12	0.06	-0.42	0.11	possible AGB star
NR 76	21 33 17.91	-00 48 19.82	13.85	-1.3	0.6	3.37	9	0.05	-0.37	0.13	
NR 77	21 33 24.45	-00 48 36.29	13.92	6.6	1.0	3.51	8	0.05	-0.46	0.11	
NR 81	21 33 27.08	-00 48 19.41	13.81	-22.0	0.5	3.48	8	0.05	-0.40	0.11	
NR 99	21 33 23.59	-00 50 41.07	13.69	-1.5	0.6	3.36	7	0.05	-0.41	0.13	
NR 124	21 33 27.81	-00 47 30.43	14.21	3.4	0.7	3.45	5	0.12	-0.34	0.17	
NR 132	21 33 23.10	-00 48 11.53	14.20	0.7	0.5	4.14	7	0.03	-0.32	0.16	
NR 207	21 33 27.48	-00 49 51.35	14.89	-2.1	0.4	3.88	6	0.06	-0.46	0.15	
NR 254	21 33 29.37	-00 49 42.84	15.05	3.2	0.5	4.11	4	0.06	-0.35	0.16	
NR 378	21 33 30.32	-00 47 24.54	15.22	-2.9	0.5	4.04	4	0.06	-0.30	0.16	
