Star	EW5432	EWerror5432	HFS5432	[Mn/H]5432	[Mn/Fe]5432	[Mn/Fe]error5432	EW5516	EWerror5516	HFS5516	[Mn/H]5516	[Mn/Fe]5516	[Mn/Fe]error5516
ET009	131.0	8.0	-0.34	-2.25	-0.59	0.09	29.0	4.8	-0.04	-1.99	-0.33	0.10
ET013	52.0	9.4	-0.12	-2.60	-0.94	0.13	36.0	4.3	-0.11	-1.67	-0.01	0.09
ET024	250.0	8.8	-0.79	-1.26	-0.03	0.15	129.0	3.5	-0.51	-1.41	-0.18	0.07
ET026	67.0	3.9	-0.14	-2.55	-0.77	0.06	 	 	 	
ET027	148.0	13.0	-0.44	-2.08	-0.60	0.13	36.0	2.0	-0.06	-1.89	-0.41	0.05
ET028	201.0	15.5	-0.92	-1.58	-0.39	0.23	106.0	3.6	-0.42	-1.37	-0.18	0.04
ET031	87.0	3.0	-0.14	-2.19	-0.54	0.06	28.0	3.9	-0.05	-1.78	-0.13	0.09
ET033	51.0	5.0	-0.09	-2.59	-0.84	0.07	 	 	 	
ET039	28.0	6.2	-0.05	-2.41	-0.32	0.15	 	 	 	
ET043	130.0	12.1	-0.63	-1.96	-0.74	0.14	59.0	7.7	-0.18	-1.49	-0.27	0.09
ET048	 	 	 	 	 	 	 	 	 	
ET051	240.0	16.4	-0.73	-0.84	0.06	0.26	134.0	7.0	-0.92	-1.28	-0.38	0.09
ET054	63.0	4.8	-0.12	-2.45	-0.66	0.06	 	 	 	
ET057	180.0	14.4	-0.89	-1.64	-0.33	0.20	69.0	5.5	-0.19	-1.55	-0.24	0.06
ET059	118.0	5.4	-0.33	-2.15	-0.64	0.06	30.0	3.0	-0.05	-1.84	-0.33	0.06
ET060	107.0	8.9	-0.40	-2.24	-0.70	0.08	37.0	5.4	-0.08	-1.74	-0.20	0.08
ET063	188.0	15.4	-1.07	-1.51	-0.35	0.26	86.0	5.1	-0.36	-1.43	-0.27	0.08
ET064	149.0	13.9	-0.64	-1.92	-0.56	0.16	58.0	4.3	-0.14	-1.58	-0.22	0.06
ET066	136.0	12.0	-0.53	-1.96	-0.68	0.12	48.0	4.4	-0.11	-1.61	-0.33	0.06
ET067	91.0	10.4	-0.27	-2.26	-0.63	0.10	26.0	3.3	-0.05	-1.89	-0.26	0.08
ET069	 	 	 	 	 	 	 	 	 	
ET071	133.0	5.0	-0.65	-1.99	-0.66	0.06	50.0	5.7	-0.13	-1.62	-0.29	0.08
ET073	69.0	4.3	-0.16	-2.26	-0.75	0.06	28.0	3.5	-0.07	-1.76	-0.25	0.07
