Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/Fe]	error([Mn/Fe])	chisq(reduced)
2M21291569+1132328	322.315411	11.542449000000001	4669.674	2.378948	0.050388	0.0	0.12115	-0.02590197	0.02079343	0.0
2M21291891+1124091	322.328819	11.402544	4821.138	3.187786	-0.058109	0.0	0.15272	-0.03209461	0.02417398	0.0
2M21291904+1116585	322.329364	11.28293	4856.726	2.510613	-0.27276999999999996	0.0	0.09320099999999999	-0.01432806	0.02674568	0.0
2M21291926+1135069	322.330269	11.58526	4895.664000000001	2.979272	-0.27343	0.0	0.22168000000000002	-0.03847116	0.03826868	0.0
2M21292311+1229076	322.346297	12.485458	4157.399	1.7781689999999999	0.14855	0.0	0.0474	0.09619308	0.01661794	0.0
2M21292330+1125501	322.34711	11.430591	4460.8240000000005	1.724502	-0.8533	0.0	0.22423	-0.2483264	0.03228574	0.0
2M21292665+1130207	322.36106	11.505765	4745.6	3.079116	0.20322	0.0	0.07682699999999999	0.01991595	0.02672718	0.0
2M21292918+1125584	322.3716	11.432891999999999	4935.096	3.432955	-0.12891	0.0	0.11238	-0.04855481	0.02755717	0.0
2M21293081+1227232	322.378394	12.456456	4877.967000000001	2.78398	-0.63752	0.0	0.2736	-0.2267728	0.04068606	0.0
2M21293516+1214396	322.396534	12.244339	4884.831	2.340904	-0.49809	0.0	0.24416999999999997	-0.09449351	0.03529925	0.0
2M21291537+1256319	322.314042	12.942221	4890.917	2.349005	-0.37289	0.0	0.23895999999999998	-0.16835329999999998	0.04851465	0.0
2M21291346+1115346	322.306102	11.259632	4684.889	2.531359	-0.5754	0.0	0.26122	-0.2393402	0.02971563	0.0
2M21290968+1247423	322.290335	12.795110000000001	4606.4259999999995	2.202299	-0.64247	0.0	0.28601	-0.14298239999999998	0.04831699	0.0
2M21290194+1205293	322.25809300000003	12.091484	4987.165	3.310651	-0.37018	0.0	0.23785	-0.18294820000000003	0.03888391	0.0
2M21285870+1257065	322.24462400000004	12.951807	4594.83	2.634826	0.12443	0.0	0.046824	-0.0046092270000000005	0.01946083	0.0
2M21285814+1128132	322.24228	11.470358000000001	4339.2429999999995	2.289551	-0.11629	0.0	0.1175	-0.06441595	0.02047361	0.0
2M21285777+1128000	322.240724	11.466691	4747.456	2.60909	-0.42741	0.0	0.09224600000000001	-0.1293978	0.02790798	0.0
2M21285546+1130591	322.231094	11.516439	4754.281	2.760033	-0.043997	0.0	0.028311000000000003	0.008621542	0.0225456	0.0
2M21285527+1210572	322.230331	12.182574	4987.826	3.1646520000000002	-0.22443000000000002	0.0	0.15070999999999998	-0.1006588	0.03636391	0.0
2M21285209+1244154	322.21707000000004	12.737612	4940.667	2.422218	-0.32244	0.0	0.10447999999999999	-0.08628979	0.0353517	0.0
2M21284732+1128212	322.197208	11.472566	4947.948	3.381187	-0.30105	0.0	0.15843	-0.1006193	0.03179969	0.0
2M21284667+1117422	322.19446800000003	11.295060000000001	4754.307	2.93173	0.19535	0.0	0.023618	0.03099518	0.02935622	0.0
2M21284591+1302320	322.191328	13.042233	4831.768	3.239659	-0.015927	0.0	0.09740800000000001	-0.0646428	0.03614704	0.0
2M21283934+1234556	322.163926	12.582121	4930.497	3.530762	0.36346999999999996	0.0	0.031936	0.0996545	0.02372582	0.0
2M21283786+1214341	322.157779	12.242824	4467.8	2.4890849999999998	0.19079000000000002	0.0	0.095141	-0.02600996	0.01798025	0.0
2M21283509+1204576	322.146219	12.082689	4648.259	2.702915	-0.22328	0.0	0.20439000000000002	-0.1307212	0.02407758	0.0
2M21283318+1137142	322.13826	11.620633	4748.476	2.997178	-0.011170000000000001	0.0	0.088742	-0.12135370000000001	0.03557288	0.0
2M21283039+1136310	322.126663	11.608623	4970.684	3.3808849999999997	-0.09031499999999999	0.0	0.017698	-0.00751362	0.02485322	0.0
2M21282953+1137328	322.12307400000003	11.625788	5020.585	3.345468	-0.08203099999999999	0.0	0.026033999999999998	-0.008400068	0.02514872	0.0
2M21282706+1300355	322.11277	13.009886999999999	4899.335	3.5255199999999998	0.37189	0.0	0.026792000000000003	0.1390806	0.03476027	0.0
2M21282647+1202260	322.110314	12.040582	4622.814	2.414469	0.044926999999999995	0.0	0.13813	-5.48996e-05	0.02053708	0.0
2M21282068+1128270	322.086171	11.474174	4963.854	2.415476	-0.3932	0.0	0.2118	-0.1393758	0.029402499999999998	0.0
2M21282002+1232288	322.083441	12.541349	4457.185	2.0543970000000003	-0.49538999999999994	0.0	0.25674	-0.2112545	0.02634811	0.0
2M21281489+1141473	322.062057	11.696479	4427.036	1.752398	-0.72004	0.0	0.29436999999999997	-0.27448829999999996	0.02961202	0.0
2M21281337+1152514	322.055732	11.880958999999999	4745.093	3.110825	0.35603	0.0	0.03845	-0.0983358	0.02978281	0.0
2M21280950+1151532	322.039609	11.864778999999999	4322.043	1.9250650000000002	-0.32905999999999996	0.0	0.26322	-0.19457220000000003	0.02294511	0.0
2M21280743+1201527	322.030981	12.031333	4723.98	2.741616	-0.045616000000000004	0.0	0.11285	-0.1559818	0.042703500000000005	0.0
2M21280145+1242173	322.00604300000003	12.704817	4609.781	2.409201	0.14097	0.0	0.11205999999999999	0.03476414	0.0193766	0.0
2M21275244+1231076	321.968505	12.518786	4316.0	1.509626	-0.85077	0.0	0.27981	-0.2910729	0.03073456	0.0
2M21274880+1137223	321.95333999999997	11.622872000000001	4533.653	2.596215	0.16967000000000002	0.0	0.09751900000000001	0.01702231	0.01859418	0.0
2M21274854+1119402	321.952275	11.327852	4614.735	2.189828	-0.68886	0.0	0.29322	-0.22663979999999997	0.04504993	0.0
2M21274637+1150576	321.943239	11.849361	4734.99	2.42466	0.11239	0.0	0.018102	-0.0001434982	0.02052045	0.0
2M21274215+1123228	321.92562999999996	11.389671	4612.14	2.206371	-0.25568	0.0	0.11657000000000001	-0.09242418	0.02422971	0.0
2M21274153+1231369	321.923069	12.526924000000001	4895.81	2.251077	-0.5927600000000001	0.0	0.3071	-0.1371812	0.04289401	0.0
2M21273218+1220246	321.88409	12.340175	4639.143	2.380067	-0.030235	0.0	0.16552	-0.04825266	0.02153771	0.0
2M21273157+1205319	321.881578	12.092217999999999	4767.969	2.942455	-0.20290999999999998	0.0	0.22476	-0.09218203	0.02476285	0.0
2M21273033+1237392	321.876397	12.627564999999999	4908.64	3.382189	0.21811	0.0	0.049592000000000004	0.04137036	0.03934774	0.0
2M21272930+1224107	321.872115	12.402994	5014.516	3.388229	-0.065986	0.0	0.04591	0.0029686020000000003	0.03178928	0.0
2M21272768+1234257	321.86535699999996	12.573822999999999	5032.014	3.272616	-0.21222	0.0	0.04562	-0.06504552	0.027159899999999997	0.0
2M21272666+1145502	321.861089	11.763967999999998	4805.473	2.890923	-0.30499	0.0	0.25136	-0.15314049999999998	0.03905819	0.0
2M21272436+1143521	321.851527	11.731146	4469.487	2.413379	-0.016253999999999998	0.0	0.1455	-0.03415413	0.02188242	0.0
2M21272327+1211076	321.846977	12.18547	4956.209	3.123557	-0.28815	0.0	0.14313	-0.13508989999999998	0.03665885	0.0
2M21272324+1221277	321.846862	12.357700999999999	4593.682	2.6663799999999998	0.21126	0.0	0.064575	-0.000973314	0.0185294	0.0
