Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/Fe]	error([Mn/Fe])	chisq(reduced)
SAGA_UMi_000008	227.75616666666664	66.88180555555554	4400	0.6	-2.47	0.2	0.0	-0.26	0.34	0.0
SAGA_UMi_000025	228.37624999999997	67.1103611111111	4400	0.75	-2.48	0.16	0.0	-0.4	0.13	0.0
SAGA_UMi_000034	227.54866666666663	67.14133333333334	4530	1.0	-3.13	0.19	0.0	-0.84	0.04	0.0
SAGA_UMi_000082	227.77399999999997	67.22091666666667	4290	0.8	-1.6	0.16	0.0	-0.25	0.15	0.0
SAGA_UMi_000098	227.02070833333332	67.23355555555555	4290	0.8	-1.4	0.14	0.0	-0.82	0.14	0.0
SAGA_UMi_000136	228.3587083333333	67.27297222222222	4525	0.8	-3.15	0.22	0.0	-0.7	0.11	0.0
SAGA_UMi_000151	227.04170833333328	67.29013888888889	4425	0.8	-2.2	0.17	0.0	-0.46	0.14	0.0
SAGA_UMi_000220	227.6129583333333	67.41005555555556	4415	0.8	-1.81	0.16	0.0	-0.33	0.12	0.0
SAGA_UMi_000221	228.30137499999998	67.55572222222222	4365	0.65	-2.13	0.15	0.0	-0.47	0.03	0.0
SAGA_UMi_000222	227.85125	67.56394444444445	4290	0.7	-1.96	0.18	0.0	-0.31	0.21	0.0
