Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])
N2419-D6	114.584451771	38.9539535382	4650	1.33196695646	-2.16472032984	0.0343310959962	0.365000362448	-1.88491237511	0.221823110462
N2419-S1004	114.543868999	38.870426379	4448	0.98341836532	-2.15336766912	0.0162865091033	0.334865408034	-1.90162549721	0.130732293452
N2419-S1007	114.544087648	38.8547787248	5237	2.09703246752	-2.44771358117	0.166901486575	0.467586765785	-1.66741344841	0.453159138576
N2419-S1029	114.546467626	38.864831774	4497	1.07292803129	-2.14940015091	0.0207354106787	0.259314963117	-2.56773116702	0.172074418352
N2419-S1048	114.548247055	38.8849604942	4281	0.659283101559	-2.13385515398	0.0103141859934	0.282089404508	-2.60043537943	0.119030459751
N2419-S1065	114.54992522	38.869735922	4390	0.834741135438	-2.10581546957	0.0128441295661	0.334303008358	-2.41780701446	0.129166862139
N2419-S1109	114.554406814	38.8864266753	4619	1.40265043577	-2.22485950979	0.0379257477448	0.420847821218	-2.21349984754	0.217227871925
N2419-S1166	114.559200521	38.8766886616	4300	0.69185936451	-2.0417064587	0.00944099137889	0.0927812831279	-2.42586933795	0.106570632323
N2419-S1171	114.559342698	38.8993904951	4852	1.82720470428	-2.29187679488	0.0872992774912	0.600863103017	-1.95378330623	0.343924532567
N2419-S1185	114.560782158	38.8949751324	4734	1.5358136495	-2.08708207696	0.0374497314322	0.276534608126	-2.29434265714	0.245326647689
N2419-S1245	114.564792399	38.8537591992	4565	1.25708933671	-2.07037464954	0.020951676137	0.180665516924	-2.32464428874	0.198123981085
N2419-S1247	114.564902484	38.8578888268	5211	2.07002393405	-2.07367686964	0.10783142002	-0.0460877603737	-3.07724432662	1.83770113496
N2419-S1306	114.570556394	38.9070029476	4560	1.13212049007	-2.02681907541	0.0192474389933	0.365189122032	-2.05301444996	0.126122746914
N2419-S1340	114.573399154	38.8883775155	4811	1.70488941669	-2.26125463029	0.0653842070073	0.397695552009	-2.2627583316	0.357638122867
N2419-S1386	114.578650165	38.8916624445	4940	1.88935176531	-2.29117220282	0.0933317319743	0.174513355452	-1.56798347909	0.330644929936
N2419-S143	114.422000345	38.7687548159	5112	1.88451008002	-0.783172397379	0.0241940934924	0.0233485048211	-1.22614626925	0.198403788854
N2419-S1497	114.595015383	38.8744784519	4650	1.4169211785	-2.11869369065	0.0306109250196	0.193126359569	-2.01896763821	0.222499029473
N2419-S1563	114.605408319	38.8849762727	4616	1.30751625697	-2.13565095979	0.025208100614	0.337883433193	-2.31841404751	0.251325343679
N2419-S1604	114.61483953	38.8809327486	4948	2.09913611412	-1.98010679505	0.0868938998439	-0.0937845864663	-1.68805458188	0.469463064695
N2419-S1664	114.634462484	38.9120584562	4577	1.20276848475	-2.09114734286	0.0208975523636	0.34978142294	-1.9805160534	0.166028023528
N2419-S1673	114.637535985	38.8958861234	4479	0.913742482662	-2.01113287614	0.0119486085439	0.318858365983	-2.26735323087	0.115273262567
N2419-S1819	114.504074415	38.8723265955	4660	1.50738433997	-2.30540707711	0.0455784770342	0.347955257187	-2.01667497813	0.242595754941
N2419-S243	114.453058004	38.8413656828	4933	1.76318868001	-2.16277236843	0.0803026910669	0.320233484824	-1.53966750725	0.264248568811
N2419-S327	114.473665889	38.8583447499	4915	1.83004721006	-2.12878186295	0.0729519898869	0.38135370701	-1.72465863907	0.259024737851
N2419-S333	114.474794881	38.8137590843	5093	2.10106190046	-2.36027818677	0.148463601623	0.242138898684	-1.77640358303	0.421903837824
N2419-S338	114.475214783	38.837947651	4957	1.99437411626	-2.22026754009	0.101390626987	-0.0925284318564	-2.12269653498	0.480226110327
N2419-S357	114.47842358	38.8474806001	4869	1.66106196245	-1.96206284973	0.0466462926811	0.395019217069	-2.00140582578	0.243282939837
N2419-S374	114.480444781	38.8631892024	5764	2.55442126592	-0.72058174846	0.0946035110789	0.171043300166	-0.751983311735	0.65887800727
N2419-S406	114.485201248	38.8563642232	4400	0.914503673712	-2.09784513792	0.0130612410779	0.205812145897	-2.41717641576	0.118699443896
N2419-S414	114.486094475	38.812888493	5217	1.90315111478	-0.928335932901	0.022776558456	0.143390282025	-0.805410528468	0.179055908664
N2419-S457	114.491157961	38.8304545985	4570	1.2404803435	-2.06321279553	0.0217513444914	0.0427078807267	-2.57550296564	0.198160255879
N2419-S458	114.491160282	38.8657979319	4480	0.990876495838	-2.09560719258	0.0173003841373	0.38141562755	-2.17699636811	0.120393983926
N2419-S487	114.494464207	38.8345634741	4999	1.65638693174	-0.630511546086	0.0117939102183	0.0807503414446	-0.968200071434	0.174006603808
N2419-S668	114.511419597	38.8706751672	4573	1.22718218962	-2.16261156584	0.0253903379543	0.331677260362	-2.07568934804	0.157208406583
N2419-S704	114.514765573	38.8644331752	4628	1.24175024033	-2.10914817615	0.026186901407	0.436161187302	-2.34600839535	0.161990016534
N2419-S731	114.517343879	38.8696350596	4669	1.48852539062	-2.13511105441	0.0382745595664	0.222237029755	-2.30808086556	0.229232528988
N2419-S809	114.524845465	38.8757613288	4453	0.991914987564	-2.26223213623	0.0205007410609	0.252631617609	-2.18292739119	0.128163046864
N2419-S890	114.532850311	38.8937195979	4692	1.56415994962	-2.36762255651	0.0584421811111	0.496254145084	-1.95674919811	0.214420284188
N2419-S934	114.537253209	38.8922121615	4656	1.28162018458	-2.25653872874	0.0329118234372	0.499409085677	-2.3535073113	0.205611196446
