Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)
Stet-M2-S109	323.40533706347	-0.84834614118	5368	3.144065618515014	-1.7277852993661746	0.0	0.23832649233116743	-1.7002802544189823	0.17896037680240023	1.1596285418099548
Stet-M2-S120	323.40425624847	-0.83490448766	4996	2.3715434074401855	-1.6773116613769055	0.0	0.24242634029343846	-2.2443323123741488	0.1576821428738729	7.0924094368582
Stet-M2-S127	323.40428090096	-0.82805671056	5205	2.8212899367014566	-1.7031774872522678	0.0	0.24019854261844018	-2.1804765417203202	0.12411812489340297	1.0111964535246674
Stet-M2-S143	323.4032825311	-0.80801977846	5272	2.9585333665211992	-1.6349056955248382	0.0	0.18915244685844948	-1.9793832160712432	0.18118425573814823	1.7171427689703256
Stet-M2-S181	323.41423447927	-0.83141770045	5406	3.2024002075195312	-1.6443501322964893	0.0	0.28058866842661645	-1.7997935716283244	0.24321708817434837	2.0930978375365985
Stet-M2-S224	323.41502879461	-0.79338491758	4982	2.252619345982869	-1.6236351424638165	0.0	0.16328608716062004	-2.0735236507809613	0.113050632320953	6.177732675523706
Stet-M2-S237	323.42594149907	-0.82837252723	5265	2.8879946867624913	-1.6184213002375862	0.0	0.20980964571490712	-1.4978976513955993	0.13034726005939865	2.5228754846866104
Stet-M2-S244	323.42765445709	-0.82846361054	5203	2.769260883331299	-1.6273400325195648	0.0	0.1360692708896098	-8.06253055843445	12766.035072477378	7.031794290044326
Stet-M2-S248	323.42476628621	-0.80458421813	4661	1.668508172035217	-1.5657867198952922	0.0	0.19148970357335315	-2.229235167615031	0.12636914215165435	35.79222023447884
Stet-M2-S629	323.19412776629	-0.84944191085	5503	3.496808211008707	-1.4898669095213177	0.0	0.10235399672914362	-0.8188860716686346	0.251352105562259	1.809534414100851
Stet-M2-S662	323.23068029086	-0.81899223751	5278	3.109364032745361	-1.6662983898790704	0.0	0.12928638294720704	-1.7318190732273486	0.12921206289584575	1.0408394545370863
Stet-M2-S687	323.25158839387	-0.85383508258	5424	3.3436894416809078	-1.520901135924486	0.0	0.14792647137630321	-3.037962672750631	1.2544381433988396	1.5488759960468765
Stet-M2-S702	323.25912580192	-0.83649779982	5388	3.300148804982503	-1.512678777488003	0.0	0.17369548460546086	-2.3991903299972352	0.41657534916637157	1.4587579543009714
Stet-M2-S733	323.27765965859	-0.83936046653	5327	3.096502860387166	-1.70483310089779	0.0	0.16470396286621708	-2.0872430021401134	0.17506855327680435	0.9994785715508315
Stet-M2-S80	323.39725265503	-0.82597122404	4701	1.697513659795125	-1.606539012281074	0.0	0.19383544988618504	-2.095229293726926	0.06811622514789678	10.999335342876405
An08-A5998	323.28204345703125	-0.8268360495567322	5418	3.431892236073812	-1.710211379850527	0.0	0.11843420240971661	-2.127485321290576	0.5447304627853775	0.8633681374632025
An08-A15236	323.2972412109375	-0.7969326376914978	4890	2.1363068421681723	-1.448210337725551	0.0	0.2172097159588938	-1.8164644240963914	0.11067251097582025	5.496594266317416
An08-A2980	323.32196044921875	-0.8363598585128784	5064	2.473829507827759	-1.7168420479985111	0.0	0.18025739113333336	-1.3358030185791314	0.09496920950191429	1.644304945535702
An08-A3309	323.3230895996094	-0.8353331089019775	5331	3.3070042133331294	-1.5792745347632828	0.0	0.15927029678555557	-2.2824412689745155	0.22278196861577948	1.4928012182570929
An08-A9859	323.32952880859375	-0.8148196935653687	5580	3.0843510700793693	-1.4371166430195939	0.0	-0.05769044759490748	-7.4657261355597715	32741.344881971658	1.1909805515361562
An08-A14127	323.330810546875	-0.8008593320846558	5231	2.677436828613281	-1.4408162023887607	0.0	0.30114554156360496	-2.007656608950446	0.15729851694887065	1.4519297284379102
An08-A6080	323.3379211425781	-0.8265566229820251	5256	2.8116738001505532	-1.6445248431026656	0.0	0.14659866203172944	-2.229824449408285	0.24008636843574996	0.9857930359928015
An08-A9455	323.34002685546875	-0.8161545395851135	5041	2.420508782068888	-1.629483355065799	0.0	0.2024753292265184	-1.8590975095463633	0.1468334051929978	4.735472619618108
An08-A4426	323.34027099609375	-0.8317343592643738	5245	2.559711217880249	-1.4644569178797442	0.0	0.21280872506284834	-1.9059451913271697	0.1323474285865622	1.721288070480273
An08-A8555	323.3442687988281	-0.818978488445282	5411	3.271882136662801	-1.7413261635340158	0.0	0.2540350841242932	-2.124708306241977	0.4208447743685412	1.1117200033365269
An08-A13934	323.344970703125	-0.8015540242195129	5296	3.3585630856002044	-1.5995366756967413	0.0	0.2862063762620276	-2.182611527348269	0.15422390839254765	1.1519674292832867
An08-A8069	323.34576416015625	-0.8203920125961304	5180	2.1627732117970786	-1.7070041068153283	0.0	0.03683605407633801	-2.171670765299112	0.16576658074284067	4.309757084046542
An08-A1045	323.3471984863281	-0.8426828384399414	5147	2.723452885945638	-1.5257755488247065	0.0	0.2678215222806419	-2.022255415026746	0.1604424826817398	1.5166813756002806
An08-A9064	323.3489990234375	-0.8173307180404663	4982	2.341735442479451	-1.6998559377825506	0.0	0.22494883844492586	-7.89531096011404	8324.455830335759	3.5210791435312396
An08-A13450	323.3503723144531	-0.8031575679779053	5214	2.606624603271485	-1.3622063029612743	0.0	0.5702922852736713	-2.0991034592255584	0.16747721166698484	1.2227269906279292
An08-A8862	323.3503723144531	-0.8179742693901062	4983	2.650734504063924	-1.7676282237580334	0.0	0.24559324716379766	-3.1967784811140514	0.761521773285268	2.152424205195219
An08-A17732	323.35382080078125	-0.7869765758514404	5231	2.8396305243174234	-1.6277316004595146	0.0	0.26640165876484256	-1.541197154833873	0.14619935790403657	1.6149805730078026
An08-A3993	323.35699462890625	-0.8331129550933838	5204	2.8090879122416177	-1.751704231223551	0.0	0.16048039296498334	-1.923865252434444	0.18265338054508137	1.156678585252686
