Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])	chisq(reduced)
N5024-S35	198.26522763173	18.16082419713	4229	0.7398815949757894	-1.9247763224283352	0.0	0.1994350389866432	-2.0807127285255556	0.04260844459166842	14.610257675200431
N5024-S16	198.20792131424	18.16733634743	4465	1.1176236470540364	-2.0168930661196254	0.0	0.2276681163556594	-2.4808852142903097	0.045505376063550214	3.8581737930553635
N5024-S29	198.24459923108	18.17894321654	4542	1.1664302349090574	-2.0045057512527262	0.0	0.18337140203171015	-2.4811626513785807	0.061285087473591154	5.406527000080958
N5024-S32	198.2579803466797	18.173328399658203	4694	1.3708726167678833	-2.2178865839654534	0.0	0.23014964700722065	-2.5079647094572572	0.0588291016686147	2.4195350662862714
B7704	198.23959350585938	18.167362213134766	4753	1.5835727453231812	-2.015191254230286	0.0	0.18201449349216559	-2.155471863583598	0.07639686200936828	1.6832293050911526
N5024-S230	198.2838592529297	18.162263870239258	4849	1.6879225969314575	-1.9910418985188603	0.0	0.23366356933861662	-2.5763709874193097	0.07769720696006271	1.7646125829882269
B9354	198.248779296875	18.177841186523438	4733	1.6694455544153846	-1.8671022414349092	0.0	0.20600266497155806	-2.382241671977199	0.06282664206812166	1.8581725071930721
B6841	198.16700744628906	18.166290283203125	4857	1.8993574778238929	-1.8450226461100272	0.0	0.1206287703105486	-2.4552068916740266	0.08050937376458453	1.3610652499288851
B8372	198.2407684326172	18.171585083007812	4874	1.9350365002950032	-2.1752148539472604	0.0	0.2053912006154888	-2.5404323488200538	0.09667772265763493	1.0640736726464204
B5957	198.23350524902344	18.155858993530273	4872	1.9294948180516558	-2.154307638369868	0.0	0.31542118170597994	-2.5067503955981976	0.0947067407208831	1.5009859319795633
B8810	198.2559356689453	18.17376708984375	4970	1.9772334893544514	-2.029147892255115	0.0	0.2312126638654445	-2.499379601006198	0.10246002549024812	1.1856983690233176
B5129	198.26153564453125	18.147939682006836	4850	2.0350801944732666	-2.0804718526481945	0.0	0.29796287881596484	-2.4017139775620477	0.09876173855133705	1.227430317713975
B3073	198.21792602539062	18.135879516601562	4995	2.046386321385701	-2.033273191597557	0.0	0.311480710100008	-2.2149854115390153	0.11766703424800443	1.3665200842842948
B3897	198.27789306640625	18.13811492919922	5038	2.1322824160257974	-2.178602082976558	0.0	0.3647959883034225	-2.6356072685017216	0.11888479405465692	1.118412143323514
B6723	198.2691192626953	18.15892219543457	5019	2.287997961044311	-1.9262096111766547	0.0	0.18906419382289125	-1.9390632423696068	0.08860454212426884	1.1422899924529888
B1452	198.19186401367188	18.12444496154785	5008	2.2990279992421465	-2.062283046742729	0.0	0.13805548673636803	-1.6051719033710776	0.11154815577447315	2.2321264205995015
B4973	198.20335388183594	18.150754928588867	5181	2.6460625330607095	-2.1074287658023168	0.0	0.2358686554868399	-1.8859426453100536	0.12937629038106857	0.8661792764520115
B4681	198.1055908203125	18.15498161315918	5159	2.645760138829549	-2.0924165162338264	0.0	0.3066161651527006	-2.3883123149905257	0.1974474114663943	1.122116623390681
N5024-S104	198.09654235839844	18.163789749145508	5208	2.7451571623484297	-1.9721035494359724	0.0	0.21516821595539434	-2.3960867273738704	0.20537806021546104	0.8922680487986021
B7259	198.19735717773438	18.16738510131836	5374	3.009771505991618	-1.85443982885733	0.0	0.18451623586577884	-1.5799577009888106	0.2979028073666511	0.7907792548889754
B2342	198.28074645996094	18.12621307373047	5433	3.151769161224365	-1.8329424289914842	0.0	0.2722534565216737	-1.2012856302561552	0.20025181879944187	0.9300811580400926
B4826	198.26019287109375	18.1458797454834	5120	2.534146467844645	-2.038630548512266	0.0	0.3271108597008527	-2.2831321601816614	0.16766173433993906	0.8583643568955601
B11032	198.30010986328125	18.186128616333008	5308	2.921298424402872	-1.8999221308008023	0.0	0.1995883634395442	-2.3494031531266826	0.32168294314794044	0.9384136147763101
