#(M)-(MHe)-(Z)-(detonation)
#e.g., 110-100-2-50 corresponds to M=1.1 Msun, MHe=0.10, Z=0.02, He detonation triggered 50 km above core-envelope interface
#B means belt (ring), S means spherical

110-100-0-50    110-100-0.2-50  110-100-1-50    110-100-2-50    110-100-4-50    110-100-6-50    110-100-10-50   110-050-0-B50   110-050-0.2-B50 110-050-1-B50   110-050-2-B50   110-050-4-B50   110-050-6-B50   110-050-10-B50  100-050-0-S50   100-050-0.2-S50 100-050-1-S50   100-050-2-S50   100-050-4-S50   100-050-6-S50   100-050-10-S50  090-150-2-50    095-150-2-50    100-100-2-50    105-100-2-50    110-100-2-50    115-100-2-50    120-050-2-50    090-050-2-B50   095-050-2-B50   100-050-2-B50   105-050-2-B50   110-050-2-B50   120-050-2-B50   090-050-2-S40   095-050-2-S40   100-050-2-S40   105-050-2-S40   110-050-2-S40   120-050-2-S40   
 12 C  3.39e-3  3.38e-3  3.38e-3  3.35e-3  3.29e-3  2.62e-3  2.20e-3  4.10e-3  4.9e-3   4.5e-3   4.2e-3   3.95e-3  3.89e-3  3.77e-3  1.18e-3  1.17e-3  1.16e-3  1.15e-3  1.13e-3  1.13e-3  1.11e-3  1.78e-2  7.5e-3   8.85e-3  1.26e-2  3.35e-3  1.6e-4   2.10e-3  6.40e-2  6.0e-2   1.15e-3  6.86e-3  4.2e-3   7.84e-6  5.27e-3  4.1e-3   1.15e-3  2.97e-4  7.65e-4  7.84e-6 
 13 C  3.33e-10 1.22e-10 3.41e-10 1.25e-9  4.59e-9  2.9e-8   1.20e-8  3.66e-10 2.36e-10 2.13e-9  8.97e-9  5.42e-8  8.85e-8  2.8e-7   1.4e-10  8.4e-11  8.87e-10 3.2e-9   1.21e-8  3.70e-8  1.9e-7   6.99e-8  2.73e-9  3.87e-9  1.84e-8  1.25e-9  4.83e-11 5.8e-10  2.2e-8   1.60e-8  3.2e-9   7.8e-9   8.97e-9  1.6e-11  1.15e-7  3.32e-7  3.2e-9   4.6e-11  3.70e-10 1.6e-11 
 14 N  1.16e-8  4.53e-9  1.37e-8  3.80e-8  9.63e-8  6.40e-7  9.43e-8  1.24e-8  8.32e-9  3.57e-8  1.17e-7  5.17e-7  8.47e-7  1.95e-6  3.94e-9  1.76e-9  9.2e-9   1.81e-8  7.5e-8   2.52e-7  6.87e-7  1.50e-6  7.88e-8  9.0e-8   4.92e-7  3.80e-8  8.42e-10 1.41e-8  5.8e-7   4.40e-7  1.63e-8  1.14e-7  7.62e-8  6.96e-12 4.51e-7  4.93e-7  1.63e-8  2.22e-10 1.54e-9  6.96e-12
 15 N  2.44e-6  3.97e-8  3.2e-9   1.8e-9   4.42e-10 1.86e-9  6.88e-10 1.94e-6  4.25e-8  3.71e-9  1.38e-9  1.49e-9  2.65e-9  8.42e-9  1.0e-6   4.93e-9  5.68e-10 2.13e-10 3.20e-10 1.42e-9  5.54e-9  8.65e-9  1.83e-9  2.69e-9  3.45e-9  1.8e-9   1.13e-10 7.37e-10 1.2e-8   1.14e-8  2.13e-10 1.71e-9  1.38e-9  9.11e-12 3.24e-9  2.61e-9  2.13e-10 6.54e-11 1.27e-10 9.11e-12
 16 O  1.14e-1  1.14e-1  1.16e-1  1.17e-1  1.19e-1  1.12e-1  1.4e-1   9.80e-2  9.93e-2  1.1e-1   1.2e-1   1.4e-1   1.4e-1   1.2e-1   5.90e-2  6.34e-2  6.55e-2  6.64e-2  6.68e-2  6.64e-2  6.48e-2  2.63e-1  2.19e-1  2.35e-1  1.85e-1  1.17e-1  5.23e-2  6.54e-2  4.28e-1  3.86e-1  6.64e-2  1.35e-1  1.2e-1   6.89e-3  2.67e-1  1.14e-1  6.64e-2  3.90e-2  2.30e-2  6.89e-3 
 17 O  1.86e-10 5.92e-10 5.31e-9  2.8e-8   6.32e-8  1.44e-7  5.44e-8  2.98e-10 1.50e-9  1.52e-8  4.32e-8  8.5e-8   1.6e-7   1.52e-7  9.61e-11 2.70e-10 4.18e-9  1.8e-8   2.3e-8   2.43e-8  2.52e-8  3.23e-7  4.35e-8  4.80e-8  1.68e-7  2.8e-8   2.95e-10 7.14e-9  2.96e-7  2.56e-7  1.8e-8   6.97e-8  4.32e-8  1.23e-13 1.88e-7  1.62e-7  1.8e-8   8.12e-11 8.10e-10 1.23e-13
 18 O  7.64e-12 2.4e-11  1.37e-10 3.4e-10  4.87e-10 2.67e-9  1.5e-9   1.13e-11 4.34e-11 1.94e-10 5.10e-10 1.96e-9  4.5e-9   1.31e-8  3.29e-12 8.33e-12 6.40e-11 9.43e-11 4.35e-10 2.21e-9  8.97e-9  4.35e-9  5.86e-10 6.10e-10 1.89e-9  3.4e-10  6.56e-12 1.29e-10 3.82e-9  3.52e-9  9.43e-11 6.91e-10 5.10e-10 4.95e-16 3.51e-9  3.29e-9  9.43e-11 1.99e-12 1.46e-11 4.95e-16
 19 F  3.67e-10 5.26e-11 1.78e-11 3.28e-11 1.5e-10  3.31e-10 3.46e-10 3.96e-10 6.70e-11 2.65e-11 6.80e-11 2.17e-10 3.97e-10 8.63e-10 5.92e-11 7.31e-12 7.99e-12 2.39e-11 7.87e-11 1.70e-10 2.95e-10 4.10e-10 6.42e-11 8.49e-11 1.79e-10 3.28e-11 1.94e-12 1.80e-11 3.79e-10 3.64e-10 2.39e-11 8.36e-11 6.80e-11 5.48e-16 2.71e-10 2.20e-10 2.39e-11 9.14e-13 6.1e-12  5.48e-16
 20 Ne 3.98e-3  3.96e-3  4.4e-3   4.0e-3   3.86e-3  3.42e-3  3.16e-3  4.90e-3  4.87e-3  4.80e-3  4.72e-3  4.53e-3  4.34e-3  4.3e-3   1.30e-3  1.27e-3  1.21e-3  1.15e-3  1.8e-3   1.4e-3   9.83e-4  2.65e-2  8.46e-3  1.4e-2   9.19e-3  4.0e-3   6.90e-4  2.91e-3  3.77e-2  2.98e-2  1.15e-3  7.69e-3  4.72e-3  1.50e-6  6.53e-3  1.46e-3  1.15e-3  4.63e-4  7.54e-4  1.50e-6 
 21 Ne 1.16e-8  1.5e-8   6.10e-8  2.17e-7  7.58e-7  2.20e-6  3.85e-6  1.39e-8  1.62e-8  1.13e-7  4.33e-7  1.49e-6  3.5e-6   8.24e-6  2.97e-9  5.41e-9  5.8e-8   1.57e-7  5.91e-7  1.56e-6  4.5e-6   2.48e-6  4.54e-7  5.79e-7  1.3e-6   2.17e-7  2.1e-8   1.32e-7  2.36e-6  2.15e-6  1.57e-7  5.52e-7  4.33e-7  8.30e-11 1.62e-6  1.34e-6  1.57e-7  1.40e-8  5.1e-8   8.30e-11
 22 Ne 1.16e-8  9.45e-6  4.72e-5  9.45e-5  1.89e-4  1.82e-4  3.1e-4   1.43e-8  9.46e-6  4.72e-5  9.46e-5  1.92e-4  2.97e-4  5.24e-4  5.70e-9  3.38e-9  5.77e-9  9.25e-9  6.35e-7  6.45e-6  4.12e-5  3.40e-4  2.0e-4   2.42e-4  3.53e-4  9.45e-5  2.66e-9  5.62e-5  2.14e-3  1.98e-3  8.99e-9  1.88e-4  9.46e-5  6.27e-11 7.66e-5  8.61e-5  8.99e-9  1.53e-9  3.64e-9  6.27e-11
 23 Na 7.18e-6  7.71e-6  1.1e-5   1.47e-5  2.46e-5  4.4e-5   6.5e-5   9.57e-6  1.2e-5   1.38e-5  2.10e-5  3.61e-5  5.49e-5  1.9e-4   3.59e-6  3.86e-6  5.77e-6  8.39e-6  1.58e-5  2.80e-5  5.31e-5  1.18e-4  3.13e-5  4.7e-5   4.36e-5  1.47e-5  2.20e-6  1.8e-5   1.51e-4  1.31e-4  8.39e-6  2.97e-5  2.10e-5  8.5e-8   4.32e-5  2.30e-5  8.39e-6  3.35e-6  4.66e-6  8.5e-8  
 24 Mg 1.70e-2  1.60e-2  1.11e-2  8.26e-3  5.46e-3  3.77e-3  2.66e-3  1.66e-2  1.55e-2  1.14e-2  8.62e-3  5.74e-3  4.33e-3  3.8e-3   3.69e-3  3.10e-3  1.84e-3  1.28e-3  8.70e-4  7.14e-4  6.29e-4  3.7e-2   2.15e-2  2.38e-2  1.62e-2  8.26e-3  3.32e-3  4.97e-3  5.56e-2  4.28e-2  1.28e-3  1.15e-2  8.62e-3  3.2e-5   2.29e-2  2.53e-3  1.28e-3  5.46e-4  4.43e-4  3.2e-5  
 25 Mg 2.15e-7  3.49e-6  1.53e-5  3.89e-5  9.28e-5  1.50e-4  2.61e-4  2.89e-7  3.66e-6  1.94e-5  4.99e-5  1.18e-4  1.88e-4  3.64e-4  1.9e-7   8.53e-7  6.20e-6  1.45e-5  3.43e-5  5.87e-5  1.11e-4  2.63e-4  7.96e-5  1.2e-4   1.1e-4   3.89e-5  7.71e-6  2.51e-5  4.1e-4   3.13e-4  1.45e-5  7.25e-5  4.99e-5  2.42e-8  1.0e-4   3.6e-5   1.45e-5  3.84e-6  7.30e-6  2.42e-8 
